algorithm,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
mi,21782,4200,479.78,2,2,0.84,0.56,0.51,0.06,0.09,0.1,418;417
mi,21782,4200,447.06,5,5,0.84,0.55,0.51,0.06,0.09,0.1,418;417;437;438;439
mi,21782,4200,411.33,10,10,0.84,0.64,0.61,0.06,0.08,0.09,418;417;437;438;439;419;436;416;379;415
mi,21782,4200,411.76,15,15,0.84,0.64,0.61,0.06,0.08,0.09,418;417;437;438;439;419;436;416;379;415;450;396;435;420;449
mi,21782,4200,411.71,20,20,0.84,0.58,0.54,0.06,0.09,0.1,418;417;437;438;439;419;436;416;379;415;450;396;435;420;449;413;414;371;457;421
sfs,21782,4200,56.5,2,2,0.84,0.73,0.69,0.06,0.07,0.08,412;993
sfs,21782,4200,200.98,5,5,0.84,0.83,0.83,0.06,0.06,0.06,412;993;2986;3631;3820
sfs,21782,4200,637.72,10,10,0.84,0.86,0.86,0.06,0.05,0.05,151;412;903;993;2986;3259;3446;3631;3820;4199
sfs,21782,4200,1208.3,15,15,0.84,0.87,0.87,0.06,0.05,0.05,151;412;903;993;2986;3126;3187;3259;3446;3550;3631;3786;3820;3830;4199
sfs,21782,4200,2071.68,20,20,0.84,0.86,0.87,0.06,0.05,0.05,151;412;903;993;2906;2986;3002;3126;3148;3187;3259;3391;3446;3550;3631;3770;3786;3820;3830;4199
lasso,21782,4200,153.82,2,2,0.84,0.56,0.52,0.06,0.09,0.1,403;404
lasso,21782,4200,153.97,5,5,0.84,0.58,0.53,0.06,0.09,0.1,403;404;406;3818;3819
lasso,21782,4200,153.04,10,10,0.84,0.58,0.53,0.06,0.09,0.1,403;404;406;3818;3819;407;409;405;410;412
lasso,21782,4200,152.63,15,15,0.84,0.58,0.53,0.06,0.09,0.1,403;404;406;3818;3819;407;409;405;410;412;408;402;413;414;411
lasso,21782,4200,153.62,20,20,0.84,0.79,0.78,0.06,0.06,0.07,403;404;406;3818;3819;407;409;405;410;412;408;402;413;414;411;3820;1419;1418;1415;1417
fsdr,21782,4200,32.39,2,2,0.84,0.17,0.15,0.06,0.12,0.13,1401;2657
fsdr,21782,4200,45.37,5,5,0.84,0.84,0.83,0.06,0.06,0.06,401;1382;2023;2764;3458
fsdr,21782,4200,66.36,10,10,0.84,0.84,0.84,0.06,0.05,0.06,416;596;1117;1437;1892;2266;2415;2991;3443;3806
fsdr,21782,4200,89.57,15,13,0.84,0.83,0.83,0.06,0.06,0.06,436;557;1048;1137;1666;1921;2020;2132;2288;2981;3416;3440;3806
fsdr,21782,4200,110.42,20,17,0.84,0.85,0.84,0.06,0.05,0.06,455;599;804;1102;1137;1850;1925;1926;1946;2020;2132;2134;2981;3403;3434;3740;3791
mi,21782,66,6.43,2,2,0.85,0.57,0.53,0.05,0.09,0.1,6;5
mi,21782,66,6.56,5,5,0.85,0.73,0.69,0.05,0.07,0.08,6;5;7;8;4
mi,21782,66,6.47,10,10,0.85,0.75,0.72,0.05,0.07,0.07,6;5;7;8;4;9;10;3;11;2
mi,21782,66,6.54,15,15,0.85,0.75,0.72,0.05,0.07,0.07,6;5;7;8;4;9;10;3;11;2;12;1;13;0;14
mi,21782,66,6.45,20,20,0.85,0.8,0.79,0.05,0.06,0.06,6;5;7;8;4;9;10;3;11;2;12;1;13;0;14;52;59;54;15;60
sfs,21782,66,0.98,2,2,0.85,0.72,0.69,0.05,0.07,0.08,6;15
sfs,21782,66,3.12,5,5,0.85,0.83,0.82,0.05,0.06,0.06,6;15;49;56;59
sfs,21782,66,8.19,10,10,0.85,0.85,0.85,0.05,0.05,0.06,2;6;14;15;48;49;53;54;56;59
sfs,21782,66,14.78,15,15,0.85,0.87,0.87,0.05,0.05,0.05,2;6;13;14;15;33;48;49;50;51;53;54;56;59;65
sfs,21782,66,22.65,20,20,0.85,0.86,0.86,0.05,0.05,0.05,2;6;11;13;14;15;30;33;36;40;43;48;49;50;51;53;54;56;59;65
lasso,21782,66,0.15,2,2,0.85,0.57,0.52,0.05,0.09,0.1,6;59
lasso,21782,66,0.15,5,5,0.85,0.8,0.78,0.05,0.06,0.07,6;59;24;18;19
lasso,21782,66,0.15,10,10,0.85,0.81,0.79,0.05,0.06,0.06,6;59;24;18;19;20;21;22;23;65
lasso,21782,66,0.14,15,15,0.85,0.81,0.8,0.05,0.06,0.06,6;59;24;18;19;20;21;22;23;65;16;25;26;27;28
lasso,21782,66,0.15,20,20,0.85,0.82,0.81,0.05,0.06,0.06,6;59;24;18;19;20;21;22;23;65;16;25;26;27;28;29;17;14;15;31
fsdr,21782,66,26.82,2,2,0.85,0.6,0.55,0.05,0.09,0.09,6;34
fsdr,21782,66,36.95,5,5,0.85,0.81,0.8,0.05,0.06,0.06,6;17;32;36;54
fsdr,21782,66,52.59,10,9,0.85,0.84,0.83,0.05,0.05,0.06,6;12;17;28;31;33;47;54;59
fsdr,21782,66,68.1,15,13,0.85,0.83,0.82,0.05,0.06,0.06,7;11;17;18;26;31;33;34;38;47;54;57;59
fsdr,21782,66,86.25,20,13,0.85,0.82,0.82,0.05,0.06,0.06,6;10;12;17;18;27;30;31;33;36;47;54;59
mi,871,4200,12.76,2,2,0.55,0.59,0.42,0.13,0.09,0.14,399;397
mi,871,4200,12.65,5,5,0.55,0.6,0.42,0.13,0.09,0.14,399;397;396;398;395
mi,871,4200,12.74,10,10,0.55,0.6,0.41,0.13,0.09,0.14,399;397;396;398;395;394;400;393;401;406
mi,871,4200,12.84,15,15,0.55,0.59,0.42,0.13,0.09,0.14,399;397;396;398;395;394;400;393;401;406;402;405;404;403;407
mi,871,4200,12.83,20,20,0.55,0.67,0.43,0.13,0.08,0.14,399;397;396;398;395;394;400;393;401;406;402;405;404;403;407;360;408;392;409;357
sfs,871,4200,34.92,2,2,0.55,0.73,0.7,0.13,0.08,0.1,418;985
sfs,871,4200,88.12,5,5,0.55,0.87,0.89,0.13,0.05,0.06,418;985;3173;3632;3820
sfs,871,4200,188.66,10,10,0.55,0.9,0.9,0.13,0.05,0.06,5;418;886;985;3088;3173;3414;3632;3793;3820
sfs,871,4200,299.94,15,15,0.55,0.89,0.91,0.13,0.05,0.06,5;418;886;985;3088;3173;3411;3414;3548;3632;3793;3799;3809;3820;4115
sfs,871,4200,437.3,20,20,0.55,0.91,0.9,0.13,0.04,0.06,5;418;886;985;1985;2054;2855;2948;3088;3173;3402;3411;3414;3548;3632;3793;3799;3809;3820;4115
lasso,871,4200,1.07,2,2,0.55,0.16,0.07,0.13,0.13,0.18,2017;2016
lasso,871,4200,1.11,5,5,0.55,0.65,0.82,0.13,0.09,0.08,2017;2016;3812;2018;3813
lasso,871,4200,0.99,10,10,0.55,0.67,0.82,0.13,0.08,0.08,2017;2016;3812;2018;3813;2019;3814;3815;3811;3816
lasso,871,4200,0.97,15,15,0.55,0.86,0.9,0.13,0.05,0.06,2017;2016;3812;2018;3813;2019;3814;3815;3811;3816;3817;3818;418;415;2020
lasso,871,4200,1.1,20,20,0.55,0.86,0.9,0.13,0.05,0.06,2017;2016;3812;2018;3813;2019;3814;3815;3811;3816;3817;3818;418;415;2020;416;414;422;419;2021
fsdr,871,4200,10.79,2,2,0.55,0.63,0.47,0.13,0.09,0.14,333;2400
fsdr,871,4200,14.57,5,5,0.55,0.86,0.87,0.13,0.05,0.07,393;1397;2025;2657;3464
fsdr,871,4200,19.35,10,10,0.55,0.89,0.91,0.13,0.05,0.06,420;519;1003;1825;2022;2247;2653;2985;3463;3804
fsdr,871,4200,24.52,15,14,0.55,0.88,0.91,0.13,0.05,0.05,459;501;699;958;1414;1537;1701;2021;2133;2417;2448;2982;3401;3810
fsdr,871,4200,30.15,20,18,0.55,0.86,0.91,0.13,0.05,0.06,480;546;612;616;905;946;1553;2019;2020;2127;2405;2606;2654;2808;2998;3461;3617;3816
