epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0.07833,0.09512,0.00022,0.0,0.06,13,25,37,50,62,74,87,99,111,124,136,149,161,173,186
1,0.07833,0.09512,0.0001,0.0,0.08,13,25,37,50,62,74,87,99,111,124,136,148,161,173,186
2,0.07833,0.09512,0.00022,0.00012,0.1,13,25,37,50,62,75,87,99,111,124,136,148,161,173,186
3,0.07819,0.09512,0.00013,0.00037,0.12,13,25,37,50,62,75,87,99,111,124,136,148,161,173,186
4,0.07779,0.09512,-4e-05,0.00062,0.14,13,25,37,49,62,75,86,99,111,124,136,148,161,173,186
5,0.07765,0.09512,0.00018,0.00074,0.16,13,25,37,49,62,75,86,99,111,124,136,148,161,173,186
6,0.07765,0.0939,0.00036,-0.00036,0.18,13,25,37,49,62,75,86,99,111,124,136,148,161,173,186
7,0.07738,0.0939,0.0002,0.00013,0.2,13,25,37,49,62,75,86,99,111,124,137,148,161,173,186
8,0.07657,0.09024,-0.00056,-0.00317,0.23,13,25,37,49,62,75,86,99,111,124,137,148,161,173,186
9,0.07643,0.09024,-0.00049,-0.00304,0.25,13,25,37,49,62,75,86,99,111,124,137,148,161,173,186
10,0.07548,0.09024,-0.00115,-0.00255,0.27,13,25,37,49,62,75,86,99,111,124,137,148,161,173,185
11,0.07508,0.08902,-0.00109,-0.0034,0.29,13,25,37,49,62,75,86,99,111,124,137,148,161,173,185
12,0.0744,0.08902,-0.00165,-0.0034,0.31,13,25,37,49,62,75,86,99,111,124,137,148,161,173,185
13,0.07467,0.09024,-0.00144,-0.0023,0.33,13,25,37,49,62,75,86,99,111,124,137,148,161,173,185
14,0.07481,0.09024,-0.0015,-0.00243,0.35,13,25,37,49,62,75,86,99,111,124,137,148,161,173,185
15,0.07548,0.09024,-0.00093,-0.00243,0.37,13,25,37,49,62,75,86,99,111,124,137,148,161,173,185
16,0.07562,0.09024,-0.00094,-0.00267,0.39,13,25,37,49,62,75,86,99,111,124,137,148,161,173,185
17,0.07576,0.09024,-0.00095,-0.00304,0.41,13,25,37,49,62,75,86,99,111,124,137,148,161,173,185
18,0.07616,0.09146,-0.00072,-0.00219,0.43,13,25,37,49,62,75,86,99,111,124,137,148,161,173,185
19,0.07657,0.09146,-0.00044,-0.00219,0.45,13,25,37,49,62,75,86,99,110,124,137,148,161,173,185
20,0.07698,0.09146,-0.00022,-0.00219,0.47,13,25,37,49,62,75,86,99,110,124,137,148,161,173,185
21,0.07725,0.09146,-0.0001,-0.00244,0.49,13,25,37,49,62,75,86,99,110,124,137,148,161,173,185
22,0.07738,0.09268,-0.0002,-0.00146,0.51,13,25,37,49,62,75,86,99,110,124,137,148,160,173,185
23,0.07752,0.0939,-0.00026,-0.00061,0.53,13,25,37,49,62,75,86,99,110,124,137,148,160,173,185
24,0.07792,0.09512,-0.0,0.00049,0.55,13,25,37,49,62,75,86,99,110,124,137,148,160,173,185
25,0.07819,0.09512,0.00015,0.00037,0.58,13,26,36,49,62,75,86,99,110,124,136,148,160,173,185
26,0.07833,0.09512,0.00024,0.00012,0.6,13,26,36,49,62,75,86,98,110,124,136,148,160,173,185
27,0.07833,0.09512,0.00015,0.00012,0.62,13,26,36,49,62,75,86,98,110,124,136,148,160,173,185
28,0.07833,0.09512,0.00011,0.0,0.64,13,26,36,49,62,75,86,98,110,124,136,148,160,173,185
29,0.07833,0.09512,5e-05,0.0,0.66,13,26,36,50,62,75,86,98,110,124,136,148,160,174,185
30,0.07833,0.09512,2e-05,0.0,0.68,13,26,36,50,62,76,86,98,110,124,136,148,160,174,185
31,0.07833,0.09512,0.0,0.0,0.7,13,26,36,50,62,76,86,98,110,124,136,148,160,174,185
32,0.07833,0.09512,0.0,0.0,0.72,13,26,36,50,62,76,86,98,110,124,136,148,160,174,185
33,0.07833,0.09512,0.0,0.0,0.74,13,26,36,50,62,76,86,98,110,124,136,148,160,174,185
34,0.07833,0.09512,0.0,0.0,0.76,13,26,36,50,62,76,86,98,110,124,136,148,160,174,185
35,0.07833,0.09512,0.0,0.0,0.78,13,26,36,50,62,76,86,98,110,124,136,148,160,174,185
36,0.07847,0.09512,0.00012,0.0,0.8,13,26,36,50,62,76,86,98,110,124,136,148,160,174,185
37,0.07847,0.09512,1e-05,0.0,0.82,13,26,36,50,62,76,86,98,110,124,136,148,160,174,185
38,0.07901,0.09512,0.00015,-0.00033,0.84,12,26,36,50,62,76,86,98,110,124,136,148,160,174,185
39,0.07914,0.09634,-0.00074,-0.00063,0.87,12,26,36,50,62,76,86,98,110,124,136,148,160,174,185
40,0.07874,0.09634,-0.0035,-0.00178,0.89,12,26,36,50,62,76,86,98,110,124,136,148,160,174,185
41,0.07779,0.09512,-0.00897,-0.00628,0.91,12,26,36,50,62,76,86,98,110,124,136,148,160,174,185
42,0.0805,0.0939,-0.01151,-0.01132,0.93,12,26,36,50,62,76,86,98,110,124,136,148,160,174,185
43,0.09527,0.09512,-0.0055,-0.01596,0.95,12,26,36,50,62,76,86,98,110,124,136,148,160,174,185
44,0.12929,0.12073,0.01885,0.00321,0.97,12,26,36,50,62,76,86,98,110,124,136,148,160,174,185
45,0.14921,0.1439,0.03052,0.02018,0.99,12,26,36,50,62,76,86,97,110,124,136,148,160,174,185
46,0.16859,0.16098,0.04159,0.03055,1.01,12,26,36,50,62,76,86,97,110,124,136,148,160,174,185
47,0.19542,0.17317,0.05987,0.03425,1.03,12,26,36,50,62,76,86,97,110,124,136,148,160,174,185
48,0.20518,0.18659,0.06054,0.04104,1.05,12,26,36,50,62,76,86,97,110,124,136,148,160,174,185
49,0.21317,0.19024,0.05933,0.03942,1.08,12,26,36,50,62,76,86,97,110,124,136,148,160,174,185
50,0.22537,0.20488,0.06475,0.04857,1.1,12,26,36,50,62,76,86,97,110,124,136,148,160,174,185
51,0.22794,0.2061,0.0637,0.04567,1.12,12,26,36,50,62,76,86,97,110,124,136,148,160,174,185
52,0.22808,0.20854,0.06255,0.04781,1.14,12,26,36,50,62,76,86,97,110,124,136,148,160,174,185
53,0.22971,0.2122,0.06324,0.05067,1.16,12,26,36,50,62,76,86,97,110,124,136,148,160,174,185
54,0.22849,0.21463,0.06062,0.05265,1.18,12,26,36,50,62,76,86,97,110,124,136,148,160,174,185
55,0.22889,0.21341,0.06003,0.05044,1.2,12,26,36,50,62,76,86,97,110,124,136,148,160,174,185
56,0.22862,0.21341,0.05907,0.05015,1.22,12,26,36,50,62,76,86,97,110,124,136,148,160,174,185
57,0.22781,0.2122,0.05734,0.04799,1.24,12,26,36,50,62,76,86,97,110,124,136,148,160,174,185
