algorithm,rows,columns,time,target_size,final_size,r2_train,r2_test,rmse_train,rmse_test,selected_features
rf,247,2151,1592.44,2,2,0.87,0.34,0.07,0.16,2085;2131
mcuve,247,2151,0.62,2,2,0.88,0.1,0.06,0.18,1868;1870
rf,247,2151,1492.62,5,5,0.89,0.17,0.06,0.18,2;1926;2049;2085;2131
mcuve,247,2151,0.6,5,5,0.88,0.14,0.06,0.18,1867;1868;1869;1870;1871
