algorithm,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
mi,21782,66,8,2,2,0.86,0.57,0.53,0.05,0.09,0.1,6;5
mi,21782,66,7.78,5,5,0.86,0.72,0.69,0.05,0.07,0.08,6;5;7;8;4
mi,21782,66,7.96,10,10,0.86,0.72,0.69,0.05,0.07,0.08,6;5;7;8;4;9;10;3;11;2
mi,21782,66,7.93,15,15,0.86,0.75,0.72,0.05,0.07,0.07,6;5;7;8;4;9;10;3;11;2;12;1;13;0;14
mi,21782,66,8.02,20,20,0.86,0.81,0.8,0.05,0.06,0.06,6;5;7;8;4;9;10;3;11;2;12;1;13;0;14;52;59;54;15;60
lasso,21782,66,0.02,2,2,0.86,0.24,0.22,0.05,0.12,0.12,65;16
lasso,21782,66,0.02,5,5,0.86,0.39,0.35,0.05,0.11,0.11,65;16;30;29;28
lasso,21782,66,0.02,10,10,0.86,0.29,0.26,0.05,0.12,0.12,65;16;30;29;28;27;26;25;24;23
lasso,21782,66,0.03,15,15,0.86,0.52,0.5,0.05,0.09,0.1,65;16;30;29;28;27;26;25;24;23;22;21;20;19;18
lasso,21782,66,0.02,20,20,0.86,0.7,0.67,0.05,0.07,0.08,65;16;30;29;28;27;26;25;24;23;22;21;20;19;18;17;15;64;14;13
fscr,21782,66,60.4,2,2,0.86,0.65,0.6,0.05,0.08,0.09,5;31
fscr,21782,66,79.61,5,5,0.86,0.81,0.8,0.05,0.06,0.06,6;21;32;34;54
fscr,21782,66,136.51,10,9,0.86,0.84,0.83,0.05,0.05,0.06,6;21;28;29;31;33;47;54;59
fscr,21782,66,155.89,15,10,0.86,0.82,0.82,0.05,0.06,0.06,7;17;19;28;30;31;33;47;54;59
fscr,21782,66,203.25,20,9,0.86,0.83,0.82,0.05,0.06,0.06,7;24;25;30;31;33;47;54;59
rfe,21782,66,1.21,2,2,0.86,0.15,0.13,0.05,0.13,0.13,38;39
rfe,21782,66,1.21,5,5,0.86,0.18,0.15,0.05,0.12,0.13,25;26;37;38;39
rfe,21782,66,1.19,10,10,0.86,0.16,0.14,0.05,0.12,0.13,24;25;26;28;29;37;38;39;43;44
rfe,21782,66,1.08,15,15,0.86,0.46,0.43,0.05,0.1,0.11,19;20;21;24;25;26;28;29;36;37;38;39;40;43;44
rfe,21782,66,1.17,20,20,0.86,0.49,0.46,0.05,0.1,0.1,18;19;20;21;23;24;25;26;28;29;33;34;36;37;38;39;40;42;43;44
