algorithm,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
fscr,21782,4200,75.72,2,2,0.85,0.62,0.57,0.05,0.08,0.08,342;2433
fscr,21782,4200,170.98,5,5,0.85,0.84,0.82,0.05,0.06,0.05,401;1385;2024;2768;3456
fscr,21782,4200,166.82,10,9,0.85,0.85,0.85,0.05,0.05,0.05,422;1129;1399;1885;1888;2139;2981;3413;3797
fscr,21782,4200,299.94,15,13,0.85,0.84,0.84,0.05,0.05,0.05,419;1398;1451;1803;1922;1926;2020;2128;2132;2974;3424;3435;3804
fscr,21782,4200,311.41,20,14,0.85,0.84,0.84,0.05,0.05,0.05,434;1398;1415;1874;1880;1925;2020;2132;2134;2973;3403;3410;3735;3745
fscr,21782,66,67.17,2,2,0.9,0.64,0.7,0.04,0.08,0.08,5;31
fscr,21782,66,137.96,5,5,0.9,0.8,0.86,0.04,0.06,0.05,6;23;32;36;54
fscr,21782,66,205.61,10,9,0.9,0.83,0.88,0.04,0.06,0.05,6;21;26;30;31;33;47;54;59
fscr,21782,66,175.88,15,10,0.9,0.84,0.89,0.04,0.05,0.05,7;23;27;30;31;33;47;54;57;59
fscr,21782,66,334.94,20,10,0.9,0.83,0.88,0.04,0.06,0.05,6;22;27;30;31;33;47;54;58;59
fscr,2963,4200,23.33,2,2,0.54,0.63,0.52,0.08,0.1,0.09,343;2419
fscr,2963,4200,30.78,5,5,0.54,0.88,0.79,0.08,0.06,0.06,393;1401;2023;2658;3465
fscr,2963,4200,45.31,10,10,0.54,0.89,0.82,0.08,0.05,0.05,408;418;1404;1833;1856;2021;2651;2999;3444;3817
fscr,2963,4200,59.27,15,14,0.54,0.88,0.82,0.08,0.05,0.05,408;696;954;1054;1751;1926;2021;2022;2242;2326;2986;3421;3733;3814
fscr,2963,4200,72.87,20,18,0.54,0.9,0.83,0.08,0.05,0.05,418;579;1036;1103;1642;1749;1758;2017;2020;2111;2134;2147;2397;2966;3171;3444;3623;3817
