algorithm,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
mi,21782,4200,403.89,2,2,0.78,0.55,0.5,0.07,0.09,0.1,418;417
mi,21782,4200,401.6,5,5,0.78,0.55,0.5,0.07,0.09,0.1,418;417;437;438;439
mi,21782,4200,392.1,10,10,0.78,0.56,0.52,0.07,0.09,0.1,418;417;437;438;439;419;436;416;379;415
mi,21782,4200,391.73,15,15,0.78,0.57,0.53,0.07,0.09,0.1,418;417;437;438;439;419;436;416;379;415;450;396;435;420;449
mi,21782,4200,393.04,20,20,0.78,0.7,0.66,0.07,0.07,0.08,418;417;437;438;439;419;436;416;379;415;450;396;435;420;449;413;414;371;457;421
sfs,21782,4200,54.65,2,2,0.78,0.58,0.54,0.07,0.09,0.1,412;993
sfs,21782,4200,196.63,5,5,0.78,0.83,0.82,0.07,0.06,0.06,412;993;2986;3631;3820
sfs,21782,4200,559.01,10,10,0.78,0.86,0.86,0.07,0.05,0.05,151;412;903;993;2986;3259;3446;3631;3820;4199
sfs,21782,4200,1188.19,15,15,0.78,0.86,0.86,0.07,0.05,0.05,151;412;903;993;2986;3126;3187;3259;3446;3550;3631;3786;3820;3830;4199
sfs,21782,4200,2146.56,20,20,0.78,0.87,0.87,0.07,0.05,0.05,151;412;903;993;2906;2986;3002;3126;3148;3187;3259;3391;3446;3550;3631;3770;3786;3820;3830;4199
lasso,21782,4200,154.82,2,2,0.78,0.56,0.51,0.07,0.09,0.1,403;404
lasso,21782,4200,154.16,5,5,0.78,0.58,0.53,0.07,0.09,0.1,403;404;406;3818;3819
lasso,21782,4200,154.09,10,10,0.78,0.57,0.53,0.07,0.09,0.1,403;404;406;3818;3819;407;409;405;410;412
lasso,21782,4200,153.59,15,15,0.78,0.57,0.53,0.07,0.09,0.1,403;404;406;3818;3819;407;409;405;410;412;408;402;413;414;411
lasso,21782,4200,154.81,20,20,0.78,0.8,0.78,0.07,0.06,0.07,403;404;406;3818;3819;407;409;405;410;412;408;402;413;414;411;3820;1419;1418;1415;1417
fsdr,21782,4200,26.56,2,2,0.78,0.61,0.56,0.07,0.09,0.09,351;2426
fsdr,21782,4200,38.7,5,5,0.78,0.82,0.81,0.07,0.06,0.06,412;1111;2023;2447;3461
fsdr,21782,4200,60.62,10,9,0.78,0.85,0.84,0.07,0.05,0.06,416;776;1113;1919;2020;2138;2984;3435;3806
fsdr,21782,4200,85.43,15,14,0.78,0.83,0.83,0.07,0.06,0.06,444;635;841;1056;1511;1762;1922;2020;2122;2141;2986;3435;3440;3808
fsdr,21782,4200,106.39,20,18,0.78,0.83,0.82,0.07,0.06,0.06,421;427;453;460;1116;1323;1401;1819;1871;2020;2137;2140;2271;2979;2984;2996;3409;3805
mi,21782,66,6.47,2,2,0.86,0.56,0.52,0.05,0.09,0.1,6;5
mi,21782,66,6.57,5,5,0.86,0.68,0.63,0.05,0.08,0.09,6;5;7;8;4
mi,21782,66,6.49,10,10,0.86,0.75,0.71,0.05,0.07,0.08,6;5;7;8;4;9;10;3;11;2
mi,21782,66,6.46,15,15,0.86,0.74,0.72,0.05,0.07,0.08,6;5;7;8;4;9;10;3;11;2;12;1;13;0;14
mi,21782,66,6.58,20,20,0.86,0.81,0.79,0.05,0.06,0.06,6;5;7;8;4;9;10;3;11;2;12;1;13;0;14;52;59;54;15;60
sfs,21782,66,0.97,2,2,0.86,0.58,0.54,0.05,0.09,0.1,6;15
sfs,21782,66,3.16,5,5,0.86,0.83,0.82,0.05,0.06,0.06,6;15;49;56;59
sfs,21782,66,8.57,10,10,0.86,0.85,0.84,0.05,0.05,0.06,2;6;14;15;48;49;53;54;56;59
sfs,21782,66,14.67,15,15,0.86,0.86,0.86,0.05,0.05,0.05,2;6;13;14;15;33;48;49;50;51;53;54;56;59;65
sfs,21782,66,22.93,20,20,0.86,0.86,0.86,0.05,0.05,0.05,2;6;11;13;14;15;30;33;36;40;43;48;49;50;51;53;54;56;59;65
lasso,21782,66,0.15,2,2,0.86,0.55,0.51,0.05,0.09,0.1,6;59
lasso,21782,66,0.15,5,5,0.86,0.79,0.78,0.05,0.06,0.07,6;59;24;18;19
lasso,21782,66,0.14,10,10,0.86,0.8,0.79,0.05,0.06,0.06,6;59;24;18;19;20;21;22;23;65
lasso,21782,66,0.15,15,15,0.86,0.81,0.79,0.05,0.06,0.06,6;59;24;18;19;20;21;22;23;65;16;25;26;27;28
lasso,21782,66,0.13,20,20,0.86,0.83,0.82,0.05,0.06,0.06,6;59;24;18;19;20;21;22;23;65;16;25;26;27;28;29;17;14;15;31
fsdr,21782,66,21.04,2,2,0.86,0.63,0.59,0.05,0.08,0.09,5;31
fsdr,21782,66,33.21,5,5,0.86,0.8,0.79,0.05,0.06,0.06,6;17;32;38;54
fsdr,21782,66,49.68,10,8,0.86,0.84,0.83,0.05,0.05,0.06,6;18;24;31;40;48;54;60
fsdr,21782,66,62.78,15,9,0.86,0.83,0.82,0.05,0.06,0.06,7;8;18;19;31;33;47;54;59
fsdr,21782,66,79.95,20,13,0.86,0.83,0.82,0.05,0.06,0.06,6;9;15;17;20;25;30;31;33;35;47;54;59
mi,871,4200,13.17,2,2,0.83,0.59,0.42,0.08,0.09,0.14,399;397
mi,871,4200,13.5,5,5,0.83,0.6,0.42,0.08,0.09,0.14,399;397;396;398;395
mi,871,4200,13.27,10,10,0.83,0.6,0.41,0.08,0.09,0.14,399;397;396;398;395;394;400;393;401;406
mi,871,4200,13.61,15,15,0.83,0.59,0.42,0.08,0.09,0.14,399;397;396;398;395;394;400;393;401;406;402;405;404;403;407
mi,871,4200,13.45,20,20,0.83,0.67,0.43,0.08,0.08,0.14,399;397;396;398;395;394;400;393;401;406;402;405;404;403;407;360;408;392;409;357
sfs,871,4200,37.81,2,2,0.83,0.73,0.7,0.08,0.08,0.1,418;985
sfs,871,4200,98.15,5,5,0.83,0.87,0.89,0.08,0.05,0.06,418;985;3173;3632;3820
sfs,871,4200,183.43,10,10,0.83,0.9,0.9,0.08,0.05,0.06,5;418;886;985;3088;3173;3414;3632;3793;3820
sfs,871,4200,276.62,15,15,0.83,0.89,0.91,0.08,0.05,0.06,5;418;886;985;3088;3173;3411;3414;3548;3632;3793;3799;3809;3820;4115
sfs,871,4200,408.22,20,20,0.83,0.91,0.9,0.08,0.04,0.06,5;418;886;985;1985;2054;2855;2948;3088;3173;3402;3411;3414;3548;3632;3793;3799;3809;3820;4115
lasso,871,4200,1.07,2,2,0.83,0.16,0.07,0.08,0.13,0.18,2017;2016
lasso,871,4200,1.04,5,5,0.83,0.65,0.82,0.08,0.09,0.08,2017;2016;3812;2018;3813
lasso,871,4200,1.03,10,10,0.83,0.67,0.82,0.08,0.08,0.08,2017;2016;3812;2018;3813;2019;3814;3815;3811;3816
lasso,871,4200,0.98,15,15,0.83,0.86,0.9,0.08,0.05,0.06,2017;2016;3812;2018;3813;2019;3814;3815;3811;3816;3817;3818;418;415;2020
lasso,871,4200,1.05,20,20,0.83,0.86,0.9,0.08,0.05,0.06,2017;2016;3812;2018;3813;2019;3814;3815;3811;3816;3817;3818;418;415;2020;416;414;422;419;2021
fsdr,871,4200,10.36,2,2,0.83,0.63,0.47,0.08,0.09,0.14,341;2455
fsdr,871,4200,14.01,5,5,0.83,0.86,0.89,0.08,0.05,0.06,409;999;2024;2649;3469
fsdr,871,4200,19.73,10,10,0.83,0.89,0.91,0.08,0.05,0.06,437;511;979;1833;2019;2020;2641;2978;3450;3816
fsdr,871,4200,25.54,15,15,0.83,0.89,0.92,0.08,0.05,0.05,420;486;918;937;1535;1878;1931;2014;2347;2438;2653;2984;3463;3611;3816
fsdr,871,4200,30.84,20,20,0.83,0.9,0.92,0.08,0.05,0.05,400;437;530;538;999;1003;1399;1866;1869;2021;2097;2416;2626;2969;2982;2997;3154;3454;3800;3802
