epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
28,0.11983618233618233,0.11217948717948718,0.0,0.0,0.24,6,13,19,25,31,37,43,49,55,61,69,74,80,87,92,98,105,112,117,123
29,0.11983618233618233,0.11217948717948718,0.0,0.0,0.24,6,13,19,25,31,37,43,49,55,61,69,74,80,87,92,98,105,112,117,123
30,0.11983618233618233,0.11217948717948718,0.0,0.0,0.25,6,13,19,25,31,37,43,49,55,61,69,74,80,87,92,98,105,112,117,123
31,0.11983618233618233,0.11217948717948718,0.0,0.0,0.26,6,13,19,25,31,37,43,49,55,61,69,74,80,87,92,98,105,112,117,123
32,0.11983618233618233,0.11217948717948718,0.0,0.0,0.27,7,13,19,25,31,37,43,49,55,61,69,74,80,87,92,98,105,112,117,123
33,0.11983618233618233,0.11217948717948718,0.0,0.0,0.28,7,13,19,26,31,37,43,49,55,61,69,74,80,87,92,98,105,112,117,123
34,0.11983618233618233,0.11217948717948718,0.0,0.0,0.28,7,13,19,26,31,37,43,49,55,61,69,73,80,88,92,98,105,112,117,123
35,0.11983618233618233,0.11217948717948718,0.0,0.0,0.29,7,13,19,26,31,37,43,49,55,61,69,73,80,88,92,98,105,112,117,123
36,0.11983618233618233,0.11217948717948718,0.0,0.0,0.3,7,13,19,26,32,37,43,49,55,61,69,73,80,88,92,98,105,112,117,123
37,0.11983618233618233,0.11217948717948718,0.0,0.0,0.3,7,13,19,26,32,37,43,49,55,61,69,73,80,88,92,98,105,112,117,123
38,0.11983618233618233,0.11217948717948718,0.0,0.0,0.31,7,13,19,26,32,37,43,49,55,61,69,73,80,88,92,98,105,112,117,123
39,0.12197293447293447,0.11378205128205128,0.0019570186785884403,0.0014728819003361204,0.32,7,13,19,26,32,37,43,49,55,61,69,73,80,88,92,98,105,112,117,123
40,0.13764245014245013,0.1282051282051282,0.016233743686137836,0.014444112173410684,0.32,7,13,19,26,32,37,43,49,55,61,69,73,80,88,92,98,105,112,117,123
41,0.16274928774928774,0.1362179487179487,0.03924125532286238,0.020887249607727254,0.33,7,13,19,26,32,37,43,49,55,61,69,73,80,88,92,98,105,112,117,123
42,0.18465099715099714,0.16025641025641027,0.05837089225137426,0.04171905360612638,0.34,7,13,19,26,32,37,43,49,55,61,69,73,81,88,91,98,105,112,117,123
43,0.21331908831908833,0.19230769230769232,0.07960071237080835,0.06569898191087031,0.34,7,13,19,26,32,37,43,49,55,61,69,73,81,88,91,98,105,112,117,123
44,0.24074074074074073,0.22916666666666666,0.09208018134264662,0.08744747739475722,0.35,7,13,19,26,32,37,43,49,55,61,69,73,81,88,91,98,105,112,117,123
45,0.270477207977208,0.26282051282051283,0.1097260105738248,0.10539307352831162,0.36,7,13,19,26,32,37,43,49,55,61,69,73,81,88,91,98,105,112,117,123
46,0.2948717948717949,0.2900641025641026,0.12417365631514365,0.12369274467349922,0.36,7,13,19,26,32,37,43,48,55,61,69,73,81,88,91,98,105,112,117,123
