epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0.2420190338513432,0.2221018418201517,0.0,0.0,0.01,8,15,23,31,38,46,53,61,69,76,84,91,99,107,114,122,129,137,145,152,160,168,175,183,190
1,0.2420190338513432,0.2221018418201517,0.0,0.0,0.02,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,168,175,183,190
2,0.2420190338513432,0.2221018418201517,0.0,0.0,0.03,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
3,0.2420190338513432,0.2221018418201517,0.0,0.0,0.05,8,15,23,31,38,46,54,61,69,76,84,91,99,107,115,122,129,137,145,152,160,167,175,183,190
4,0.2420190338513432,0.2221018418201517,0.0,0.0,0.06,8,15,23,31,38,46,54,61,69,76,84,92,99,107,115,122,129,137,145,153,160,167,175,183,190
5,0.2420190338513432,0.2221018418201517,0.0,0.0,0.07,8,16,23,31,38,46,54,61,69,76,84,92,99,107,115,122,129,137,145,153,160,167,175,183,190
6,0.2420190338513432,0.2221018418201517,0.0,0.0,0.08,8,16,23,31,38,46,54,61,69,76,84,92,99,107,115,122,129,137,145,153,160,167,175,183,190
7,0.2420190338513432,0.2221018418201517,0.0,0.0,0.09,8,16,23,31,38,46,54,61,69,76,83,91,100,107,115,122,129,137,145,153,160,167,175,183,190
8,0.2420190338513432,0.2221018418201517,0.0,0.0,0.1,8,16,23,31,38,46,54,61,69,76,83,91,100,107,115,122,129,138,145,153,160,167,175,183,190
9,0.2420190338513432,0.2221018418201517,0.0,0.0,0.11,8,16,23,31,38,46,54,61,69,76,83,91,100,107,115,122,129,138,145,153,160,167,175,183,190
10,0.2420190338513432,0.2221018418201517,0.0,0.0,0.12,8,16,23,31,38,46,54,61,69,76,83,91,100,107,115,122,129,138,145,153,160,167,175,183,190
11,0.2420190338513432,0.2221018418201517,0.0,0.0,0.13,8,16,23,31,38,46,54,61,69,76,83,91,100,107,115,122,129,138,145,153,160,167,175,183,190
12,0.2420190338513432,0.2221018418201517,0.0,0.0,0.14,8,16,23,30,38,46,54,61,69,76,83,91,100,107,115,122,129,138,145,153,160,167,175,183,190
