epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.18130008904719502,0.16346153846153846,0.039175546695482844,0.01702035199536467,0.01,12,24,35,47,59,71,83,94,106,118
1,0.20658949243098843,0.20352564102564102,0.054090197053883404,0.04295659902236715,0.02,12,24,35,47,59,71,83,94,106,118
2,0.231166518254675,0.22596153846153846,0.07014188993628123,0.05840893754217591,0.03,12,24,35,47,59,71,82,94,106,118
3,0.2475512021371327,0.2419871794871795,0.08106812569602473,0.06953166376636144,0.04,12,24,35,47,59,71,82,94,106,118
4,0.2642920747996438,0.2724358974358974,0.09387616622269823,0.09700122399020794,0.04,12,24,35,47,59,71,82,94,106,118
5,0.28352626892252897,0.30288461538461536,0.10958463763689719,0.12610106629578122,0.06,12,24,35,47,59,71,82,94,106,118
6,0.2958147818343722,0.32211538461538464,0.11860285969905227,0.14325777050712785,0.06,12,24,35,47,59,71,82,94,106,118
7,0.30525378450578805,0.3333333333333333,0.12266675702703034,0.1484805542434262,0.07,12,24,35,47,59,71,82,94,106,118
8,0.3145146927871772,0.34775641025641024,0.12475773249358335,0.153575427931531,0.08,12,24,35,47,59,71,82,94,106,118
9,0.32110418521816564,0.35096153846153844,0.11711724346161112,0.13949497425839663,0.09,12,23,35,47,59,70,82,94,106,118
10,0.31843276936776493,0.34134615384615385,0.09052923842051963,0.10442507542742208,0.1,12,23,35,47,59,70,82,94,106,118
11,0.30489759572573466,0.3301282051282051,0.048573353535763086,0.058395425402876455,0.11,12,23,35,47,59,70,82,94,106,118
12,0.3065004452359751,0.3349358974358974,0.035401874967408986,0.04782915637133778,0.12,12,23,35,47,59,70,82,94,106,118
13,0.30596616206589494,0.3301282051282051,0.023797551639233472,0.03068141277202996,0.13,12,23,35,47,59,70,82,94,106,118
14,0.29902048085485305,0.32211538461538464,0.008471980229593723,0.012480919457663608,0.14,12,23,35,47,59,70,82,94,106,118
15,0.29528049866429207,0.3157051282051282,0.0014094884672822827,0.0,0.15,12,23,35,47,59,70,82,94,106,118
16,0.29456812110418523,0.3157051282051282,0.0,0.0,0.16,12,23,35,47,58,70,82,94,106,118
17,0.29456812110418523,0.3157051282051282,0.0,0.0,0.16,12,23,35,47,58,70,82,94,106,118
18,0.29456812110418523,0.3157051282051282,0.0,0.0,0.17,12,23,35,47,58,70,82,94,106,118
19,0.29456812110418523,0.3157051282051282,0.0,0.0,0.18,12,23,35,47,58,70,82,94,106,118
20,0.29456812110418523,0.3157051282051282,0.0,0.0,0.19,12,23,35,47,58,70,82,94,106,118
21,0.29456812110418523,0.3157051282051282,0.0,0.0,0.2,12,23,35,47,58,70,82,94,106,118
22,0.29456812110418523,0.3157051282051282,0.0,0.0,0.2,12,23,35,47,58,70,82,94,106,118
23,0.29456812110418523,0.3157051282051282,0.0,0.0,0.21,12,23,35,47,58,70,82,94,106,118
24,0.29456812110418523,0.3157051282051282,0.0,0.0,0.22,12,23,35,47,58,70,82,94,106,118
25,0.29456812110418523,0.3157051282051282,0.0,0.0,0.23,12,23,35,47,58,70,82,94,106,118
26,0.29456812110418523,0.3157051282051282,0.0,0.0,0.24,12,23,35,47,58,70,82,94,106,118
27,0.29456812110418523,0.3157051282051282,0.0,0.0,0.25,12,23,35,47,58,70,82,94,106,118
28,0.29456812110418523,0.3157051282051282,0.0,0.0,0.25,12,23,35,47,58,70,82,94,106,118
29,0.29456812110418523,0.3157051282051282,0.0,0.0,0.26,12,23,35,47,58,70,82,94,106,118
30,0.29456812110418523,0.3157051282051282,0.0,0.0,0.27,12,23,35,47,58,70,82,93,106,118
31,0.29456812110418523,0.3157051282051282,0.0,0.0,0.27,12,23,35,47,58,70,82,93,106,118
32,0.29456812110418523,0.3157051282051282,0.0,0.0,0.28,12,23,35,47,58,70,82,93,106,118
33,0.29456812110418523,0.3157051282051282,0.0,0.0,0.29,12,23,35,47,58,70,82,93,106,118
34,0.29456812110418523,0.3157051282051282,0.0,0.0,0.29,12,23,35,47,58,70,82,93,106,118
35,0.29456812110418523,0.3157051282051282,0.0,0.0,0.3,12,23,35,47,58,70,82,93,106,118
36,0.29456812110418523,0.3157051282051282,0.0,0.0,0.31,12,23,35,47,58,70,82,93,106,118
37,0.29456812110418523,0.3157051282051282,0.0,0.0,0.31,12,23,35,47,58,69,82,93,106,118
38,0.29456812110418523,0.3157051282051282,0.0,0.0,0.32,12,23,35,47,58,69,82,93,106,118
39,0.29456812110418523,0.3157051282051282,0.0,0.0,0.33,12,23,35,47,58,69,82,93,106,118
40,0.29456812110418523,0.3157051282051282,0.0,0.0,0.33,12,23,35,47,58,69,82,93,106,118
