epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.009155523430911939,0.009750812567713976,0.0,0.0,0.01,18,36,54,72,90,108,126,144,162,180
1,0.009155523430911939,0.009750812567713976,0.0,0.0,0.02,18,36,54,72,90,108,126,144,162,180
2,0.009155523430911939,0.009750812567713976,0.0,0.0,0.03,18,36,54,72,90,108,126,144,162,180
3,0.009155523430911939,0.009750812567713976,0.0,0.0,0.03,18,36,54,72,90,108,126,144,162,180
4,0.009155523430911939,0.009750812567713976,0.0,0.0,0.04,18,36,54,72,90,108,126,144,162,180
5,0.009155523430911939,0.009750812567713976,0.0,0.0,0.05,18,36,54,72,90,108,126,144,162,180
6,0.009155523430911939,0.009750812567713976,0.0,0.0,0.06,18,36,54,72,90,108,126,144,162,180
7,0.009155523430911939,0.009750812567713976,0.0,0.0,0.07,18,36,54,72,90,108,126,144,162,180
8,0.009155523430911939,0.009750812567713976,0.0,0.0,0.08,18,36,54,72,90,108,126,144,162,180
9,0.009155523430911939,0.009750812567713976,0.0,0.0,0.08,18,36,55,72,90,108,126,144,162,180
10,0.009155523430911939,0.009750812567713976,0.0,0.0,0.09,18,36,55,73,90,108,126,144,162,180
11,0.009155523430911939,0.009750812567713976,0.0,0.0,0.1,18,36,55,73,90,108,126,144,162,180
12,0.009155523430911939,0.009750812567713976,0.0,0.0,0.11,18,36,55,73,89,108,126,144,162,180
13,0.009155523430911939,0.009750812567713976,0.0,0.0,0.11,18,36,55,73,89,108,126,144,162,180
14,0.009155523430911939,0.009750812567713976,0.0,0.0,0.12,18,36,55,72,89,108,126,143,162,180
15,0.009155523430911939,0.009750812567713976,0.0,0.0,0.13,18,36,55,72,89,108,126,143,163,180
16,0.009155523430911939,0.009750812567713976,0.0,0.0,0.13,18,36,55,72,89,108,126,143,163,180
17,0.009155523430911939,0.009750812567713976,0.0,0.0,0.14,18,36,55,72,89,108,126,143,163,180
18,0.009155523430911939,0.009750812567713976,0.0,0.0,0.15,18,36,55,72,89,108,126,143,163,180
19,0.009155523430911939,0.009750812567713976,0.0,0.0,0.16,18,36,55,72,89,108,126,143,163,180
20,0.009155523430911939,0.009750812567713976,0.0,0.0,0.17,18,36,55,72,89,108,126,143,163,180
