epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
0,0.01655982905982906,0.019230769230769232,0.0,0.0,0.01,4,8,13,17,21,25,29,34,38,42,46,50,54,59,63,67,71,75,80,84,88,92,96,100,105,109,113,117,121,126
1,0.01655982905982906,0.019230769230769232,0.0,0.0,0.02,4,9,13,17,21,25,29,34,38,42,46,50,54,59,63,67,71,75,79,84,88,92,96,100,105,109,113,117,121,126
2,0.01655982905982906,0.019230769230769232,0.0,0.0,0.02,4,9,13,17,21,25,29,33,38,42,46,50,54,59,63,67,71,75,79,84,88,92,96,101,105,109,113,117,121,125
3,0.01655982905982906,0.019230769230769232,0.0,0.0,0.03,4,9,13,17,21,25,29,33,38,42,46,50,54,59,63,67,71,75,79,84,88,92,96,101,105,109,113,117,121,125
4,0.01655982905982906,0.019230769230769232,-0.00014419900804507613,0.0,0.04,4,9,13,17,21,25,30,33,38,42,46,50,54,58,63,67,71,75,79,84,88,92,96,101,105,109,113,117,121,125
5,0.016025641025641024,0.019230769230769232,-0.0012830444770575156,-0.0006288517167654106,0.05,4,9,13,17,21,25,30,33,38,42,46,50,54,58,63,67,71,75,79,84,88,92,96,101,105,109,113,117,121,125
6,0.01477920227920228,0.017628205128205128,-0.003782468780039183,-0.0033680632062702553,0.06,4,9,13,17,21,25,30,33,38,42,46,51,54,58,63,67,71,75,79,84,88,92,96,101,105,109,113,117,121,125
7,0.01282051282051282,0.017628205128205128,-0.007852809375062053,-0.006033380849933323,0.07,4,9,13,17,21,25,30,33,38,42,46,51,54,58,63,67,71,75,79,84,88,92,96,101,105,109,113,117,121,125
8,0.011396011396011397,0.019230769230769232,-0.010873001088227197,-0.005502925239206258,0.08,4,9,13,17,21,25,30,33,38,42,46,51,54,58,63,67,71,75,79,84,88,92,96,101,105,109,113,117,121,125
9,0.010505698005698005,0.017628205128205128,-0.013469733416979102,-0.007942070840952997,0.08,4,9,13,17,21,25,30,33,38,42,46,51,54,58,63,67,71,75,79,84,88,92,96,101,105,109,113,117,121,125
10,0.010327635327635327,0.016025641025641024,-0.01698076845696561,-0.011959599374550933,0.09,4,9,13,17,21,25,30,33,38,42,46,51,54,58,63,67,71,75,79,84,88,92,96,101,105,109,113,117,121,125
11,0.012108262108262107,0.017628205128205128,-0.021574779454921034,-0.016486495105073384,0.1,4,9,13,17,21,25,30,33,38,42,46,51,54,58,63,67,71,75,79,84,88,92,96,101,105,109,113,117,121,125
12,0.018696581196581196,0.027243589743589744,-0.02868786937889478,-0.02375816940466735,0.1,4,9,13,17,21,25,30,33,38,42,46,51,54,58,63,67,71,75,79,84,88,92,96,101,105,109,113,117,121,125
13,0.03970797720797721,0.049679487179487176,-0.03670373053434983,-0.032922247221121026,0.11,4,9,13,17,21,25,30,33,38,42,46,51,54,58,63,67,71,75,79,84,88,92,96,101,105,109,113,117,121,125
14,0.06303418803418803,0.0641025641025641,-0.044347404618554576,-0.05040815385324926,0.12,4,9,13,17,21,25,30,33,38,42,46,51,54,58,63,67,71,75,79,84,88,92,96,101,105,109,113,117,121,125
15,0.07977207977207977,0.08012820512820513,-0.05678218058455453,-0.07222914072229147,0.13,4,9,13,17,21,25,30,33,38,41,46,51,54,58,63,68,71,75,79,84,88,92,96,101,105,109,113,117,121,125
16,0.10701566951566951,0.10096153846153846,-0.07397588402440536,-0.08675702692802001,0.14,4,9,13,17,21,25,30,33,38,41,46,51,54,58,63,68,71,75,79,84,88,92,96,101,105,108,113,117,121,125
17,0.20619658119658119,0.22275641025641027,-0.04280419427064586,-0.04413347685683533,0.15,4,9,13,17,21,25,30,33,38,41,46,51,54,58,63,68,71,75,79,84,88,92,96,101,105,108,113,117,121,125
18,0.30092592592592593,0.30288461538461536,-0.01525912862958756,-0.03131482762027038,0.16,4,9,13,17,21,25,30,33,38,41,46,51,54,58,63,68,71,75,79,84,88,92,96,101,105,108,113,117,121,125
19,0.344017094017094,0.34455128205128205,-0.01430360505912831,-0.02877320842638187,0.16,4,9,13,17,21,25,30,33,38,41,46,51,54,58,63,68,71,75,79,84,88,92,96,101,105,108,113,117,121,125
20,0.36253561253561256,0.3717948717948718,-0.007562451464280251,-0.012500620891766179,0.17,4,9,13,17,21,25,30,33,38,41,46,51,54,58,63,68,71,75,79,84,89,92,96,101,105,108,113,117,121,125
21,0.37072649572649574,0.3782051282051282,-0.0027224190055716857,-0.006962293813789655,0.18,4,9,13,17,21,25,30,33,38,41,46,51,54,58,63,68,70,75,79,84,89,92,96,100,105,108,113,117,121,125
