algorithm,rows,columns,time,target_size,final_size,r2_train,r2_test,rmse_train,rmse_test,selected_features
fsdr,62,2151,6.15,2,2,0.95,0.29,0.04,0.02,709;1298
fsdr,62,2151,5.87,5,5,0.95,0.5,0.04,0.01,333;820;1152;1364;1757
fsdr,62,2151,9.62,10,10,0.95,0.2,0.04,0.02,265;511;699;940;1066;1204;1252;1500;1658;1866
fsdr,62,2151,16.9,20,20,0.95,0.44,0.04,0.01,139;247;384;498;610;674;786;938;977;1065;1178;1187;1296;1415;1493;1667;1693;1840;1910;1984
sfs,62,2151,20.19,2,2,0.95,0.44,0.04,0.01,27;665
sfs,62,2151,50.95,5,5,0.95,0.49,0.04,0.01,7;23;24;27;665
sfs,62,2151,101.37,10,10,0.95,0.48,0.04,0.01,7;10;11;17;23;24;26;27;31;665
sfs,62,2151,206.65,20,20,0.95,0.48,0.04,0.01,3;7;9;10;11;16;17;20;22;23;24;26;27;30;31;33;36;41;44;665
