epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2
109,0.0458,0.09795,0.16768,0.06425,2.64,717,1374
110,0.04684,0.10003,0.16759,0.06418,2.65,717,1374
111,0.0479,0.10214,0.16749,0.0641,2.66,717,1373
112,0.04898,0.10429,0.1674,0.06403,2.67,717,1372
113,0.05007,0.10644,0.1673,0.06395,2.67,716,1372
114,0.05117,0.10863,0.16721,0.06387,2.68,716,1371
115,0.0523,0.11084,0.16711,0.06379,2.69,716,1370
116,0.05344,0.11307,0.16701,0.06371,2.7,716,1370
117,0.05459,0.11531,0.1669,0.06363,2.7,716,1369
118,0.05576,0.11758,0.1668,0.06355,2.71,715,1368
119,0.05695,0.11987,0.1667,0.06347,2.72,715,1368
120,0.05816,0.1222,0.16659,0.06338,2.73,715,1367
121,0.05938,0.12454,0.16648,0.0633,2.73,714,1366
122,0.06061,0.1269,0.16637,0.06321,2.74,714,1366
123,0.06185,0.12929,0.16626,0.06313,2.75,713,1365
124,0.06311,0.1317,0.16615,0.06304,2.76,713,1364
125,0.06439,0.13411,0.16604,0.06295,2.77,712,1364
126,0.06568,0.13649,0.16592,0.06287,2.77,712,1363
127,0.06698,0.13889,0.16581,0.06278,2.78,711,1362
128,0.06831,0.14133,0.16569,0.06269,2.79,711,1362
129,0.06965,0.14383,0.16557,0.0626,2.8,710,1361
130,0.07102,0.14636,0.16545,0.0625,2.8,709,1361
131,0.07239,0.14893,0.16533,0.06241,2.81,709,1360
132,0.07378,0.15148,0.1652,0.06232,2.82,708,1359
133,0.07518,0.15402,0.16508,0.06222,2.83,707,1359
134,0.07661,0.1566,0.16495,0.06213,2.83,706,1358
135,0.07803,0.15917,0.16482,0.06203,2.84,706,1358
136,0.07948,0.16174,0.16469,0.06194,2.85,705,1357
137,0.08093,0.16431,0.16456,0.06184,2.86,704,1356
138,0.08241,0.1669,0.16443,0.06175,2.87,704,1356
139,0.0839,0.16951,0.1643,0.06165,2.87,703,1355
140,0.08541,0.17206,0.16416,0.06156,2.88,702,1355
141,0.08694,0.17437,0.16402,0.06147,2.89,702,1354
142,0.08848,0.17666,0.16389,0.06139,2.9,701,1353
143,0.09004,0.17892,0.16375,0.0613,2.9,701,1353
144,0.09161,0.18119,0.1636,0.06122,2.91,700,1352
145,0.0932,0.18349,0.16346,0.06113,2.92,699,1351
146,0.09482,0.18579,0.16332,0.06104,2.93,699,1351
147,0.09645,0.18811,0.16317,0.06096,2.93,698,1350
148,0.09809,0.19044,0.16302,0.06087,2.94,697,1349
149,0.09974,0.19275,0.16287,0.06078,2.95,697,1349
150,0.10142,0.1951,0.16272,0.06069,2.96,696,1348
151,0.10311,0.19753,0.16257,0.0606,2.96,695,1348
152,0.10481,0.19999,0.16241,0.06051,2.97,695,1347
153,0.10653,0.20243,0.16225,0.06042,2.98,694,1347
154,0.10827,0.20486,0.1621,0.06033,2.99,694,1346
155,0.11002,0.20726,0.16194,0.06023,3.0,693,1345
156,0.1118,0.20965,0.16178,0.06014,3.0,692,1345
157,0.11359,0.21203,0.16161,0.06005,3.01,692,1344
158,0.11541,0.21442,0.16145,0.05996,3.02,691,1343
159,0.11723,0.21678,0.16128,0.05987,3.03,690,1343
160,0.11907,0.21917,0.16111,0.05978,3.03,689,1342
161,0.12091,0.2216,0.16094,0.05969,3.04,688,1341
162,0.12279,0.22404,0.16077,0.05959,3.05,688,1340
163,0.12467,0.22645,0.1606,0.0595,3.06,687,1340
164,0.12656,0.22885,0.16043,0.05941,3.06,686,1339
165,0.12848,0.2313,0.16025,0.05931,3.07,685,1338
166,0.13042,0.23377,0.16007,0.05922,3.08,684,1338
167,0.13237,0.23625,0.15989,0.05912,3.09,684,1337
168,0.13433,0.23873,0.15971,0.05903,3.1,683,1336
169,0.13631,0.2412,0.15953,0.05893,3.1,682,1335
170,0.1383,0.24365,0.15934,0.05884,3.11,681,1335
171,0.14031,0.24607,0.15916,0.05874,3.12,680,1334
172,0.14233,0.24852,0.15897,0.05865,3.13,680,1333
173,0.14436,0.25096,0.15878,0.05855,3.14,679,1332
174,0.14642,0.25332,0.15859,0.05846,3.15,678,1332
175,0.14848,0.25549,0.1584,0.05837,3.15,677,1331
176,0.15054,0.25741,0.15821,0.0583,3.16,676,1330
177,0.15262,0.25927,0.15801,0.05822,3.17,676,1329
178,0.15476,0.26097,0.15782,0.05816,3.18,675,1329
179,0.15689,0.2626,0.15762,0.05809,3.18,674,1328
180,0.15902,0.26405,0.15742,0.05804,3.19,673,1327
181,0.16114,0.26541,0.15722,0.05798,3.2,672,1327
182,0.16329,0.26687,0.15702,0.05793,3.21,671,1326
183,0.16545,0.26851,0.15681,0.05786,3.22,671,1325
184,0.16764,0.27028,0.15661,0.05779,3.22,670,1324
185,0.16984,0.27207,0.1564,0.05772,3.23,670,1323
186,0.17204,0.27385,0.15619,0.05765,3.24,670,1323
187,0.17425,0.27567,0.15598,0.05758,3.25,669,1322
188,0.17649,0.27751,0.15577,0.0575,3.25,669,1321
189,0.17874,0.27939,0.15556,0.05743,3.26,668,1320
190,0.181,0.28132,0.15535,0.05735,3.27,668,1319
191,0.18329,0.28329,0.15513,0.05727,3.28,667,1318
192,0.18557,0.28527,0.15491,0.05719,3.29,666,1318
193,0.18786,0.28719,0.15469,0.05712,3.29,666,1317
194,0.19016,0.28916,0.15447,0.05704,3.3,665,1316
195,0.19248,0.29108,0.15425,0.05696,3.31,664,1315
196,0.19481,0.29295,0.15403,0.05689,3.32,664,1314
197,0.19716,0.2948,0.15381,0.05681,3.32,663,1314
198,0.19953,0.29663,0.15358,0.05674,3.33,663,1313
199,0.2019,0.2984,0.15335,0.05667,3.34,662,1312
200,0.20429,0.30012,0.15312,0.0566,3.35,661,1311
201,0.20668,0.30191,0.15289,0.05652,3.36,661,1311
202,0.2091,0.30375,0.15266,0.05645,3.36,660,1310
203,0.21153,0.30556,0.15242,0.05638,3.37,660,1309
204,0.21398,0.30729,0.15219,0.05631,3.38,659,1308
205,0.21642,0.30893,0.15195,0.05624,3.39,659,1308
206,0.21889,0.3106,0.15171,0.05617,3.4,658,1307
207,0.22136,0.31235,0.15147,0.0561,3.41,658,1306
208,0.22386,0.31411,0.15123,0.05603,3.41,657,1305
209,0.22638,0.31578,0.15098,0.05596,3.42,657,1305
210,0.22891,0.31743,0.15073,0.05589,3.43,656,1304
211,0.23145,0.31917,0.15049,0.05582,3.44,655,1303
212,0.23399,0.32096,0.15024,0.05575,3.44,655,1302
213,0.23654,0.32277,0.14999,0.05567,3.45,654,1302
214,0.23911,0.32459,0.14973,0.0556,3.46,654,1301
215,0.2417,0.32637,0.14948,0.05552,3.47,653,1300
216,0.24431,0.32808,0.14922,0.05545,3.47,653,1299
217,0.24693,0.32969,0.14896,0.05539,3.48,652,1298
218,0.24956,0.33124,0.1487,0.05532,3.49,651,1298
219,0.25219,0.33291,0.14844,0.05525,3.5,651,1297
220,0.25483,0.33454,0.14818,0.05519,3.5,650,1296
221,0.25748,0.33595,0.14791,0.05513,3.51,650,1295
222,0.26015,0.33734,0.14765,0.05507,3.52,649,1294
223,0.26286,0.33871,0.14738,0.05501,3.53,649,1294
224,0.26558,0.33996,0.14711,0.05496,3.53,648,1293
225,0.2683,0.34107,0.14683,0.05492,3.54,647,1293
226,0.27105,0.34219,0.14656,0.05487,3.55,646,1292
227,0.27378,0.34306,0.14628,0.05483,3.56,645,1291
228,0.27648,0.34358,0.14601,0.05481,3.57,645,1291
229,0.27921,0.34452,0.14573,0.05477,3.57,644,1290
230,0.28196,0.34569,0.14546,0.05472,3.58,644,1290
231,0.28473,0.34695,0.14518,0.05467,3.59,644,1289
232,0.28751,0.34829,0.14489,0.05461,3.6,644,1288
233,0.29032,0.34984,0.14461,0.05455,3.6,645,1287
234,0.29315,0.35165,0.14432,0.05447,3.61,645,1287
235,0.29597,0.35328,0.14403,0.0544,3.62,646,1286
236,0.29877,0.35455,0.14374,0.05435,3.63,646,1285
237,0.30159,0.35575,0.14345,0.0543,3.64,647,1284
238,0.30443,0.35684,0.14316,0.05425,3.65,647,1284
239,0.30789,0.35781,0.14281,0.05421,3.65,647,1283
240,0.3123,0.35852,0.14235,0.05418,3.66,647,1282
241,0.3172,0.35901,0.14184,0.05416,3.67,647,1281
242,0.32245,0.35934,0.1413,0.05415,3.68,646,1281
243,0.32795,0.35951,0.14072,0.05414,3.68,646,1280
244,0.33365,0.35951,0.14012,0.05414,3.69,645,1279
245,0.33951,0.35946,0.1395,0.05414,3.7,645,1278
246,0.34555,0.35965,0.13887,0.05414,3.71,645,1277
247,0.35172,0.36018,0.13821,0.05411,3.71,645,1277
248,0.35802,0.36076,0.13754,0.05409,3.72,646,1276
249,0.36441,0.36127,0.13685,0.05407,3.73,646,1275
250,0.3709,0.36171,0.13615,0.05405,3.74,646,1274
251,0.37747,0.36212,0.13544,0.05403,3.74,646,1274
252,0.38412,0.36254,0.13471,0.05401,3.75,646,1273
253,0.39085,0.36279,0.13397,0.054,3.76,646,1272
254,0.39764,0.36289,0.13323,0.054,3.77,646,1272
255,0.40448,0.36288,0.13247,0.054,3.77,646,1271
256,0.41138,0.36257,0.1317,0.05401,3.78,646,1270
257,0.41832,0.36205,0.13092,0.05403,3.79,646,1270
258,0.42552,0.36144,0.1301,0.05406,3.8,645,1269
259,0.43363,0.36067,0.12918,0.05409,3.81,646,1268
260,0.44185,0.35978,0.12824,0.05413,3.81,646,1267
261,0.45015,0.35873,0.12729,0.05417,3.82,646,1267
262,0.45851,0.35763,0.12631,0.05422,3.83,646,1266
263,0.46694,0.35658,0.12533,0.05427,3.84,646,1265
264,0.47542,0.35577,0.12433,0.0543,3.84,646,1264
265,0.48395,0.35496,0.12331,0.05433,3.85,646,1263
266,0.4926,0.35421,0.12227,0.05437,3.86,646,1262
267,0.50136,0.35359,0.12121,0.05439,3.87,646,1261
268,0.51012,0.35555,0.12014,0.05431,3.87,646,1260
269,0.51886,0.36164,0.11907,0.05405,3.88,646,1259
270,0.52757,0.36756,0.11799,0.0538,3.89,646,1258
271,0.53623,0.37316,0.1169,0.05356,3.9,646,1257
272,0.54485,0.37828,0.11581,0.05334,3.9,646,1256
273,0.55342,0.38288,0.11471,0.05315,3.91,646,1255
274,0.56191,0.38723,0.11362,0.05296,3.92,646,1254
275,0.57033,0.39136,0.11252,0.05278,3.93,646,1253
276,0.57867,0.39533,0.11142,0.05261,3.93,646,1252
277,0.58691,0.39942,0.11033,0.05243,3.94,646,1251
278,0.59496,0.40325,0.10925,0.05226,3.95,646,1250
