fold,dataset,metric1,metric2
0,lucas_full,0.79,0.06
1,lucas_full,0.6,0.08
2,lucas_full,0.72,0.07
3,lucas_full,0.72,0.08
4,lucas_full,0.79,0.06
5,lucas_full,0.66,0.07
6,lucas_full,0.7,0.08
7,lucas_full,0.61,0.09
8,lucas_full,0.8,0.06
9,lucas_full,0.78,0.07
