algorithm,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
pca,21782,4200,2.38,10,10,0.531,0.888,0.876,0.096,0.046,0.05,
pca,21782,4200,10.82,50,50,0.531,0.912,0.911,0.096,0.041,0.042,
pca,21782,4200,9.41,100,100,0.531,0.915,0.914,0.096,0.04,0.041,
pca,21782,4200,13.99,150,150,0.531,0.907,0.907,0.096,0.042,0.043,
pca,21782,4200,9.39,200,200,0.531,0.92,0.914,0.096,0.039,0.041,
pca,21782,4200,25.2,1000,1000,0.531,0.912,0.91,0.096,0.04,0.042,
pca,21782,4200,65.3,2000,2000,0.531,0.904,0.905,0.096,0.042,0.043,
pls,21782,4200,5.6,10,10,0.531,0.871,0.876,0.096,0.049,0.05,
pls,21782,4200,24.27,50,50,0.531,0.886,0.886,0.096,0.046,0.047,
pls,21782,4200,45.64,100,100,0.531,0.909,0.91,0.096,0.041,0.042,
pls,21782,4200,68.32,150,150,0.531,0.915,0.915,0.096,0.04,0.041,
pls,21782,4200,97.9,200,200,0.531,0.925,0.919,0.096,0.037,0.04,
pls,21782,4200,435.72,1000,1000,0.531,0.924,0.921,0.096,0.038,0.04,
pls,21782,4200,871.67,2000,2000,0.531,0.916,0.914,0.096,0.04,0.041,
