algorithm,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
mi,21782,66,6.62,2,2,0.85,0.57,0.53,0.05,0.09,0.1,6;5
mi,21782,66,6.77,5,5,0.85,0.73,0.69,0.05,0.07,0.08,6;5;7;8;4
mi,21782,66,6.46,10,10,0.85,0.75,0.72,0.05,0.07,0.07,6;5;7;8;4;9;10;3;11;2
mi,21782,66,6.61,15,15,0.85,0.75,0.72,0.05,0.07,0.07,6;5;7;8;4;9;10;3;11;2;12;1;13;0;14
mi,21782,66,6.44,20,20,0.85,0.8,0.79,0.05,0.06,0.06,6;5;7;8;4;9;10;3;11;2;12;1;13;0;14;52;59;54;15;60
sfs,21782,66,0.96,2,2,0.85,0.72,0.69,0.05,0.07,0.08,6;15
sfs,21782,66,2.93,5,5,0.85,0.83,0.82,0.05,0.06,0.06,6;15;49;56;59
sfs,21782,66,7.61,10,10,0.85,0.85,0.85,0.05,0.05,0.06,2;6;14;15;48;49;53;54;56;59
sfs,21782,66,15.26,15,15,0.85,0.87,0.87,0.05,0.05,0.05,2;6;13;14;15;33;48;49;50;51;53;54;56;59;65
sfs,21782,66,23.38,20,20,0.85,0.86,0.86,0.05,0.05,0.05,2;6;11;13;14;15;30;33;36;40;43;48;49;50;51;53;54;56;59;65
lasso,21782,66,0.02,2,2,0.85,0.25,0.23,0.05,0.12,0.12,65;16
lasso,21782,66,0.02,5,5,0.85,0.38,0.35,0.05,0.11,0.11,65;16;30;29;28
lasso,21782,66,0.02,10,10,0.85,0.42,0.39,0.05,0.1,0.11,65;16;30;29;28;27;26;25;24;23
lasso,21782,66,0.02,15,15,0.85,0.48,0.46,0.05,0.1,0.1,65;16;30;29;28;27;26;25;24;23;22;21;20;19;18
lasso,21782,66,0.02,20,20,0.85,0.68,0.66,0.05,0.08,0.08,65;16;30;29;28;27;26;25;24;23;22;21;20;19;18;17;15;64;14;13
fsdr,21782,66,28.92,2,2,0.85,0.6,0.55,0.05,0.09,0.09,6;34
fsdr,21782,66,39.56,5,5,0.85,0.81,0.8,0.05,0.06,0.06,6;17;32;36;54
fsdr,21782,66,56.93,10,9,0.85,0.84,0.83,0.05,0.05,0.06,6;12;17;28;31;33;47;54;59
fsdr,21782,66,71.28,15,13,0.85,0.83,0.82,0.05,0.06,0.06,7;11;17;18;26;31;33;34;38;47;54;57;59
fsdr,21782,66,89.8,20,13,0.85,0.82,0.82,0.05,0.06,0.06,6;10;12;17;18;27;30;31;33;36;47;54;59
mi,21782,66,6.56,2,2,0.85,0.57,0.53,0.05,0.09,0.1,6;5
mi,21782,66,6.5,5,5,0.85,0.73,0.69,0.05,0.07,0.08,6;5;7;8;4
mi,21782,66,6.76,10,10,0.85,0.75,0.72,0.05,0.07,0.07,6;5;7;8;4;9;10;3;11;2
mi,21782,66,6.44,15,15,0.85,0.75,0.72,0.05,0.07,0.07,6;5;7;8;4;9;10;3;11;2;12;1;13;0;14
mi,21782,66,6.63,20,20,0.85,0.8,0.79,0.05,0.06,0.06,6;5;7;8;4;9;10;3;11;2;12;1;13;0;14;52;59;54;15;60
sfs,21782,66,0.97,2,2,0.85,0.72,0.69,0.05,0.07,0.08,6;15
sfs,21782,66,2.88,5,5,0.85,0.83,0.82,0.05,0.06,0.06,6;15;49;56;59
sfs,21782,66,7.6,10,10,0.85,0.85,0.85,0.05,0.05,0.06,2;6;14;15;48;49;53;54;56;59
sfs,21782,66,14.95,15,15,0.85,0.87,0.87,0.05,0.05,0.05,2;6;13;14;15;33;48;49;50;51;53;54;56;59;65
sfs,21782,66,23.32,20,20,0.85,0.86,0.86,0.05,0.05,0.05,2;6;11;13;14;15;30;33;36;40;43;48;49;50;51;53;54;56;59;65
lasso,21782,66,0.02,2,2,0.85,0.25,0.23,0.05,0.12,0.12,65;16
lasso,21782,66,0.02,5,5,0.85,0.38,0.35,0.05,0.11,0.11,65;16;30;29;28
lasso,21782,66,0.02,10,10,0.85,0.42,0.39,0.05,0.1,0.11,65;16;30;29;28;27;26;25;24;23
lasso,21782,66,0.02,15,15,0.85,0.48,0.46,0.05,0.1,0.1,65;16;30;29;28;27;26;25;24;23;22;21;20;19;18
lasso,21782,66,0.02,20,20,0.85,0.68,0.66,0.05,0.08,0.08,65;16;30;29;28;27;26;25;24;23;22;21;20;19;18;17;15;64;14;13
fsdr,21782,66,30.59,2,2,0.85,0.6,0.55,0.05,0.09,0.09,6;34
fsdr,21782,66,40.44,5,5,0.85,0.81,0.8,0.05,0.06,0.06,6;17;32;36;54
fsdr,21782,66,58.09,10,9,0.85,0.84,0.83,0.05,0.05,0.06,6;12;17;28;31;33;47;54;59
fsdr,21782,66,85.34,15,13,0.85,0.83,0.82,0.05,0.06,0.06,7;11;17;18;26;31;33;34;38;47;54;57;59
fsdr,21782,66,94.85,20,13,0.85,0.82,0.82,0.05,0.06,0.06,6;10;12;17;18;27;30;31;33;36;47;54;59
mi,21782,66,6.74,2,2,0.85,0.57,0.53,0.05,0.09,0.1,6;5
mi,21782,66,6.75,5,5,0.85,0.73,0.69,0.05,0.07,0.08,6;5;7;8;4
mi,21782,66,6.68,10,10,0.85,0.75,0.72,0.05,0.07,0.07,6;5;7;8;4;9;10;3;11;2
mi,21782,66,6.71,15,15,0.85,0.75,0.72,0.05,0.07,0.07,6;5;7;8;4;9;10;3;11;2;12;1;13;0;14
mi,21782,66,6.8,20,20,0.85,0.8,0.79,0.05,0.06,0.06,6;5;7;8;4;9;10;3;11;2;12;1;13;0;14;52;59;54;15;60
sfs,21782,66,1.06,2,2,0.85,0.72,0.69,0.05,0.07,0.08,6;15
sfs,21782,66,3.04,5,5,0.85,0.83,0.82,0.05,0.06,0.06,6;15;49;56;59
sfs,21782,66,8.09,10,10,0.85,0.85,0.85,0.05,0.05,0.06,2;6;14;15;48;49;53;54;56;59
sfs,21782,66,16.26,15,15,0.85,0.87,0.87,0.05,0.05,0.05,2;6;13;14;15;33;48;49;50;51;53;54;56;59;65
