algorithm,rows,columns,time,target_size,final_size,r2_train,r2_test,rmse_train,rmse_test,selected_features
fsdr,21782,4200,18.4,2,2,0.94,0.53,0.03,0.09,354;2196
mi,21782,4200,286.59,2,2,0.92,0.49,0.04,0.1,465;467
lasso,21782,4200,353.1,2,2,0.9,0.41,0.04,0.1,403;404
fsdr,247,2151,13.16,2,2,0.88,-0.01,0.06,0.19,707;1284
mi,247,2151,2.66,2,2,0.86,0.21,0.07,0.17,2085;2112
lasso,247,2151,0.11,2,2,0.9,-0.02,0.06,0.2,1914;279
fsdr,21782,66,13.97,2,2,0.94,0.54,0.03,0.09,6;35
mi,21782,66,4.39,2,2,0.95,0.63,0.03,0.08,6;7
lasso,21782,66,5.85,2,2,0.95,0.63,0.03,0.08,7;6
fsdr,21782,4200,27.16,5,5,0.97,0.8,0.02,0.06,402;1417;2024;2646;3461
mi,21782,4200,281.14,5,5,0.96,0.67,0.03,0.08,465;467;466;385;350
lasso,21782,4200,352.57,5,5,0.93,0.49,0.04,0.1,403;404;3819;3818;406
fsdr,247,2151,24.5,5,5,0.9,0.21,0.06,0.17,344;659;1041;1289;1761
mi,247,2151,2.64,5,5,0.89,0.31,0.06,0.16,2085;2112;1874;1873;2113
lasso,247,2151,0.11,5,5,0.92,0.24,0.05,0.17,1914;279;278;1029;1030
fsdr,21782,66,28.8,5,4,0.97,0.77,0.02,0.06,6;19;32;55
mi,21782,66,4.4,5,5,0.96,0.7,0.03,0.07,6;7;8;5;9
lasso,21782,66,5.99,5,5,0.97,0.78,0.02,0.06,7;6;60;24;18
fsdr,21782,4200,48.03,10,9,0.97,0.82,0.02,0.06,407;478;1047;1657;2020;2630;2986;3435;3809
mi,21782,4200,283.22,10,10,0.96,0.67,0.03,0.08,465;467;466;385;350;456;468;457;458;396
lasso,21782,4200,353.52,10,10,0.94,0.53,0.03,0.09,403;404;3819;3818;406;407;402;405;409;410
fsdr,247,2151,39.75,10,10,0.92,0.28,0.05,0.16,272;349;589;687;984;1158;1308;1586;1739;1921
mi,247,2151,2.65,10,10,0.89,0.36,0.06,0.15,2085;2112;1874;1873;2113;1828;1868;1827;1124;1125
lasso,247,2151,0.11,10,10,0.92,0.21,0.05,0.17,1914;279;278;1029;1030;1028;1913;287;2;1915
fsdr,21782,66,49.32,10,10,0.97,0.81,0.02,0.06,6;10;17;27;32;34;39;47;54;60
mi,21782,66,4.47,10,10,0.96,0.72,0.03,0.07,6;7;8;5;9;10;4;11;2;3
lasso,21782,66,5.89,10,10,0.97,0.78,0.02,0.06,7;6;60;24;18;19;20;21;22;23
fsdr,21782,4200,89.93,20,17,0.97,0.81,0.02,0.06,433;434;489;1104;1495;1544;1803;1869;2020;2141;2197;2249;2991;2993;3435;3795;3802
mi,21782,4200,280.67,20,20,0.96,0.68,0.03,0.08,465;467;466;385;350;456;468;457;458;396;351;417;463;397;470;439;438;459;377;395
lasso,21782,4200,361.44,20,20,0.97,0.77,0.02,0.07,403;404;3819;3818;406;407;402;405;409;410;412;408;413;414;411;3820;1419;1418;1415;1417
fsdr,247,2151,75.32,20,18,0.91,0.27,0.05,0.17,129;251;349;418;552;622;688;897;1047;1064;1220;1288;1313;1586;1668;1776;1915;2018
mi,247,2151,2.71,20,20,0.89,0.35,0.06,0.16,2085;2112;1874;1873;2113;1828;1868;1827;1124;1125;1872;1875;2045;1830;1876;2041;1826;1834;1829;1123
lasso,247,2151,0.11,20,20,0.91,0.27,0.05,0.17,1914;279;278;1029;1030;1028;1913;287;2;1915;1031;1027;2148;285;180;1032;280;286;710;711
fsdr,21782,66,86.73,20,14,0.97,0.8,0.02,0.06,7;11;17;19;21;29;30;31;32;34;38;50;54;60
mi,21782,66,4.56,20,20,0.97,0.79,0.02,0.06,6;7;8;5;9;10;4;11;2;3;12;1;0;13;14;54;53;15;16;19
lasso,21782,66,6.07,20,20,0.97,0.79,0.02,0.06,7;6;60;24;18;19;20;21;22;23;65;16;25;26;27;28;29;17;14;15
fsdr,21782,4200,126.23,30,27,0.97,0.81,0.02,0.06,422;451;803;1137;1288;1310;1388;1398;1399;1757;1925;2018;2020;2021;2111;2131;2137;2285;2961;2977;3177;3398;3400;3405;3611;3736;3771
mi,21782,4200,287.47,30,30,0.96,0.68,0.03,0.08,465;467;466;385;350;456;468;457;458;396;351;417;463;397;470;439;438;459;377;395;464;455;471;384;352;469;379;437;349;416
lasso,21782,4200,355.1,30,30,0.97,0.79,0.02,0.06,403;404;3819;3818;406;407;402;405;409;410;412;408;413;414;411;3820;1419;1418;1415;1417;1413;1414;1412;1411;1410;1409;1416;4199;1408;1407
fsdr,247,2151,102.34,30,27,0.91,0.27,0.05,0.17,111;154;272;297;416;430;568;622;761;765;889;953;962;1064;1158;1194;1265;1336;1348;1487;1586;1628;1709;1832;1915;1982;2054
mi,247,2151,2.64,30,30,0.9,0.3,0.06,0.16,2085;2112;1874;1873;2113;1828;1868;1827;1124;1125;1872;1875;2045;1830;1876;2041;1826;1834;1829;1123;2006;1130;1226;1227;1218;1219;2005;2084;2008;1835
lasso,247,2151,0.11,30,30,0.91,0.28,0.05,0.16,1914;279;278;1029;1030;1028;1913;287;2;1915;1031;1027;2148;285;180;1032;280;286;710;711;712;713;717;709;714;715;716;2150;718;719
fsdr,21782,66,122.15,30,12,0.97,0.8,0.02,0.06,7;16;17;19;21;26;30;32;34;47;54;59
mi,21782,66,4.41,30,30,0.97,0.79,0.02,0.06,6;7;8;5;9;10;4;11;2;3;12;1;0;13;14;54;53;15;16;19;60;52;17;18;55;59;58;51;62;61
lasso,21782,66,5.91,30,30,0.97,0.79,0.02,0.06,7;6;60;24;18;19;20;21;22;23;65;16;25;26;27;28;29;17;14;15;31;13;12;11;10;9;8;5;4;3
