fold,dataset,metric1,metric2
0,lucas_min,0,0.19
1,lucas_min,0,0.16
2,lucas_min,0,0.13
3,lucas_min,0,0.15
4,lucas_min,0,0.14
5,lucas_min,0,0.16
6,lucas_min,-0.0,0.17
7,lucas_min,0,0.11
8,lucas_min,0,0.18
9,lucas_min,0,0.16
