algorithm,rows,columns,time,target_size,final_size,r2_train,r2_test,rmse_train,rmse_test,selected_features
spa,247,2151,26.62,2,2,0.91,-0.02,0.06,0.2,2;1920
spa,247,2151,62.3,5,5,0.9,0.31,0.06,0.16,19;177;297;977;2148
spa,247,2151,115.34,10,10,0.91,0.25,0.05,0.17,0;2;5;8;12;93;281;761;1918;2148
spa,247,2151,218.46,20,20,0.91,0.27,0.05,0.17,0;1;2;4;5;7;8;10;12;14;16;93;219;281;428;1292;1562;1918;2145;2149
sfs,247,2151,24.32,2,2,0.85,0.19,0.07,0.17,1857;2148
sfs,247,2151,55.49,5,5,0.9,0.29,0.06,0.16,279;1099;1857;1982;2148
sfs,247,2151,141.72,10,10,0.9,0.3,0.06,0.16,279;1099;1857;1858;1982;2004;2059;2092;2115;2148
spa,247,2151,294.2,30,30,0.91,0.24,0.05,0.17,0;1;2;4;5;7;8;10;12;14;16;17;19;22;23;26;30;93;208;287;570;973;1562;1917;2108;2138;2141;2146;2148;2150
spa,21782,66,2.91,2,2,0.94,0.55,0.03,0.09,6;31
spa,21782,66,5.88,5,5,0.97,0.79,0.02,0.06,1;7;19;60;65
spa,21782,66,9.65,10,10,0.97,0.8,0.02,0.06,2;5;7;15;25;45;47;48;60;65
sfs,247,2151,240.75,20,20,0.9,0.33,0.06,0.16,279;1099;1857;1858;1951;1973;1978;1982;2002;2004;2059;2092;2107;2109;2115;2126;2127;2135;2136;2148
spa,21782,66,17.77,20,20,0.97,0.81,0.02,0.06,0;2;5;6;9;13;19;25;31;39;46;47;48;55;56;57;60;61;63;65
spa,21782,66,24.11,30,30,0.97,0.81,0.02,0.06,0;1;3;4;6;7;9;12;15;19;23;28;31;32;42;46;47;48;50;54;55;56;57;58;59;60;61;62;63;65
sfs,247,2151,374.85,30,30,0.9,0.3,0.06,0.16,0;278;279;280;1099;1528;1857;1858;1951;1973;1976;1978;1980;1982;1988;2002;2004;2059;2083;2092;2095;2107;2109;2115;2126;2127;2135;2136;2148;2149
sfs,21782,66,1.48,2,2,0.95,0.65,0.03,0.08,6;16
sfs,21782,66,4.33,5,5,0.97,0.79,0.02,0.06,6;16;50;57;59
sfs,21782,66,10.91,10,10,0.97,0.8,0.02,0.06,3;6;14;16;48;50;53;55;57;59
sfs,21782,66,25.15,20,20,0.97,0.81,0.02,0.06,3;6;13;14;16;31;32;48;50;51;52;53;54;55;56;57;59;60;61;65
sfs,21782,66,47.76,30,30,0.97,0.81,0.02,0.06,3;6;13;14;16;21;22;30;31;32;33;36;41;43;45;46;48;49;50;51;52;53;54;55;56;57;59;60;61;65
sfs,21782,4200,65.86,2,2,0.96,0.64,0.03,0.08,412;993
sfs,21782,4200,215.54,5,5,0.97,0.8,0.02,0.06,412;993;3194;3632;3820
sfs,21782,4200,589.94,10,10,0.97,0.8,0.02,0.06,160;412;885;993;3061;3194;3443;3549;3632;3820
sfs,21782,4200,2129.05,20,20,0.97,0.81,0.02,0.06,160;412;872;885;993;2931;2974;3061;3194;3407;3443;3549;3632;3709;3766;3788;3815;3820;4041;4140
spa,21782,4200,5505.23,2,2,0.94,0.53,0.03,0.09,407;2016
sfs,21782,4200,4859.63,30,30,0.97,0.81,0.02,0.06,160;412;473;493;661;695;872;885;993;2931;2974;2986;3061;3194;3407;3443;3549;3623;3632;3709;3766;3788;3815;3820;3945;4041;4140;4161;4179;4186
spa,21782,4200,14131.63,5,5,0.97,0.8,0.02,0.06,61;414;1197;3818;4199
spa,21782,4200,26867.51,10,10,0.97,0.81,0.02,0.06,63;281;418;1197;1881;3009;3090;3530;3826;4199
