algorithm,rows,columns,time,target_size,final_size,r2_train,r2_test,rmse_train,rmse_test,selected_features
fsdr,62,2151,6.24,2,2,0.95,0.33,0.04,0.02,787;1412
fsdr,62,2151,6.14,5,5,0.95,0.47,0.04,0.01,487;882;1197;1352;1652
fsdr,62,2151,9.79,10,10,0.95,0.48,0.04,0.01,273;490;710;785;980;1196;1268;1517;1665;1890
mi,62,2151,1.7,2,2,0.93,0.34,0.04,0.02,530;528
mi,62,2151,1.7,5,5,0.93,0.36,0.04,0.02,530;528;531;529;520
mi,62,2151,1.7,10,10,0.93,0.35,0.04,0.02,530;528;531;529;520;521;523;534;533;522
lasso,62,2151,0.06,2,2,0.93,-14.18,0.04,0.08,12;2144
lasso,62,2151,0.06,5,5,0.95,-1.13,0.04,0.03,12;2144;962;934;947
lasso,62,2151,0.06,10,10,0.95,0.0,0.04,0.02,12;2144;962;934;947;995;935;933;198;948
