algorithm,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
fsdr,21782,4200,27.1,2,2,0.78,0.22,0.2,0.07,0.12,0.13,651;2583
fsdr,21782,4200,40.95,5,5,0.78,0.52,0.54,0.07,0.09,0.1,418;1117;2023;2450;3461
fsdr,21782,4200,55.87,10,10,0.78,0.59,0.6,0.07,0.09,0.09,413;754;1114;1604;1880;2020;2179;2986;3443;3806
fsdr,21782,4200,75.49,15,12,0.78,0.6,0.61,0.07,0.09,0.09,474;483;969;1291;1725;1760;2020;2132;2142;2986;3435;3805
fsdr,21782,4200,104.19,20,16,0.78,0.69,0.7,0.07,0.08,0.08,459;607;911;1195;1345;1816;1898;1902;2020;2132;2141;2977;3185;3409;3740;3796
fsdr,21782,66,20.44,2,2,0.8,0.25,0.24,0.06,0.12,0.12,7;38
fsdr,21782,66,34.31,5,5,0.8,0.45,0.48,0.06,0.1,0.1,6;16;32;35;54
fsdr,21782,66,53.93,10,9,0.8,0.58,0.59,0.06,0.09,0.09,6;12;17;27;31;33;47;54;59
fsdr,21782,66,72.12,15,13,0.8,0.62,0.62,0.06,0.08,0.09,6;7;10;17;20;27;31;34;35;39;47;54;59
fsdr,21782,66,96.44,20,12,0.8,0.59,0.61,0.06,0.09,0.09,7;8;13;20;24;29;30;31;33;47;54;59
fsdr,2178,4200,15.8,2,2,0.35,0.26,0.24,0.11,0.13,0.11,361;2428
fsdr,2178,4200,25.98,5,5,0.35,0.56,0.55,0.11,0.1,0.09,404;1200;2022;2655;3462
fsdr,2178,4200,41.82,10,10,0.35,0.63,0.64,0.11,0.09,0.08,406;553;1087;1436;1691;2134;2279;2985;3428;3807
fsdr,2178,4200,61.46,15,15,0.35,0.66,0.61,0.11,0.09,0.08,416;432;1088;1107;1401;1907;1921;2020;2124;2356;2450;2985;3447;3743;3812
fsdr,2178,4200,93.01,20,20,0.35,0.74,0.73,0.11,0.08,0.07,397;424;580;937;1101;1200;1338;1868;1897;2020;2126;2458;2649;2656;2957;2961;3192;3439;3750;3805
