algorithm,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
sfs,21782,4200,68.26,2,2,0.78,0.31,0.32,0.07,0.11,0.12,412;993
sfs,21782,4200,229.53,5,5,0.78,0.55,0.56,0.07,0.09,0.09,412;993;2986;3631;3820
sfs,21782,4200,624.11,10,10,0.78,0.71,0.72,0.07,0.07,0.08,151;412;903;993;2986;3259;3446;3631;3820;4199
sfs,21782,4200,1317.81,15,15,0.78,0.74,0.74,0.07,0.07,0.07,151;412;903;993;2986;3126;3187;3259;3446;3550;3631;3786;3820;3830;4199
sfs,21782,4200,2250.95,20,20,0.78,0.76,0.76,0.07,0.07,0.07,151;412;903;993;2906;2986;3002;3126;3148;3187;3259;3391;3446;3550;3631;3770;3786;3820;3830;4199
sfs,21782,66,1.0,2,2,0.8,0.31,0.32,0.06,0.11,0.12,6;15
sfs,21782,66,3.4,5,5,0.8,0.55,0.56,0.06,0.09,0.09,6;15;49;56;59
sfs,21782,66,8.83,10,10,0.8,0.72,0.72,0.06,0.07,0.07,2;6;14;15;48;49;53;54;56;59
sfs,21782,66,17.17,15,15,0.8,0.73,0.74,0.06,0.07,0.07,2;6;13;14;15;33;48;49;50;51;53;54;56;59;65
sfs,21782,66,27.75,20,20,0.8,0.76,0.77,0.06,0.07,0.07,2;6;11;13;14;15;30;33;36;40;43;48;49;50;51;53;54;56;59;65
sfs,2178,4200,43.84,2,2,0.35,0.32,0.29,0.11,0.12,0.11,419;995
sfs,2178,4200,113.2,5,5,0.35,0.57,0.58,0.11,0.1,0.09,419;986;995;3633;3818
sfs,2178,4200,262.87,10,10,0.35,0.65,0.64,0.11,0.09,0.08,17;419;986;995;2994;3198;3633;3818;3841;3884
sfs,2178,4200,485.56,15,15,0.35,0.76,0.73,0.11,0.07,0.07,17;419;986;995;2994;3056;3198;3453;3570;3633;3791;3818;3841;3884;4199
sfs,2178,4200,782.43,20,20,0.35,0.77,0.74,0.11,0.07,0.07,17;36;419;986;995;2924;2994;2996;3056;3198;3453;3570;3633;3773;3791;3818;3841;3884;3988;4199
