algorithm,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
mi,21782,4200,388.39,2,2,0.78,0.25,0.24,0.07,0.12,0.12,418;417
mi,21782,4200,383.94,5,5,0.78,0.26,0.25,0.07,0.12,0.12,418;417;437;438;439
mi,21782,4200,399.55,10,10,0.78,0.27,0.27,0.07,0.12,0.12,418;417;437;438;439;419;436;416;379;415
mi,21782,4200,376.31,15,15,0.78,0.28,0.27,0.07,0.12,0.12,418;417;437;438;439;419;436;416;379;415;450;396;435;420;449
mi,21782,4200,391.97,20,20,0.78,0.28,0.28,0.07,0.12,0.12,418;417;437;438;439;419;436;416;379;415;450;396;435;420;449;413;414;371;457;421
lasso,21782,4200,1.59,2,2,0.78,0.16,0.15,0.07,0.12,0.13,4199;1410
lasso,21782,4200,1.59,5,5,0.78,0.16,0.15,0.07,0.12,0.13,4199;1410;1408;1407;1406
lasso,21782,4200,1.43,10,10,0.78,0.17,0.15,0.07,0.12,0.13,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401
lasso,21782,4200,1.38,15,15,0.78,0.18,0.17,0.07,0.12,0.13,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401;1400;1399;1398;1397;1396
lasso,21782,4200,1.48,20,20,0.78,0.18,0.17,0.07,0.12,0.13,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401;1400;1399;1398;1397;1396;1395;1394;1393;1392;1391
mi,21782,66,6.08,2,2,0.8,0.25,0.24,0.06,0.12,0.12,6;5
mi,21782,66,5.89,5,5,0.8,0.28,0.28,0.06,0.12,0.12,6;5;7;8;4
mi,21782,66,5.87,10,10,0.8,0.37,0.4,0.06,0.11,0.11,6;5;7;8;4;9;10;3;11;2
mi,21782,66,5.85,15,15,0.8,0.39,0.41,0.06,0.11,0.11,6;5;7;8;4;9;10;3;11;2;12;1;13;0;14
mi,21782,66,5.85,20,20,0.8,0.54,0.55,0.06,0.09,0.09,6;5;7;8;4;9;10;3;11;2;12;1;13;0;14;52;59;54;15;60
lasso,21782,66,0.02,2,2,0.8,0.16,0.15,0.06,0.12,0.13,65;16
lasso,21782,66,0.02,5,5,0.8,0.33,0.34,0.06,0.11,0.11,65;16;30;29;28
lasso,21782,66,0.02,10,10,0.8,0.6,0.62,0.06,0.09,0.09,65;16;30;29;28;27;26;25;24;23
lasso,21782,66,0.02,15,15,0.8,0.62,0.63,0.06,0.08,0.09,65;16;30;29;28;27;26;25;24;23;22;21;20;19;18
lasso,21782,66,0.02,20,20,0.8,0.63,0.64,0.06,0.08,0.08,65;16;30;29;28;27;26;25;24;23;22;21;20;19;18;17;15;64;14;13
mi,2178,4200,32.96,2,2,0.35,0.26,0.24,0.11,0.13,0.11,368;407
mi,2178,4200,32.48,5,5,0.35,0.28,0.26,0.11,0.13,0.11,368;407;367;408;409
mi,2178,4200,32.6,10,10,0.35,0.28,0.27,0.11,0.12,0.11,368;407;367;408;409;406;410;415;414;412
mi,2178,4200,32.46,15,15,0.35,0.29,0.27,0.11,0.12,0.11,368;407;367;408;409;406;410;415;414;412;411;369;416;366;413
mi,2178,4200,32.66,20,20,0.35,0.29,0.27,0.11,0.12,0.11,368;407;367;408;409;406;410;415;414;412;411;369;416;366;413;417;405;365;370;418
lasso,2178,4200,0.09,2,2,0.35,0.17,0.2,0.11,0.13,0.12,4199;1410
lasso,2178,4200,0.09,5,5,0.35,0.18,0.21,0.11,0.13,0.12,4199;1410;1408;1407;1406
lasso,2178,4200,0.1,10,10,0.35,0.18,0.21,0.11,0.13,0.12,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401
lasso,2178,4200,0.1,15,15,0.35,0.22,0.24,0.11,0.13,0.11,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401;1400;1399;1398;1397;1396
lasso,2178,4200,0.09,20,20,0.35,0.22,0.24,0.11,0.13,0.11,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401;1400;1399;1398;1397;1396;1395;1394;1393;1392;1391
