algorithm,rows,columns,time,target_size,final_size,r2_train,r2_test,rmse_train,rmse_test,selected_features
fsdr,62,2151,5.81,2,2,0.95,0.29,0.04,0.02,710;1417
fsdr,62,2151,5.17,5,5,0.95,0.49,0.04,0.01,375;668;1006;1352;1764
fsdr,62,2151,8.74,10,10,0.95,0.07,0.04,0.02,248;503;613;868;1065;1135;1297;1459;1693;1875
mi,62,2151,1.73,2,2,0.93,0.34,0.04,0.02,530;528
mi,62,2151,1.72,5,5,0.93,0.36,0.04,0.02,530;528;531;529;520
mi,62,2151,1.74,10,10,0.93,0.35,0.04,0.02,530;528;531;529;520;521;523;534;533;522
lasso,62,2151,0.06,2,2,0.93,-14.18,0.04,0.08,12;2144
lasso,62,2151,0.06,5,5,0.95,-1.13,0.04,0.03,12;2144;962;934;947
lasso,62,2151,0.06,10,10,0.95,0.0,0.04,0.02,12;2144;962;934;947;995;935;933;198;948
