dataset,target_size,fold,algorithm,repeat,time,metric1,metric2,selected_features
indian_pines,30,0,bsnetcw,0,38.89,0.79,0.76,6-25-26-30-49-54-62-63-69-71-84-105-109-116-125-130-132-146-148-159-180-182-183-187-188-190-193-194-195-198
indian_pines,30,0,bsnet,0,50.11,0.75,0.71,0-4-5-30-35-40-46-47-48-51-60-67-68-71-72-98-102-103-112-117-125-148-149-152-160-165-181-182-183-199
indian_pines,25,0,bsnetcw,0,40.99,0.78,0.75,6-25-26-30-49-62-63-69-84-105-109-116-125-130-132-146-159-180-182-183-188-193-194-195-198
indian_pines,25,0,bsnet,0,50.11,0.73,0.7,117-148-103-60-48-5-68-0-149-71-4-112-72-51-102-125-67-98-35-183-199-165-46-30-40
indian_pines,20,0,bsnetcw,0,36.18,0.76,0.73,6-25-26-30-49-69-84-105-116-125-130-132-159-180-182-183-188-193-195-198
indian_pines,20,0,bsnet,0,50.11,0.72,0.69,117-148-103-60-48-5-68-0-149-71-4-112-72-51-102-125-67-98-35-183
indian_pines,15,0,bsnetcw,0,35.55,0.78,0.75,25-26-30-49-84-116-125-130-132-159-180-182-188-193-195
indian_pines,15,0,bsnet,0,50.11,0.66,0.61,117-148-103-60-48-5-68-0-149-71-4-112-72-51-102
indian_pines,10,0,bsnetcw,0,44.46,0.78,0.75,25-30-49-116-125-130-159-180-182-188
indian_pines,10,0,bsnet,0,50.11,0.64,0.59,117-148-103-60-48-5-68-0-149-71
indian_pines,5,0,bsnetcw,0,39.91,0.66,0.61,30-125-130-159-188
indian_pines,5,0,bsnet,0,50.11,0.62,0.56,117-148-103-60-48
ghsi,30,0,bsnetcw,0,23.33,0.8,0.72,4-6-12-17-20-25-26-28-30-43-46-47-49-54-56-59-62-63-69-71-84-92-101-105-106-107-109-116-128-129
ghsi,30,0,bsnet,0,31.3,0.78,0.7,2-20-24-29-31-32-34-35-37-38-39-44-49-56-67-68-69-70-82-91-92-94-95-99-101-103-112-116-120-127
ghsi,25,0,bsnetcw,0,23.73,0.8,0.73,6-12-17-20-25-26-28-30-47-49-54-56-59-62-63-69-71-84-92-101-105-106-109-116-128
ghsi,25,0,bsnet,0,31.3,0.78,0.7,39-35-70-67-103-2-82-99-32-116-34-31-24-37-56-120-95-92-20-29-49-68-69-112-91
ghsi,20,0,bsnetcw,0,23.45,0.78,0.7,6-17-20-25-26-28-30-49-54-56-62-63-69-71-84-92-105-109-116-128
ghsi,20,0,bsnet,0,31.3,0.78,0.69,39-35-70-67-103-2-82-99-32-116-34-31-24-37-56-120-95-92-20-29
ghsi,15,0,bsnetcw,0,23.28,0.76,0.67,6-25-26-30-49-54-62-63-69-71-84-105-109-116-128
ghsi,15,0,bsnet,0,31.3,0.77,0.68,39-35-70-67-103-2-82-99-32-116-34-31-24-37-56
ghsi,10,0,bsnetcw,0,23.53,0.75,0.65,6-25-26-30-49-69-84-105-116-128
ghsi,10,0,bsnet,0,31.3,0.74,0.64,39-35-70-67-103-2-82-99-32-116
ghsi,5,0,bsnetcw,0,23.53,0.72,0.61,25-26-30-49-84
ghsi,5,0,bsnet,0,31.3,0.63,0.49,39-35-70-67-103
