epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,0.14693,0.1408,1.01,382,760,1138,1516,1893,2269,2647,3026,3402,3780
1,0,0,0.1458,0.13962,1.02,383,761,1139,1517,1894,2269,2646,3027,3402,3780
2,0,0,0.14482,0.13859,1.03,383,761,1139,1518,1895,2270,2645,3028,3403,3779
3,0,0,0.14395,0.1377,1.05,383,762,1140,1519,1896,2270,2644,3029,3403,3779
4,0,0,0.1432,0.13692,1.06,384,763,1141,1519,1897,2270,2643,3029,3402,3779
5,0,0,0.14253,0.13623,1.08,384,763,1142,1520,1898,2270,2642,3030,3402,3778
6,0,0,0.14191,0.13559,1.09,384,764,1142,1521,1899,2270,2641,3031,3401,3778
7,0,0,0.14132,0.13498,1.11,385,764,1143,1522,1899,2270,2640,3032,3401,3778
8,0,0,0.14073,0.13438,1.12,385,765,1144,1523,1900,2269,2639,3033,3400,3777
9,0,0,0.14015,0.13378,1.14,385,766,1145,1523,1900,2269,2638,3033,3400,3777
10,0,0,0.13956,0.13316,1.15,386,766,1146,1524,1901,2269,2637,3034,3399,3777
11,0,0,0.13896,0.13253,1.17,386,767,1147,1525,1901,2269,2636,3035,3399,3777
12,0,0,0.13838,0.13191,1.18,386,768,1147,1525,1901,2270,2635,3036,3398,3777
13,0,0,0.13788,0.13137,1.2,387,768,1148,1526,1900,2270,2634,3037,3397,3777
14,0,0,0.1375,0.13097,1.21,387,769,1149,1526,1900,2270,2633,3037,3397,3776
15,0,0,0.13718,0.13063,1.23,387,770,1150,1527,1900,2270,2632,3038,3396,3776
16,0,0,0.13689,0.13033,1.24,388,770,1151,1527,1900,2270,2631,3039,3395,3776
17,0,0,0.13663,0.13005,1.26,388,771,1152,1528,1900,2270,2631,3039,3395,3776
18,0.00255,0.00339,0.13638,0.12978,1.27,388,771,1153,1528,1900,2269,2630,3040,3394,3776
19,0.0059,0.00718,0.13615,0.12954,1.29,389,772,1154,1529,1900,2269,2629,3041,3393,3775
20,0.00902,0.01064,0.13594,0.12931,1.3,389,772,1155,1530,1900,2269,2629,3041,3393,3775
21,0.01197,0.0139,0.13574,0.1291,1.31,389,773,1156,1531,1900,2269,2628,3042,3392,3775
22,0.01477,0.01698,0.13554,0.1289,1.33,390,774,1157,1531,1900,2270,2628,3043,3391,3775
23,0.01744,0.01977,0.13536,0.12871,1.34,390,774,1157,1532,1901,2270,2627,3043,3391,3774
24,0.02003,0.02239,0.13518,0.12854,1.36,390,775,1158,1533,1901,2270,2627,3044,3390,3774
25,0.02256,0.02493,0.13501,0.12837,1.37,391,775,1159,1534,1901,2270,2626,3045,3390,3774
26,0.02498,0.02747,0.13484,0.12821,1.39,391,776,1160,1535,1901,2270,2626,3045,3389,3773
27,0.0273,0.02996,0.13468,0.12804,1.4,391,776,1161,1536,1901,2270,2625,3046,3388,3773
28,0.02952,0.03232,0.13453,0.12789,1.42,392,777,1162,1536,1901,2270,2625,3046,3388,3773
29,0.03163,0.03446,0.13438,0.12774,1.43,392,777,1163,1537,1901,2269,2625,3047,3387,3772
30,0.0336,0.03644,0.13424,0.12761,1.45,392,778,1164,1538,1901,2269,2625,3047,3386,3772
31,0.03547,0.03829,0.13411,0.12749,1.46,393,778,1165,1539,1901,2269,2624,3048,3386,3772
32,0.03731,0.04009,0.13399,0.12737,1.48,393,779,1165,1540,1901,2269,2624,3048,3385,3771
33,0.03913,0.0419,0.13386,0.12725,1.49,393,779,1166,1540,1901,2269,2624,3049,3385,3771
34,0.04094,0.04372,0.13373,0.12713,1.51,394,780,1167,1541,1900,2270,2624,3049,3384,3771
35,0.04274,0.04555,0.13361,0.12701,1.52,394,780,1168,1542,1900,2270,2624,3050,3383,3770
36,0.04451,0.04737,0.13348,0.12689,1.54,395,781,1169,1543,1900,2270,2624,3050,3383,3770
37,0.04627,0.04916,0.13336,0.12677,1.55,395,781,1170,1543,1900,2270,2624,3050,3382,3770
