dataset,target_size,fold,algorithm,repeat,final_size,time,metric1,metric2,selected_features
indian_pines,30,0,bsnet,0,30,61.18,0.75,0.72,0-4-5-30-35-40-46-47-48-51-60-67-68-71-72-74-98-102-103-112-117-125-148-149-160-176-181-182-183-199
indian_pines,30,0,bsnet,1,30,59.74,0.75,0.72,0-4-5-30-35-40-46-47-48-51-60-67-68-71-72-74-98-102-103-112-117-125-148-149-160-176-181-182-183-199
indian_pines,30,0,bsnet,2,30,59.7,0.75,0.72,0-4-5-30-35-40-46-47-48-51-60-67-68-71-72-74-98-102-103-112-117-125-148-149-160-176-181-182-183-199
indian_pines,30,0,bsnet,3,30,59.36,0.75,0.72,0-4-5-30-35-40-46-47-48-51-60-67-68-71-72-74-98-102-103-112-117-125-148-149-160-176-181-182-183-199
indian_pines,30,0,fsdr,0,29,410.69,0.8,0.78,8-9-24-27-41-43-50-57-65-70-78-80-89-93-98-108-109-127-135-137-139-149-153-154-162-168-175-184-194
indian_pines,30,0,fsdr,1,30,394.54,0.82,0.79,6-13-15-27-31-40-46-51-57-63-74-80-90-91-92-108-109-111-127-128-135-140-149-150-159-168-174-178-179-192
indian_pines,30,0,fsdr,2,30,397.8,0.82,0.8,7-8-24-30-31-36-46-50-58-72-74-78-86-91-98-102-109-111-125-127-129-140-149-153-154-160-175-178-182-192
indian_pines,30,0,fsdr,3,30,393.53,0.82,0.8,8-14-25-32-34-41-48-52-55-63-72-78-86-92-98-100-109-119-128-129-139-140-149-153-160-161-172-181-185-190
