algorithm,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
mi,871,4200,12.21,2,2,0.44,0.6,0.65,0.13,0.08,0.1,406;407
mi,871,4200,12.68,5,5,0.44,0.6,0.65,0.13,0.08,0.1,406;407;405;408;404
mi,871,4200,12.71,10,10,0.44,0.61,0.65,0.13,0.08,0.1,406;407;405;408;404;409;403;398;410;402
mi,871,4200,12.75,15,15,0.44,0.61,0.64,0.13,0.08,0.1,406;407;405;408;404;409;403;398;410;402;400;411;401;397;412
mi,871,4200,12.75,20,20,0.44,0.61,0.65,0.13,0.08,0.1,406;407;405;408;404;409;403;398;410;402;400;411;401;397;412;399;396;413;418;419
sfs,871,4200,33.79,2,2,0.44,0.69,0.79,0.13,0.07,0.08,430;957
sfs,871,4200,87.29,5,5,0.44,0.83,0.83,0.13,0.06,0.07,430;957;3154;3631;3817
sfs,871,4200,192.82,10,10,0.44,0.87,0.87,0.13,0.05,0.06,29;430;897;957;3139;3154;3446;3509;3631;3817
sfs,871,4200,290.87,15,15,0.44,0.88,0.9,0.13,0.05,0.05,29;430;897;957;2049;3139;3154;3309;3332;3446;3509;3631;3788;3817;3831
sfs,871,4200,433.52,20,20,0.44,0.88,0.91,0.13,0.05,0.05,29;430;897;957;991;1976;2049;3139;3154;3309;3332;3445;3446;3462;3509;3631;3788;3817;3831;4128
lasso,871,4200,0.17,2,2,0.44,0.26,0.14,0.13,0.11,0.16,4199;1410
lasso,871,4200,0.05,5,5,0.44,0.26,0.14,0.13,0.11,0.16,4199;1410;1408;1407;1406
lasso,871,4200,0.05,10,10,0.44,0.27,0.15,0.13,0.11,0.16,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401
lasso,871,4200,0.04,15,15,0.44,0.27,0.16,0.13,0.11,0.16,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401;1400;1399;1398;1397;1396
lasso,871,4200,0.04,20,20,0.44,0.28,0.15,0.13,0.11,0.16,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401;1400;1399;1398;1397;1396;1395;1394;1393;1392;1391
fscr,871,4200,8.63,2,2,0.44,0.21,0.12,0.13,0.12,0.16,1383;2656
fscr,871,4200,11.58,5,5,0.44,0.81,0.86,0.13,0.06,0.06,413;1412;2024;2655;3467
fscr,871,4200,17.69,10,10,0.44,0.87,0.89,0.13,0.05,0.06,442;1201;1330;1882;1934;2023;2344;2989;3451;3812
fscr,871,4200,23.08,15,15,0.44,0.86,0.88,0.13,0.05,0.06,459;576;1011;1106;1388;1887;1893;2021;2343;2643;2652;3008;3462;3465;3814
fscr,871,4200,27.99,20,19,0.44,0.86,0.9,0.13,0.05,0.06,434;751;1089;1149;1224;1469;1775;1882;2017;2019;2020;2333;2340;2643;3139;3150;3456;3801;3814
