algorithm,rows,columns,time,target_size,final_size,r2_train,r2_test,rmse_train,rmse_test,selected_features
cars,247,2151,4.77,2,2,0.87,0.21,0.07,0.17,279;2147
fsdr,247,2151,16.71,2,2,0.88,-0.18,0.06,0.21,677;1447
cars,247,2151,4.81,5,5,0.89,0.2,0.06,0.17,2;288;296;2124;2125
fsdr,247,2151,24.11,5,5,0.91,0.25,0.06,0.17,393;939;1047;1277;1778
cars,247,2151,4.23,10,10,0.9,0.2,0.06,0.17,2;282;292;1922;2123;2125;2139;2141;2146;2147
fsdr,247,2151,38.81,10,10,0.92,0.3,0.05,0.16,279;404;596;891;981;1064;1342;1520;1739;1921
cars,247,2151,3.74,20,20,0.89,0.22,0.06,0.17,1;2;7;11;13;278;286;289;291;337;1920;2007;2020;2025;2096;2104;2127;2140;2148;2149
fsdr,247,2151,71.05,20,20,0.91,0.28,0.05,0.16,111;253;349;424;584;611;765;890;959;1047;1099;1226;1328;1372;1488;1586;1705;1774;1921;2019
cars,247,2151,3.42,30,30,0.91,0.24,0.05,0.17,0;2;3;262;281;305;316;360;919;982;1015;1018;1021;1267;1913;2006;2032;2047;2067;2076;2082;2120;2127;2128;2134;2136;2140;2141;2142;2144
fsdr,247,2151,100.64,30,29,0.91,0.28,0.05,0.16,91;185;273;359;416;428;583;596;628;687;851;909;920;1047;1064;1165;1184;1194;1286;1342;1488;1519;1594;1634;1724;1832;1913;1983;2053
cars,21782,66,13.69,2,2,0.95,0.58,0.03,0.09,7;22
fsdr,21782,66,13.08,2,2,0.94,0.54,0.03,0.09,6;35
cars,21782,66,9.54,5,5,0.97,0.77,0.02,0.07,5;8;19;21;60
fsdr,21782,66,27.1,5,5,0.97,0.77,0.02,0.06,6;17;32;39;55
cars,21782,66,6.82,10,10,0.97,0.79,0.02,0.06,3;6;7;10;21;24;28;29;60;61
fsdr,21782,66,46.26,10,10,0.97,0.8,0.02,0.06,6;8;17;26;29;32;34;48;54;60
cars,21782,66,4.14,20,20,0.97,0.79,0.02,0.06,1;3;4;5;6;7;8;9;10;11;12;20;22;23;24;28;30;36;59;60
fsdr,21782,66,82.88,20,13,0.97,0.8,0.02,0.06,7;8;10;17;23;29;30;31;32;34;48;54;60
cars,21782,66,3.71,30,30,0.97,0.81,0.02,0.06,0;1;3;4;5;6;7;8;9;10;11;12;13;18;19;20;21;23;24;25;26;31;33;37;47;53;59;60;64;65
fsdr,21782,66,114.78,30,19,0.97,0.8,0.02,0.06,7;12;15;18;20;21;23;27;29;30;31;32;34;39;47;48;54;59;60
cars,21782,4200,429.98,2,2,0.95,0.61,0.03,0.08,427;1426
fsdr,21782,4200,22.33,2,2,0.87,0.02,0.05,0.13,1401;2657
cars,21782,4200,438.76,5,5,0.96,0.69,0.03,0.08,411;416;463;1308;1387
fsdr,21782,4200,29.15,5,5,0.97,0.8,0.02,0.06,392;1402;2023;2768;3458
cars,21782,4200,388.51,10,10,0.97,0.8,0.02,0.06,298;344;366;375;419;426;445;1560;2018;3821
fsdr,21782,4200,45.57,10,8,0.97,0.81,0.02,0.06,419;1028;1672;2023;2437;2795;3444;3809
cars,21782,4200,408.08,20,20,0.97,0.81,0.02,0.06,353;362;384;389;409;414;416;435;436;446;495;1267;1290;1659;1696;1871;1998;2025;3797;4172
fsdr,21782,4200,102.98,20,16,0.97,0.8,0.02,0.06,459;687;798;889;1109;1703;1907;1926;2020;2132;2182;2974;3187;3403;3409;3747
cars,21782,4200,359.78,30,30,0.97,0.8,0.02,0.06,334;341;346;355;370;383;384;385;390;402;404;413;428;431;432;445;448;454;511;516;1213;1245;1353;1395;1543;1562;1831;2004;3805;3823
fsdr,21782,4200,146.28,30,29,0.97,0.81,0.02,0.06,413;514;636;1065;1101;1177;1183;1401;1547;1773;1781;1880;1882;1926;2021;2121;2137;2139;2162;2271;2275;2981;2986;2989;3405;3409;3740;3744;3745
