dataset,target_size,fold,algorithm,repeat,time,metric1,metric2,selected_features
indian_pines,5,0,spa,0,19.96,0.49,0.42,0-56-60-86-146
indian_pines,5,1,spa,0,19.73,0.46,0.38,0-2-56-86-88
indian_pines,5,2,spa,0,19.37,0.51,0.43,0-2-56-86-88
indian_pines,5,3,spa,0,18.82,0.52,0.45,0-1-56-60-148
indian_pines,5,4,spa,0,18.66,0.53,0.46,0-56-60-86-146
indian_pines,5,5,spa,0,18.61,0.5,0.42,0-56-60-86-146
indian_pines,5,6,spa,0,18.58,0.47,0.39,0-2-56-86-88
indian_pines,5,7,spa,0,18.76,0.54,0.48,0-56-60-86-146
indian_pines,5,8,spa,0,18.7,0.51,0.44,0-56-60-86-146
indian_pines,5,9,spa,0,18.45,0.51,0.43,0-56-60-86-146
indian_pines,10,0,spa,0,36.15,0.49,0.42,0-35-60-74-86-89-103-148-198-199
indian_pines,10,1,spa,0,36.07,0.45,0.37,0-2-56-60-86-88-103-143-198-199
indian_pines,10,2,spa,0,36.54,0.47,0.4,0-34-60-74-86-89-103-146-198-199
indian_pines,10,3,spa,0,35.95,0.46,0.38,0-2-56-60-86-88-103-143-198-199
indian_pines,10,4,spa,0,35.46,0.53,0.47,0-35-60-74-86-89-103-148-198-199
indian_pines,10,5,spa,0,35.11,0.48,0.4,0-34-60-74-86-89-103-146-198-199
indian_pines,10,6,spa,0,34.74,0.52,0.46,0-35-60-74-86-89-103-148-198-199
indian_pines,10,7,spa,0,35.29,0.5,0.43,0-2-59-60-74-89-90-103-146-199
indian_pines,10,8,spa,0,35.5,0.5,0.43,0-34-60-74-86-89-103-146-198-199
indian_pines,10,9,spa,0,34.93,0.53,0.46,0-34-60-74-83-86-89-103-146-198
indian_pines,15,0,spa,0,52.55,0.46,0.38,0-34-39-60-74-86-87-89-102-103-104-143-144-198-199
indian_pines,15,1,spa,0,53.75,0.52,0.46,0-34-56-60-74-83-86-89-102-103-143-144-146-198-199
indian_pines,15,2,spa,0,54.55,0.47,0.4,0-34-56-60-74-83-86-89-102-103-143-144-146-198-199
indian_pines,15,3,spa,0,53.03,0.53,0.46,0-34-56-60-74-83-86-89-102-103-143-144-146-198-199
indian_pines,15,4,spa,0,54.07,0.49,0.43,0-34-56-60-74-83-86-89-102-103-143-144-150-198-199
indian_pines,15,5,spa,0,60.26,0.5,0.42,0-34-56-60-74-83-86-89-102-103-143-144-150-198-199
indian_pines,15,6,spa,0,59.56,0.49,0.42,0-34-56-60-74-83-86-89-102-103-143-144-150-198-199
indian_pines,15,7,spa,0,60.77,0.49,0.42,0-34-56-60-74-83-86-89-102-103-143-144-146-198-199
indian_pines,15,8,spa,0,60.65,0.48,0.41,0-34-56-60-74-83-86-89-102-103-143-144-150-198-199
indian_pines,15,9,spa,0,61.09,0.48,0.41,0-34-56-60-74-83-86-88-102-103-104-143-144-146-198
indian_pines,20,0,spa,0,84.07,0.51,0.44,0-34-39-56-60-74-87-89-90-93-97-102-103-104-143-144-145-148-198-199
indian_pines,20,1,spa,0,83.26,0.53,0.46,0-3-34-56-59-60-74-88-89-90-93-102-103-104-143-144-145-197-198-199
indian_pines,20,2,spa,0,86.3,0.48,0.41,0-3-34-56-59-60-74-75-89-90-93-102-103-104-143-144-145-197-198-199
indian_pines,20,3,spa,0,83.95,0.56,0.49,0-2-29-34-39-56-60-74-83-86-88-89-102-103-104-143-144-145-198-199
indian_pines,20,4,spa,0,83.28,0.53,0.48,0-4-34-39-56-60-74-84-89-90-92-102-103-104-143-144-145-197-198-199
indian_pines,20,5,spa,0,81.96,0.53,0.45,0-2-29-34-39-56-60-74-83-86-88-90-102-103-104-143-144-145-198-199
indian_pines,20,6,spa,0,81.64,0.53,0.47,0-4-34-39-56-60-74-84-89-90-92-102-103-104-143-144-145-197-198-199
indian_pines,20,7,spa,0,87.14,0.53,0.46,0-2-34-56-59-60-74-75-89-90-93-102-103-104-143-144-145-146-198-199
indian_pines,20,8,spa,0,86.16,0.52,0.45,0-4-34-39-56-60-74-84-89-90-92-102-103-104-143-144-145-197-198-199
indian_pines,20,9,spa,0,81.04,0.5,0.43,0-2-34-56-59-60-74-75-88-89-90-93-102-103-104-143-144-145-146-198
indian_pines,25,0,spa,0,104.72,0.52,0.45,0-2-29-34-56-60-61-74-75-83-87-88-89-90-93-102-103-104-105-143-144-145-197-198-199
indian_pines,25,1,spa,0,105.55,0.53,0.47,0-2-29-34-39-56-60-74-75-83-84-86-88-89-90-102-103-104-105-143-144-145-197-198-199
indian_pines,25,2,spa,0,101.53,0.53,0.46,0-2-30-34-39-56-60-74-75-83-84-86-88-89-90-102-103-104-105-143-144-145-197-198-199
indian_pines,25,3,spa,0,99.81,0.58,0.51,0-2-29-34-39-56-60-74-75-83-84-86-88-89-90-102-103-104-105-143-144-145-197-198-199
indian_pines,25,4,spa,0,98.54,0.56,0.5,0-2-29-34-39-56-60-74-75-83-84-86-88-89-90-102-103-104-105-143-144-145-197-198-199
indian_pines,25,5,spa,0,98.42,0.53,0.46,0-2-29-34-39-56-60-74-75-83-84-86-88-89-90-102-103-104-105-143-144-145-197-198-199
indian_pines,25,6,spa,0,96.64,0.55,0.49,0-2-30-34-39-56-60-74-75-83-84-86-88-89-90-102-103-104-105-143-144-145-197-198-199
indian_pines,25,7,spa,0,99.67,0.51,0.44,0-2-34-39-56-59-60-74-75-83-86-88-89-90-93-102-103-104-143-144-145-146-197-198-199
indian_pines,25,8,spa,0,99.01,0.53,0.47,0-2-30-34-39-56-60-74-75-83-84-86-88-89-90-102-103-104-105-143-144-145-197-198-199
indian_pines,25,9,spa,0,98.2,0.56,0.49,0-1-29-34-36-56-60-61-74-75-83-84-86-88-89-90-102-103-104-143-144-145-147-197-198
indian_pines,30,0,spa,0,118.54,0.54,0.47,0-1-12-29-34-39-56-59-60-61-74-75-83-86-87-88-89-90-93-102-103-104-105-143-144-145-195-197-198-199
indian_pines,30,1,spa,0,119.74,0.55,0.49,0-1-2-29-33-34-39-56-60-61-74-75-83-84-85-86-88-89-90-102-103-104-105-143-144-145-195-197-198-199
