dataset,target_size,algorithm,time,metric1,metric2,selected_features
indian_pines,5,mcuve,2.21,0.51,0.41,64-66-67-68-69||53-57-58-70-71||62-66-67-68-69||66-67-68-69-70||62-63-64-65-66||65-66-67-68-69||62-65-66-67-69||63-64-65-66-67||52-63-64-65-91||38-53-62-69-81
indian_pines,10,mcuve,2.19,0.54,0.46,46-62-63-64-65-66-67-68-69-70||41-42-53-57-58-68-69-70-71-80||44-52-62-63-64-65-66-67-68-69||52-62-63-64-65-66-67-68-69-70||46-49-50-51-52-63-64-65-66-67||44-52-62-63-65-66-67-68-69-70||40-41-42-44-46-47-48-50-51-52||52-62-63-64-65-66-67-68-69-70||49-50-51-52-62-63-64-65-66-67||53-62-63-64-65-66-67-68-69-81
indian_pines,15,mcuve,2.18,0.56,0.5,40-41-47-51-52-62-63-64-65-66-67-68-69-81-136||42-44-52-53-57-62-63-64-65-66-67-68-69-70-71||41-42-43-44-52-62-63-64-65-66-67-68-69-70-81||42-43-45-46-47-52-62-63-64-65-66-67-68-69-81||45-46-47-48-49-50-51-52-62-63-64-65-66-67-68||41-43-44-47-50-51-52-62-63-64-65-66-67-68-69||41-42-44-46-47-50-52-62-63-64-65-66-67-68-69||44-45-46-52-53-62-63-64-65-66-67-68-69-70-81||41-42-44-46-50-51-52-62-63-64-65-66-67-68-69||44-46-51-52-62-63-64-65-66-67-68-69-81-91-92
indian_pines,20,mcuve,2.25,0.56,0.5,41-42-43-44-46-47-49-50-51-52-62-63-64-65-66-67-68-69-70-81||38-41-44-46-52-53-57-58-62-63-64-65-66-67-68-69-70-71-80-81||40-41-42-43-44-45-46-47-49-50-51-52-62-63-64-65-66-67-68-69||41-42-43-44-45-46-47-50-51-52-62-63-64-65-66-67-68-69-70-81||40-41-42-43-44-45-46-47-48-49-50-51-52-62-63-64-65-66-67-68||40-41-42-43-44-45-46-47-50-51-52-62-63-64-65-66-67-68-69-70||41-42-43-44-45-46-47-49-50-51-52-62-63-64-65-66-67-68-69-91||40-41-42-43-44-45-46-47-49-50-52-62-63-64-65-66-67-68-69-81||40-41-42-43-44-45-46-47-48-49-50-51-52-62-63-64-65-66-67-91||40-41-42-43-44-46-50-52-53-62-63-64-65-66-67-68-69-70-71-81
indian_pines,25,mcuve,2.2,0.59,0.53,40-41-42-43-44-45-46-47-48-49-50-51-52-62-63-64-65-66-67-68-69-70-81-100-101||38-40-41-42-43-44-46-47-50-52-53-57-58-62-63-64-65-66-67-68-69-70-71-80-81||25-40-41-42-43-44-45-46-47-48-49-50-51-52-57-62-63-64-65-66-67-68-69-70-91||40-41-42-43-44-45-46-47-48-49-50-51-52-62-63-64-65-66-67-68-69-70-81-91-100||40-41-42-43-44-45-46-47-48-49-50-51-52-62-63-64-65-66-67-68-91-94-97-99-100||40-41-42-43-44-45-46-47-48-49-50-51-52-62-63-64-65-66-67-68-69-81-101-130-136||40-41-42-43-44-45-46-47-48-49-50-51-52-62-63-64-65-66-67-68-69-91-94-108-109||40-41-42-43-44-45-46-47-48-49-50-51-52-62-63-64-65-66-67-68-69-70-80-81-155||40-41-42-43-44-45-46-47-48-49-50-51-52-56-62-63-64-65-66-67-68-69-91-94-97||27-40-41-42-43-44-45-46-47-48-49-50-51-52-62-63-64-65-66-67-68-69-70-81-91
indian_pines,30,mcuve,2.18,0.64,0.59,40-41-42-43-44-45-46-47-48-49-50-51-52-62-63-64-65-66-67-68-69-70-81-91-94-100-119-120-130-136||38-40-41-42-43-44-45-46-47-48-49-50-51-52-57-62-63-64-65-66-67-68-69-70-71-81-91-100-101-136||25-40-41-42-43-44-45-46-47-48-49-50-51-52-62-63-64-65-66-67-68-69-70-81-91-94-97-100-101-109||40-41-42-43-44-45-46-47-48-49-50-51-52-62-63-64-65-66-67-68-69-70-71-81-91-94-100-101-120-136||20-21-40-41-42-43-44-45-46-47-48-49-50-51-52-63-64-65-66-67-91-94-97-98-99-100-109-110-111-112||28-40-41-42-43-44-45-46-47-48-49-50-51-52-62-63-64-65-66-67-68-69-70-81-91-94-99-100-101-120||19-20-21-22-23-40-41-42-43-44-45-46-47-48-49-50-51-52-62-63-64-65-66-67-68-69-81-91-94-97||28-38-40-41-42-43-44-45-46-47-48-49-50-51-52-53-62-63-64-65-66-67-68-69-70-81-91-94-99-101||40-41-42-43-44-45-46-47-48-49-50-51-52-62-63-64-65-66-67-68-69-74-91-94-97-98-99-100-101-108||40-41-42-43-44-45-46-47-48-49-50-51-52-53-62-63-64-65-66-67-68-69-70-71-81-91-120-121-135-136
ghsi,5,mcuve,1.17,0.49,0.25,67-68-69-70-72||68-69-70-71-72||68-69-70-71-72||67-68-69-73-74||66-67-68-69-70||68-69-70-71-72||68-69-70-72-73||67-68-71-72-73||67-68-69-70-71||67-68-69-70-71
ghsi,10,mcuve,1.17,0.54,0.35,28-66-67-68-69-70-71-72-73-74||28-29-66-67-68-69-70-71-72-73||65-66-67-68-69-70-71-72-73-74||28-66-67-68-69-70-71-72-73-74||28-66-67-68-69-70-71-72-73-74||65-66-67-68-69-70-71-72-73-74||28-66-67-68-69-70-71-72-73-74||65-66-67-68-69-70-71-72-73-74||29-66-67-68-69-70-71-72-73-74||29-66-67-68-69-70-71-72-73-74
ghsi,15,mcuve,1.16,0.61,0.46,28-29-63-64-65-66-67-68-69-70-71-72-73-74-75||28-29-64-65-66-67-68-69-70-71-72-73-74-75-91||28-29-63-64-65-66-67-68-69-70-71-72-73-74-75||28-29-63-64-65-66-67-68-69-70-71-72-73-74-75||28-29-30-52-56-65-66-67-68-69-70-71-72-73-74||28-29-64-65-66-67-68-69-70-71-72-73-74-75-91||28-29-30-56-57-65-66-67-68-69-70-71-72-73-74||28-29-64-65-66-67-68-69-70-71-72-73-74-90-91||28-29-30-58-65-66-67-68-69-70-71-72-73-74-75||28-29-63-64-65-66-67-68-69-70-71-72-73-74-75
ghsi,20,mcuve,1.15,0.63,0.49,28-29-63-64-65-66-67-68-69-70-71-72-73-74-75-85-86-91-92-93||28-29-65-66-67-68-69-70-71-72-73-74-84-85-86-87-88-89-90-91||28-29-30-63-64-65-66-67-68-69-70-71-72-73-74-75-87-90-91-92||28-29-52-58-59-60-65-66-67-68-69-70-71-72-73-74-88-90-91-92||27-28-29-63-64-65-66-67-68-69-70-71-72-73-74-75-88-90-91-92||28-29-64-65-66-67-68-69-70-71-72-73-74-75-87-88-89-90-91-92||28-29-52-53-54-55-56-57-58-59-65-66-67-68-69-70-71-72-73-74||28-29-65-66-67-68-69-70-71-72-73-74-83-84-85-86-87-88-90-92||28-29-52-57-58-64-65-66-67-68-69-70-71-72-73-74-75-87-88-89||28-29-30-53-54-55-56-57-58-59-65-66-67-68-69-70-71-72-73-74
