fold,dataset,metric1,metric2
0,lucas_min,0,0.19
1,lucas_min,0,0.16
2,lucas_min,0,0.13
3,lucas_min,0,0.15
4,lucas_min,0,0.14
5,lucas_min,0,0.16
6,lucas_min,-0.0,0.17
7,lucas_min,0,0.11
8,lucas_min,0,0.18
9,lucas_min,0,0.16
0,lucas_full,0.21,0.12
1,lucas_full,0,0.12
2,lucas_full,0.1,0.12
3,lucas_full,0.12,0.13
4,lucas_full,0.13,0.13
5,lucas_full,0,0.12
6,lucas_full,0.24,0.13
7,lucas_full,0.18,0.13
8,lucas_full,0.21,0.13
9,lucas_full,0.21,0.13
