algorithm,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
mi,21782,4200,613.71,2,2,0.78,0.25,0.24,0.07,0.12,0.12,418;417
mi,21782,4200,609.79,5,5,0.78,0.26,0.25,0.07,0.12,0.12,418;417;437;438;439
mi,21782,4200,614.68,10,10,0.78,0.27,0.27,0.07,0.12,0.12,418;417;437;438;439;419;436;416;379;415
mi,21782,4200,615.09,15,15,0.78,0.28,0.27,0.07,0.12,0.12,418;417;437;438;439;419;436;416;379;415;450;396;435;420;449
mi,21782,4200,611.92,20,20,0.78,0.28,0.28,0.07,0.12,0.12,418;417;437;438;439;419;436;416;379;415;450;396;435;420;449;413;414;371;457;421
sfs,21782,4200,86.29,2,2,0.78,0.31,0.32,0.07,0.11,0.12,412;993
sfs,21782,4200,346.94,5,5,0.78,0.55,0.56,0.07,0.09,0.09,412;993;2986;3631;3820
sfs,21782,4200,640.71,10,10,0.78,0.71,0.72,0.07,0.07,0.08,151;412;903;993;2986;3259;3446;3631;3820;4199
sfs,21782,4200,1196.33,15,15,0.78,0.74,0.74,0.07,0.07,0.07,151;412;903;993;2986;3126;3187;3259;3446;3550;3631;3786;3820;3830;4199
sfs,21782,4200,1965.11,20,20,0.78,0.76,0.76,0.07,0.07,0.07,151;412;903;993;2906;2986;3002;3126;3148;3187;3259;3391;3446;3550;3631;3770;3786;3820;3830;4199
lasso,21782,4200,153.1,2,2,0.78,0.25,0.24,0.07,0.12,0.12,403;404
lasso,21782,4200,152.99,5,5,0.78,0.26,0.24,0.07,0.12,0.12,403;404;406;3818;3819
lasso,21782,4200,153.52,10,10,0.78,0.27,0.26,0.07,0.12,0.12,403;404;406;3818;3819;407;409;405;410;412
lasso,21782,4200,153.41,15,15,0.78,0.29,0.28,0.07,0.12,0.12,403;404;406;3818;3819;407;409;405;410;412;408;402;413;414;411
lasso,21782,4200,153.95,20,20,0.78,0.44,0.46,0.07,0.1,0.1,403;404;406;3818;3819;407;409;405;410;412;408;402;413;414;411;3820;1419;1418;1415;1417
fsdr,21782,4200,33.56,2,2,0.78,0.25,0.24,0.07,0.12,0.12,350;2401
fsdr,21782,4200,46.73,5,5,0.78,0.53,0.55,0.07,0.09,0.09,396;1398;2023;2773;3461
fsdr,21782,4200,66.09,10,10,0.78,0.64,0.64,0.07,0.08,0.08,419;714;1138;1399;2018;2019;2131;3194;3433;3809
fsdr,21782,4200,89.67,15,14,0.78,0.63,0.65,0.07,0.08,0.08,419;598;1137;1243;1543;1891;1922;2020;2129;2983;2986;3409;3742;3803
fsdr,21782,4200,124.72,20,18,0.78,0.7,0.69,0.07,0.08,0.08,442;515;888;1135;1161;1398;1783;1896;2020;2117;2127;2132;2157;2970;3184;3409;3732;3800
mi,21782,66,7.43,2,2,0.8,0.25,0.24,0.06,0.12,0.12,6;5
mi,21782,66,7.25,5,5,0.8,0.28,0.28,0.06,0.12,0.12,6;5;7;8;4
mi,21782,66,7.61,10,10,0.8,0.37,0.4,0.06,0.11,0.11,6;5;7;8;4;9;10;3;11;2
mi,21782,66,7.38,15,15,0.8,0.39,0.41,0.06,0.11,0.11,6;5;7;8;4;9;10;3;11;2;12;1;13;0;14
mi,21782,66,7.26,20,20,0.8,0.54,0.55,0.06,0.09,0.09,6;5;7;8;4;9;10;3;11;2;12;1;13;0;14;52;59;54;15;60
sfs,21782,66,1.02,2,2,0.8,0.31,0.32,0.06,0.11,0.12,6;15
sfs,21782,66,3.46,5,5,0.8,0.55,0.56,0.06,0.09,0.09,6;15;49;56;59
sfs,21782,66,9.11,10,10,0.8,0.72,0.72,0.06,0.07,0.07,2;6;14;15;48;49;53;54;56;59
sfs,21782,66,16.69,15,15,0.8,0.73,0.74,0.06,0.07,0.07,2;6;13;14;15;33;48;49;50;51;53;54;56;59;65
sfs,21782,66,25.86,20,20,0.8,0.76,0.77,0.06,0.07,0.07,2;6;11;13;14;15;30;33;36;40;43;48;49;50;51;53;54;56;59;65
lasso,21782,66,0.12,2,2,0.8,0.26,0.24,0.06,0.12,0.12,6;59
lasso,21782,66,0.12,5,5,0.8,0.43,0.45,0.06,0.1,0.1,6;59;24;18;19
lasso,21782,66,0.12,10,10,0.8,0.47,0.49,0.06,0.1,0.1,6;59;24;18;19;20;21;22;23;65
lasso,21782,66,0.13,15,15,0.8,0.62,0.64,0.06,0.08,0.08,6;59;24;18;19;20;21;22;23;65;16;25;26;27;28
lasso,21782,66,0.11,20,20,0.8,0.64,0.65,0.06,0.08,0.08,6;59;24;18;19;20;21;22;23;65;16;25;26;27;28;29;17;14;15;31
fsdr,21782,66,28.44,2,2,0.8,0.26,0.25,0.06,0.12,0.12,5;31
fsdr,21782,66,37.24,5,5,0.8,0.45,0.48,0.06,0.1,0.1,6;17;32;35;54
fsdr,21782,66,53.89,10,9,0.8,0.57,0.58,0.06,0.09,0.09,6;10;17;26;31;35;47;54;59
fsdr,21782,66,70.78,15,12,0.8,0.63,0.63,0.06,0.08,0.09,7;9;16;20;28;31;33;34;36;47;54;59
fsdr,21782,66,86.47,20,13,0.8,0.59,0.6,0.06,0.09,0.09,7;11;12;19;23;24;26;30;31;33;47;54;59
mi,871,4200,12.9,2,2,0.78,0.27,0.22,0.09,0.12,0.17,399;397
mi,871,4200,12.88,5,5,0.78,0.27,0.23,0.09,0.12,0.16,399;397;396;398;395
mi,871,4200,12.56,10,10,0.78,0.29,0.26,0.09,0.12,0.16,399;397;396;398;395;394;400;393;401;406
mi,871,4200,12.57,15,15,0.78,0.3,0.27,0.09,0.12,0.16,399;397;396;398;395;394;400;393;401;406;402;405;404;403;407
mi,871,4200,12.71,20,20,0.78,0.3,0.28,0.09,0.12,0.16,399;397;396;398;395;394;400;393;401;406;402;405;404;403;407;360;408;392;409;357
sfs,871,4200,33.91,2,2,0.78,0.33,0.34,0.09,0.12,0.15,418;985
sfs,871,4200,87.07,5,5,0.78,0.6,0.65,0.09,0.09,0.11,418;985;3173;3632;3820
sfs,871,4200,179.34,10,10,0.78,0.75,0.8,0.09,0.07,0.08,5;418;886;985;3088;3173;3414;3632;3793;3820
sfs,871,4200,273.26,15,15,0.78,0.77,0.81,0.09,0.07,0.08,5;418;886;985;3088;3173;3411;3414;3548;3632;3793;3799;3809;3820;4115
sfs,871,4200,401.52,20,20,0.78,0.8,0.81,0.09,0.07,0.08,5;418;886;985;1985;2054;2855;2948;3088;3173;3402;3411;3414;3548;3632;3793;3799;3809;3820;4115
lasso,871,4200,1.02,2,2,0.78,0.11,0.07,0.09,0.14,0.18,2017;2016
lasso,871,4200,1.01,5,5,0.78,0.44,0.49,0.09,0.11,0.13,2017;2016;3812;2018;3813
lasso,871,4200,0.98,10,10,0.78,0.45,0.49,0.09,0.11,0.13,2017;2016;3812;2018;3813;2019;3814;3815;3811;3816
lasso,871,4200,0.97,15,15,0.78,0.58,0.62,0.09,0.09,0.11,2017;2016;3812;2018;3813;2019;3814;3815;3811;3816;3817;3818;418;415;2020
lasso,871,4200,0.99,20,20,0.78,0.58,0.62,0.09,0.09,0.12,2017;2016;3812;2018;3813;2019;3814;3815;3811;3816;3817;3818;418;415;2020;416;414;422;419;2021
fsdr,871,4200,9.95,2,2,0.78,0.28,0.23,0.09,0.12,0.16,397;2423
fsdr,871,4200,13.61,5,5,0.78,0.55,0.6,0.09,0.1,0.12,412;1397;2022;2650;3464
fsdr,871,4200,18.82,10,10,0.78,0.73,0.8,0.09,0.08,0.08,429;468;1001;1399;2020;2056;2444;3208;3401;3810
