algorithm,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
pcat95,21782,4200,48.86,10,2,0.87,0.38,0.32,0.05,0.11,0.12,
pca,21782,4200,1.33,10,10,0.87,0.87,0.86,0.05,0.05,0.05,
fscr,21782,4200,47.2,10,10,0.87,0.83,0.82,0.05,0.06,0.06,425;469;1088;3191;3750;3806;3956;3960;4007;4104
pca,21782,4200,2.53,50,50,0.87,0.91,0.91,0.05,0.04,0.04,
fscr,21782,4200,195.12,50,46,0.87,0.85,0.84,0.05,0.05,0.06,113;115;138;180;182;192;269;292;345;445;644;862;1167;1180;1302;1334;1336;1353;1607;1632;1827;1898;1901;1941;2017;2020;2120;2252;2986;3390;3400;3409;3416;3593;3602;3613;3626;3730;3733;3738;3810;3866;3895;3976;4022;4037
pca,21782,4200,3.4,100,100,0.87,0.92,0.91,0.05,0.04,0.04,
fscr,21782,4200,394.39,100,93,0.87,0.86,0.86,0.05,0.05,0.05,119;120;141;151;175;191;235;261;276;290;347;384;434;447;454;465;475;499;524;545;604;654;711;728;820;1065;1157;1179;1208;1282;1428;1449;1520;1548;1592;1637;1833;1849;1870;1903;1950;2020;2110;2124;2217;2270;2936;2980;2981;2983;3093;3138;3146;3155;3161;3319;3326;3355;3357;3362;3366;3371;3378;3586;3608;3613;3624;3627;3628;3634;3645;3650;3726;3728;3729;3738;3841;3862;3863;3866;3887;3918;3938;3953;3960;3965;3966;4013;4014;4065;4072;4077;4087
pca,21782,4200,4.88,150,150,0.87,0.92,0.91,0.05,0.04,0.04,
fscr,21782,4200,566.68,150,128,0.87,0.85,0.84,0.05,0.05,0.06,127;153;179;201;208;211;215;216;231;256;258;273;298;305;308;344;353;399;404;413;421;437;442;486;502;504;571;588;620;641;706;884;898;919;936;954;1027;1085;1118;1143;1268;1296;1315;1374;1391;1436;1579;1608;1694;1826;1922;1957;2020;2021;2022;2107;2109;2111;2121;2131;2497;2749;2977;2986;2987;2988;3097;3119;3125;3175;3271;3305;3329;3346;3351;3357;3360;3362;3387;3536;3543;3608;3611;3678;3686;3690;3691;3695;3698;3700;3704;3705;3710;3713;3714;3716;3719;3720;3721;3743;3761;3786;3795;3796;3807;3814;3823;3890;3915;3930;3932;3952;3969;3988;3996;4031;4034;4040;4044;4045;4046;4057;4063;4072;4077;4084;4085;4087
pca,21782,4200,5.82,200,200,0.87,0.92,0.91,0.05,0.04,0.04,
fscr,21782,4200,736.18,200,149,0.87,0.85,0.84,0.05,0.05,0.06,114;116;120;127;131;139;143;145;156;157;181;184;191;195;204;209;218;226;272;274;283;284;286;289;300;309;318;330;333;358;372;378;403;404;442;444;458;459;474;530;544;591;667;689;754;766;772;822;851;870;975;983;1061;1094;1300;1323;1325;1347;1362;1366;1372;1385;1405;1429;1512;1535;1536;1564;1565;1569;1609;1634;1641;1682;1689;1722;1726;1737;1745;1753;1825;1862;1882;1928;1957;1958;1962;2021;2108;2111;2116;2117;2121;2878;2946;2983;2986;3123;3265;3270;3274;3282;3312;3316;3326;3344;3345;3352;3354;3362;3611;3627;3630;3633;3638;3642;3658;3668;3676;3690;3711;3719;3720;3721;3723;3752;3755;3765;3839;3911;3914;3936;3953;3956;3957;3969;3973;3975;3984;3992;3999;4001;4018;4046;4053;4064;4074;4075;4081
pca,21782,4200,6.2,250,250,0.87,0.92,0.92,0.05,0.04,0.04,
fscr,21782,4200,900.99,250,212,0.87,0.84,0.84,0.05,0.05,0.06,113;115;118;131;140;155;158;160;162;169;176;180;181;184;185;189;195;199;203;205;206;207;208;211;212;236;240;258;261;265;302;304;324;326;333;337;380;389;413;414;419;425;501;502;533;535;555;557;586;631;644;669;687;700;710;713;737;756;766;769;776;794;821;824;837;862;904;924;927;990;1049;1053;1073;1145;1198;1218;1233;1337;1391;1430;1435;1442;1457;1477;1510;1525;1549;1567;1574;1595;1597;1606;1633;1646;1647;1694;1701;1707;1720;1734;1757;1820;1838;1864;1928;1939;1940;1950;1990;2017;2021;2022;2023;2117;2121;2126;2132;2134;2137;2140;2141;2154;2158;2242;2519;2529;2543;2564;2601;2606;2621;2662;2796;2944;2953;2954;2974;2987;2989;2990;2991;2993;3031;3034;3040;3041;3081;3092;3242;3299;3306;3308;3312;3317;3342;3343;3344;3383;3491;3499;3534;3543;3580;3617;3627;3631;3633;3634;3635;3637;3640;3641;3643;3649;3653;3667;3669;3685;3697;3706;3716;3720;3777;3792;3876;3881;3895;3898;3923;3936;3938;3941;3942;3969;3976;3977;3983;3989;4019;4022;4033;4038;4042;4043;4046;4049;4054;4070;4072;4076;4082;4086
pca,21782,4200,7.48,300,300,0.87,0.92,0.92,0.05,0.04,0.04,
