epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0,0,0.15687708190281213,0.1472537056123912,0.15,164,324,484,644,802,964,1122,1283,1441,1603,1763,1922,2080,2240,2402,2559,2721,2881,3039,3200,3359,3520,3678,3838,3998
1,0,0,0.15299878757750637,0.14297904514287385,0.16,164,324,484,644,802,964,1121,1284,1440,1604,1763,1923,2080,2239,2403,2558,2722,2881,3039,3201,3358,3520,3678,3838,3998
2,0,0,0.14930968908815304,0.13889046351877987,0.17,164,325,485,645,802,965,1120,1285,1439,1605,1763,1924,2081,2238,2404,2557,2722,2881,3040,3202,3357,3521,3677,3837,3998
3,0,0,0.14588451906377742,0.13506394690815826,0.19,165,325,485,645,803,966,1119,1286,1439,1606,1762,1925,2082,2237,2405,2556,2722,2881,3040,3202,3357,3521,3677,3837,3997
4,0,0,0.1427864421030699,0.13158089021060884,0.2,165,325,486,646,803,966,1119,1286,1438,1607,1762,1926,2083,2237,2405,2555,2722,2880,3041,3203,3356,3522,3676,3837,3997
5,0,0,0.14006711979370517,0.12849934976363148,0.22,165,326,486,647,803,967,1118,1287,1438,1608,1763,1927,2084,2236,2406,2554,2722,2879,3042,3204,3355,3522,3676,3836,3997
6,0,0,0.13776362868484315,0.12586046384154528,0.23,165,326,486,647,803,968,1117,1288,1438,1609,1763,1928,2084,2236,2406,2553,2722,2879,3042,3205,3355,3523,3676,3836,3997
7,0.01845778381137342,0.009747205972781225,0.13590085067207347,0.12368848580665831,0.25,165,326,487,648,804,968,1117,1289,1438,1609,1763,1929,2085,2236,2406,2552,2722,2878,3043,3205,3354,3523,3675,3836,3997
8,0.038908865497086054,0.03676516768969962,0.13447760473827117,0.12198945610098492,0.26,165,326,487,648,804,969,1116,1289,1438,1610,1763,1930,2086,2235,2406,2551,2722,2877,3044,3206,3353,3523,3675,3835,3996
9,0.05316377814116169,0.0561053797338692,0.1334765955115845,0.12075856950760397,0.28,166,327,488,649,804,969,1116,1290,1438,1611,1763,1931,2087,2235,2406,2551,2722,2876,3045,3207,3353,3524,3675,3835,3996
10,0.061872952641393475,0.06860548606505235,0.1328613037311233,0.11995630034213763,0.29,166,327,488,649,804,970,1116,1291,1438,1612,1763,1931,2088,2235,2405,2550,2722,2875,3046,3207,3352,3524,3674,3835,3996
11,0.06579122957021732,0.07523229156736355,0.13258355406624509,0.11952880252252268,0.3,166,327,489,650,805,970,1115,1292,1438,1613,1762,1932,2089,2235,2405,2549,2722,2874,3046,3208,3352,3525,3674,3834,3996
12,0.06584072503779759,0.07709189265340677,0.13258004180970195,0.11940855635607248,0.32,166,328,489,650,805,971,1115,1292,1439,1613,1762,1932,2090,2234,2404,2548,2721,2874,3047,3209,3351,3525,3674,3834,3996
13,0.06304334325255678,0.07537150810783189,0.13277840176600425,0.1195198028668089,0.33,166,328,489,651,805,971,1115,1293,1439,1614,1762,1933,2091,2234,2403,2547,2721,2873,3048,3209,3350,3525,3673,3834,3996
14,0.058529104640379304,0.07126823304135754,0.13309788196013797,0.11978470524656816,0.34,166,328,490,651,805,972,1115,1293,1439,1615,1762,1933,2092,2234,2403,2546,2721,2872,3049,3209,3350,3525,3673,3833,3995
15,0.053528521963072895,0.0662786614617249,0.13345088821223097,0.12010604139887442,0.36,166,328,490,652,804,972,1115,1294,1440,1616,1762,1933,2093,2234,2402,2545,2720,2871,3050,3209,3349,3525,3673,3833,3995
16,0.049029012962450325,0.06168589418503301,0.13376772494606654,0.12040107024501699,0.37,167,329,490,653,804,973,1116,1294,1440,1616,1762,1933,2094,2233,2401,2544,2720,2871,3050,3209,3348,3525,3672,3833,3995
17,0.045608464152745776,0.058162572810295576,0.13400807518611665,0.12062690714208031,0.38,167,329,490,653,804,973,1116,1295,1440,1617,1761,1933,2094,2233,2401,2543,2720,2870,3051,3209,3348,3525,3672,3832,3995
18,0.04353213711377102,0.05600974031058259,0.13415377393028555,0.12076468903801614,0.4,167,329,491,654,804,974,1116,1295,1441,1618,1761,1933,2095,2232,2400,2542,2719,2869,3052,3209,3347,3525,3672,3832,3995
19,0.042862280356148696,0.05533369166398572,0.13420073664782117,0.12080792565524436,0.41,167,329,491,654,804,974,1117,1295,1441,1618,1760,1933,2096,2232,2399,2542,2718,2869,3052,3209,3347,3525,3671,3832,3994
20,0.043534667793786785,0.05608801313181311,0.13415360037512758,0.12075968392533529,0.42,167,330,491,655,803,975,1117,1295,1441,1619,1760,1933,2096,2231,2398,2541,2718,2868,3053,3208,3346,3525,3671,3832,3994
21,0.045395951682971725,0.05811073498410568,0.13402299546802887,0.120630226991738,0.44,167,330,491,655,803,975,1118,1295,1441,1620,1759,1933,2097,2231,2398,2540,2717,2868,3054,3208,3345,3525,3671,3831,3994
22,0.0482273092302512,0.06115125420922385,0.13382409326300324,0.12043536696527221,0.45,168,330,491,655,802,976,1119,1295,1442,1620,1759,1933,2097,2230,2397,2539,2717,2868,3054,3207,3345,3525,3670,3831,3994
23,0.05177181877625803,0.06490957389450946,0.13357467598857062,0.12019406161495762,0.46,168,330,492,656,802,976,1119,1295,1442,1621,1758,1932,2098,2230,2396,2538,2716,2868,3055,3207,3344,3524,3670,3831,3994
24,0.05576500431609732,0.06909713416195962,0.13329312368902155,0.1199246313045489,0.48,168,331,492,656,802,977,1120,1295,1442,1622,1757,1932,2098,2229,2395,2538,2715,2867,3055,3206,3344,3524,3670,3830,3993
25,0.05992965553202212,0.07342023829991806,0.1329988476593068,0.11964584542062467,0.49,168,331,492,657,801,977,1121,1295,1442,1622,1757,1933,2098,2229,2394,2537,2715,2867,3055,3206,3343,3524,3669,3830,3993
26,0.06402284143457782,0.0775952272327064,0.13270897897950537,0.119375993059182,0.5,168,331,492,657,801,977,1121,1294,1442,1623,1756,1933,2099,2228,2393,2536,2714,2867,3056,3205,3342,3524,3669,3830,3993
27,0.0678126441687219,0.08139034262288836,0.13244003773364624,0.1191301575737051,0.52,168,331,492,658,800,978,1122,1294,1443,1624,1756,1933,2099,2227,2392,2535,2714,2867,3056,3205,3342,3523,3669,3829,3993
28,0.07113269358922858,0.08458103201467615,0.1322039800430743,0.11892308636671006,0.53,168,331,492,658,800,978,1123,1294,1443,1624,1755,1933,2099,2227,2391,2535,2713,2867,3056,3204,3341,3523,3668,3829,3993
29,0.07386840305401765,0.08705532568643604,0.13200915225046117,0.11876225580792205,0.54,169,332,492,659,799,979,1124,1294,1443,1625,1755,1933,2100,2226,2390,2534,2712,2867,3056,3204,3341,3523,3668,3829,3993
30,0.07597351494799809,0.08879112436155134,0.13185903558778933,0.11864930215712538,0.55,169,332,492,659,799,979,1124,1293,1443,1626,1754,1933,2100,2226,2389,2533,2712,2867,3057,3203,3340,3522,3668,3828,3992
31,0.07747105126193954,0.08979441007173394,0.1317521429439549,0.11858396561408929,0.57,169,332,493,659,798,980,1125,1293,1444,1626,1754,1933,2100,2225,2389,2532,2711,2866,3057,3202,3339,3522,3668,3828,3992
