epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0.022645145748012525,0.02275189599133261,0.0,0.0,0.01,8,15,23,31,38,46,53,61,69,76,84,92,99,107,114,122,130,137,145,152,160,168,175,183,190
1,0.022645145748012525,0.02275189599133261,0.0,0.0,0.02,8,15,23,31,38,46,54,61,69,76,84,92,99,107,114,122,130,137,145,152,160,168,175,183,190
2,0.022645145748012525,0.02275189599133261,0.0,0.0,0.02,8,15,23,31,38,46,54,61,69,76,84,92,99,107,114,122,130,137,145,152,160,167,175,183,190
3,0.022645145748012525,0.02275189599133261,0.0,0.0,0.03,8,15,23,31,38,46,54,61,69,76,84,92,99,107,114,122,130,137,145,152,160,167,175,183,190
4,0.022645145748012525,0.02275189599133261,0.0,0.0,0.04,8,15,23,31,38,46,54,61,69,76,84,92,99,106,114,122,130,137,145,153,160,167,175,183,190
5,0.022645145748012525,0.02275189599133261,0.0,0.0,0.04,8,15,23,31,38,46,54,61,69,76,84,92,99,106,114,122,130,137,145,153,160,167,175,183,190
6,0.022645145748012525,0.02275189599133261,0.0,0.0,0.05,8,15,23,31,38,46,54,61,69,76,84,92,99,106,114,122,130,137,145,153,160,167,175,183,190
7,0.022645145748012525,0.02275189599133261,0.0,0.0,0.05,8,15,23,31,38,46,54,61,69,76,84,92,99,106,114,122,130,137,145,153,160,167,175,183,190
8,0.022645145748012525,0.02275189599133261,-7.1850657992200695e-06,0.0,0.06,8,15,23,31,39,46,54,61,69,76,84,92,99,106,114,122,130,138,145,153,160,167,175,183,190
9,0.022645145748012525,0.02275189599133261,-7.1850657992200695e-06,0.0,0.07,8,15,23,31,39,46,54,61,69,76,84,92,99,106,114,121,130,138,145,153,160,167,175,183,190
10,0.022645145748012525,0.02275189599133261,-2.1555507152992703e-05,0.0,0.07,8,15,23,31,39,46,54,61,69,76,84,92,99,106,114,121,130,138,145,153,160,167,175,183,190
11,0.022645145748012525,0.02275189599133261,-2.874088271198616e-05,-7.567722103640762e-05,0.08,8,15,23,31,39,46,54,61,69,76,84,92,98,106,114,121,130,138,144,153,160,167,175,183,190
12,0.022645145748012525,0.02275189599133261,-2.874088271198616e-05,-0.00015136589702313685,0.09,8,15,23,31,39,46,54,61,69,76,84,92,98,106,114,121,130,138,144,153,160,167,175,183,190
13,0.022645145748012525,0.02275189599133261,-5.748341754840958e-05,-0.00022706603056144026,0.09,8,15,23,31,39,46,54,61,69,76,84,92,98,106,114,121,130,138,144,153,160,167,175,183,190
14,0.021320163815947965,0.01950162513542795,-0.0018811742600630676,-0.0040857490419705655,0.1,8,15,23,31,39,46,54,62,69,76,84,92,98,106,114,121,130,138,144,153,159,167,175,183,190
15,0.022042881233437724,0.02275189599133261,-0.004622334150418128,-0.005019387050512636,0.1,8,15,23,31,39,46,54,62,69,76,84,92,98,106,114,121,130,138,144,153,159,167,175,183,190
16,0.03035413153456998,0.030335861321776816,-0.0068485060681096055,-0.008339304219819876,0.11,8,15,23,31,39,46,54,62,69,76,84,92,98,106,114,121,130,138,144,153,159,167,175,183,191
