epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0.0798698951933502,0.09100758396533044,0.0,0.0,0.01,13,25,37,50,62,74,87,99,112,124,136,149,161,173,186
1,0.0798698951933502,0.09100758396533044,0.0,0.0,0.02,13,25,37,50,62,74,87,99,112,124,136,148,161,173,186
2,0.0798698951933502,0.09100758396533044,0.0,0.0,0.02,13,25,37,50,62,75,87,99,112,124,136,148,161,173,186
3,0.0798698951933502,0.09100758396533044,0.0,0.0,0.03,13,25,37,50,62,75,87,99,112,124,136,148,161,173,186
4,0.0798698951933502,0.09100758396533044,0.0,0.0,0.04,13,25,37,50,62,75,86,99,112,124,136,148,161,173,186
5,0.0798698951933502,0.09100758396533044,0.0,0.0,0.04,13,25,37,50,62,75,86,99,112,124,136,148,161,173,186
6,0.0798698951933502,0.09100758396533044,0.0,0.0,0.05,13,25,37,50,62,75,86,99,112,124,136,148,161,173,186
7,0.0798698951933502,0.09100758396533044,0.0,0.0,0.06,13,25,38,50,62,75,86,99,112,124,137,148,161,173,186
8,0.0798698951933502,0.09100758396533044,0.0,0.0,0.06,13,25,38,50,62,75,86,99,112,124,137,148,161,173,186
9,0.0798698951933502,0.09100758396533044,0.0,0.0,0.07,13,25,38,50,62,75,86,99,112,124,137,148,161,173,186
10,0.0798698951933502,0.09100758396533044,0.0,0.0,0.07,13,25,38,50,62,75,86,99,112,123,137,148,161,173,186
11,0.0798698951933502,0.09100758396533044,0.0,0.0,0.08,13,25,38,50,62,75,86,99,112,123,137,148,161,173,186
12,0.0798698951933502,0.09100758396533044,0.0,0.0,0.09,13,25,38,50,62,75,86,99,112,123,137,148,161,173,186
13,0.0798698951933502,0.09100758396533044,0.0,0.0,0.09,13,25,38,50,62,75,86,99,112,123,137,148,161,173,186
14,0.0798698951933502,0.09100758396533044,0.0,0.0,0.1,13,25,38,50,62,75,86,99,112,123,137,148,161,173,186
15,0.0798698951933502,0.09100758396533044,0.0,0.0,0.1,13,25,38,50,62,75,86,99,112,123,137,148,161,173,186
16,0.0798698951933502,0.09100758396533044,0.0,0.0,0.11,13,25,38,50,62,75,86,98,112,123,137,148,161,173,186
17,0.0798698951933502,0.09100758396533044,0.0,0.0,0.12,13,25,38,50,62,75,86,98,112,123,137,148,161,173,186
18,0.0798698951933502,0.09100758396533044,0.0,0.0,0.12,13,25,38,50,62,75,86,98,112,123,137,148,161,173,186
19,0.0798698951933502,0.09100758396533044,0.0,0.0,0.13,13,25,38,50,62,75,86,98,112,123,137,148,161,173,186
20,0.0798698951933502,0.09100758396533044,0.0,0.0,0.13,13,25,38,50,62,75,86,98,112,123,137,148,161,173,186
21,0.0798698951933502,0.09100758396533044,0.0,0.0,0.14,13,25,38,50,62,75,86,98,112,123,137,148,161,173,186
22,0.0798698951933502,0.09100758396533044,-0.00044546092266584125,-0.0005426517842261891,0.15,13,25,38,50,62,75,86,98,112,123,137,148,161,173,186
23,0.0798698951933502,0.09100758396533044,-0.0012996531010383006,-0.0016478619831514774,0.15,13,25,38,50,62,75,86,98,112,123,137,148,161,173,186
24,0.0798698951933502,0.09100758396533044,-0.0019740471446338947,-0.0025010841915169557,0.16,13,25,38,50,62,75,86,98,112,123,137,148,161,173,186
25,0.0798698951933502,0.09100758396533044,-0.002613057628164661,-0.003082833668170526,0.16,13,25,38,50,62,75,86,98,112,123,137,148,161,173,186
26,0.0798698951933502,0.09100758396533044,-0.0027997333123377377,-0.003373961671069736,0.17,13,25,38,50,62,75,86,98,112,123,137,148,161,173,186
27,0.0798698951933502,0.09100758396533044,-0.0029588081775635544,-0.003519589052989325,0.18,13,26,38,50,62,75,86,98,112,123,137,148,161,173,186
28,0.0798698951933502,0.09100758396533044,-0.0031023646815278028,-0.0036288373334785184,0.18,13,26,38,50,62,75,86,98,112,123,138,148,161,173,185
29,0.0798698951933502,0.09100758396533044,-0.0032563444299456012,-0.003792754361473083,0.19,13,26,38,50,62,75,86,98,112,123,138,148,161,173,185
30,0.0798698951933502,0.09100758396533044,-0.0033947935421059228,-0.003956724941498457,0.2,13,26,38,50,62,75,86,98,112,123,138,148,161,173,185
31,0.0798698951933502,0.09100758396533044,-0.003529818222291148,-0.004138977314721792,0.2,13,26,38,50,62,75,86,98,112,123,138,148,161,173,185
32,0.0798698951933502,0.09100758396533044,-0.0036995161355328765,-0.004339531366926552,0.21,13,26,38,50,62,75,86,98,112,123,138,147,161,173,185
33,0.07974942777978557,0.09100758396533044,-0.003990306164503243,-0.004448958256319635,0.21,13,26,38,50,62,75,86,98,112,122,138,147,161,173,185
34,0.07974942777978557,0.09100758396533044,-0.004097743882290228,-0.004576653101888928,0.22,13,26,38,50,62,75,86,98,112,122,138,147,161,173,185
35,0.07974942777978557,0.09100758396533044,-0.004168804036771778,-0.004686131670958771,0.23,13,26,38,50,62,75,86,98,112,122,138,147,161,173,185
36,0.07974942777978557,0.09100758396533044,-0.004246808467777363,-0.0047773820413512524,0.23,13,26,38,50,62,75,86,98,112,122,138,147,161,173,185
37,0.07974942777978557,0.09100758396533044,-0.004333494272489968,-0.004850394272953418,0.24,13,26,38,50,62,75,86,98,112,122,138,147,161,173,185
38,0.07974942777978557,0.09100758396533044,-0.004402853692022202,-0.004941674485361203,0.24,13,26,38,50,62,75,86,98,112,122,138,147,161,173,185
39,0.0798698951933502,0.09100758396533044,-0.0043268573089725315,-0.00505123263314311,0.25,13,26,38,50,62,75,86,98,112,122,138,147,161,173,185
40,0.0798698951933502,0.09100758396533044,-0.004373679377240869,-0.005069494646919637,0.26,13,26,38,50,62,75,86,98,112,122,138,147,161,173,185
41,0.0798698951933502,0.09100758396533044,-0.004397959205496127,-0.00505123263314311,0.26,13,26,38,50,62,74,86,98,112,122,138,147,161,173,185
42,0.0798698951933502,0.09100758396533044,-0.004392756286334176,-0.0050329712829924045,0.27,13,26,38,50,62,74,86,98,112,122,138,147,161,173,185
43,0.0798698951933502,0.09100758396533044,-0.004363274095900538,-0.0050329712829924045,0.27,13,26,38,50,62,74,86,97,112,122,138,147,161,173,185
44,0.0798698951933502,0.09100758396533044,-0.004356337361449025,-0.0050147105964311045,0.28,13,26,38,50,62,74,86,97,112,122,138,147,162,173,185
45,0.07974942777978557,0.09100758396533044,-0.0044774257534430095,-0.004996450573423905,0.29,13,26,38,50,62,74,86,97,112,122,138,147,162,173,185
46,0.07974942777978557,0.09100758396533044,-0.004428865944239746,-0.004978191213933725,0.29,13,26,38,50,62,74,86,97,112,122,138,147,162,173,185
47,0.07974942777978557,0.09100758396533044,-0.004345631479395262,-0.004868648988834101,0.3,13,26,39,50,62,74,86,97,112,122,138,147,162,173,185
48,0.0798698951933502,0.09100758396533044,-0.004153480260872255,-0.004813886830840719,0.31,13,26,39,50,62,74,86,98,112,121,139,147,162,173,185
49,0.0798698951933502,0.09100758396533044,-0.00404255036124801,-0.00470438041908694,0.31,13,26,39,50,62,74,86,98,112,121,139,147,162,173,185
50,0.0798698951933502,0.09100758396533044,-0.003938575837274527,-0.004613143307115264,0.32,13,26,39,50,62,74,86,98,112,121,139,147,162,173,185
