epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.11716524216524217,0.11858974358974358,0.0,0.0,0.01,12,24,35,47,59,71,83,94,106,118
1,0.11716524216524217,0.11858974358974358,0.0,0.0,0.01,12,24,35,47,59,71,83,94,106,118
2,0.11716524216524217,0.11858974358974358,0.0,0.0,0.02,12,24,35,47,59,71,82,94,106,118
3,0.11716524216524217,0.11858974358974358,0.0,0.0,0.02,12,24,35,47,59,71,82,94,106,118
4,0.11716524216524217,0.11858974358974358,0.0,0.0,0.03,12,24,35,47,59,71,82,94,106,118
5,0.11716524216524217,0.11858974358974358,0.0,0.0,0.03,12,24,35,47,59,71,82,95,106,118
6,0.11716524216524217,0.11858974358974358,0.0,0.0,0.04,12,24,35,47,59,71,82,95,106,118
7,0.11716524216524217,0.11858974358974358,0.0,0.0,0.04,12,24,35,47,59,71,82,95,106,118
8,0.11716524216524217,0.11858974358974358,0.0,0.0,0.05,12,24,35,47,59,71,82,95,106,118
9,0.11716524216524217,0.11858974358974358,0.0,0.0,0.05,12,24,35,47,59,70,82,95,106,118
10,0.11716524216524217,0.11858974358974358,0.0,0.0,0.06,12,24,35,47,59,70,82,95,106,118
11,0.11716524216524217,0.11858974358974358,0.0,0.0,0.06,12,24,35,47,59,70,82,95,106,118
12,0.11716524216524217,0.11858974358974358,0.0,0.0,0.07,12,24,35,47,59,70,82,95,106,118
13,0.11716524216524217,0.11858974358974358,0.0,0.0,0.07,12,24,35,47,59,70,82,95,106,118
14,0.11716524216524217,0.11858974358974358,-5.186281609925736e-05,0.0,0.08,12,24,35,47,60,70,82,95,106,118
15,0.1485042735042735,0.17147435897435898,0.012346826795491483,0.03334951369037986,0.08,12,24,35,47,60,70,82,95,106,118
16,0.1996082621082621,0.20352564102564102,0.0442660247231641,0.050434782608695716,0.09,12,24,35,47,60,70,82,95,106,118
17,0.24002849002849003,0.23557692307692307,0.07156841418316295,0.06682885842916442,0.09,12,24,35,47,60,70,82,95,106,118
18,0.27724358974358976,0.266025641025641,0.09692940824117213,0.08348886879221107,0.1,12,24,35,47,60,70,82,95,106,118
19,0.306980056980057,0.2916666666666667,0.11670222358149263,0.09577076912989313,0.1,12,24,35,47,60,70,82,95,106,118
20,0.32336182336182334,0.3108974358974359,0.12522848142733756,0.10373577040243698,0.11,12,24,35,47,60,70,82,95,106,118
21,0.3336894586894587,0.3189102564102564,0.12909520699406885,0.1062280938258291,0.11,12,24,35,47,60,70,82,95,106,118
22,0.3400997150997151,0.32532051282051283,0.1287143170037235,0.1046216768916155,0.12,12,24,35,47,60,70,82,95,106,118
23,0.34597578347578345,0.3333333333333333,0.12989796966879252,0.10615263832073063,0.12,12,24,35,47,60,70,82,95,106,118
24,0.349002849002849,0.33653846153846156,0.12615412063306797,0.10223939726712916,0.13,12,24,35,47,60,70,82,95,106,118
25,0.3547008547008547,0.34294871794871795,0.1265018759769373,0.10419540753086498,0.13,12,24,35,47,60,70,82,95,106,118
26,0.3605769230769231,0.3525641025641026,0.1285691964347444,0.11214420049447427,0.14,12,24,35,47,60,70,82,95,106,118
27,0.36645299145299143,0.3557692307692308,0.13028235957755752,0.11134413592274284,0.14,12,24,36,46,60,70,82,95,106,118
28,0.37286324786324787,0.36538461538461536,0.1329240829346653,0.11734070597312418,0.15,12,24,36,46,60,70,82,95,106,118
29,0.3782051282051282,0.3701923076923077,0.1348882906715264,0.11985241865439689,0.15,12,24,36,46,60,70,82,95,106,118
30,0.38247863247863245,0.3766025641025641,0.1351043330472299,0.12201050392812196,0.16,12,24,36,46,60,71,82,95,105,118
31,0.3839031339031339,0.3814102564102564,0.13001446859737698,0.11979711013499195,0.16,12,24,36,46,60,71,82,95,105,118
32,0.38301282051282054,0.3766025641025641,0.12325908304498268,0.10917338265733034,0.17,12,24,36,46,60,71,82,95,105,118
33,0.3837250712250712,0.38461538461538464,0.11951666628313184,0.11251361141358696,0.17,12,24,36,46,60,71,82,95,105,118
34,0.38621794871794873,0.38461538461538464,0.11962303560536625,0.11032562284186687,0.18,12,24,36,46,60,71,82,95,105,118
35,0.38764245014245013,0.38621794871794873,0.11790097834887914,0.109899441340782,0.18,12,24,36,46,60,71,82,95,105,118
36,0.38853276353276356,0.38782051282051283,0.11486363681425993,0.1100225511133679,0.19,12,24,36,46,60,71,82,95,105,118
37,0.38817663817663817,0.3894230769230769,0.11004243959897753,0.10737322690375539,0.19,12,24,36,46,60,71,82,95,105,118
38,0.38764245014245013,0.38621794871794873,0.10563210180964633,0.10044489946476565,0.2,12,24,36,46,60,71,82,95,105,118
39,0.38817663817663817,0.3894230769230769,0.1013646778309707,0.10008176119674161,0.21,12,24,36,46,60,71,82,95,105,118
40,0.38977920227920226,0.3894230769230769,0.09899249870134541,0.09496364536145263,0.21,12,24,36,46,60,71,82,95,105,118
41,0.39138176638176636,0.3942307692307692,0.09591932046888352,0.09407526328322435,0.22,12,24,36,46,60,71,82,95,105,118
42,0.39013532763532766,0.3894230769230769,0.08811407989256181,0.0816156247102815,0.22,12,24,36,46,60,71,82,95,105,118
43,0.39138176638176636,0.38301282051282054,0.08534428586050169,0.06356705177978395,0.23,12,24,36,46,60,71,82,95,105,118
44,0.3894230769230769,0.38301282051282054,0.07700253721368155,0.052531945101750965,0.23,12,24,36,46,60,71,82,95,105,118
45,0.3890669515669516,0.38461538461538464,0.07274197211945288,0.047510017172295416,0.24,12,24,36,46,60,71,82,95,105,119
46,0.38853276353276356,0.38621794871794873,0.06765516822613893,0.045581974872806574,0.24,12,24,36,46,60,71,82,95,105,119
47,0.38817663817663817,0.38461538461538464,0.06345086311764492,0.039907683431099295,0.25,12,24,36,46,60,71,82,95,105,119
48,0.38764245014245013,0.3926282051282051,0.05946918858901562,0.04797636204078681,0.25,12,24,36,46,60,71,82,96,105,119
49,0.3872863247863248,0.391025641025641,0.05546838067300919,0.04162187068038703,0.26,12,24,36,46,60,71,82,96,105,119
50,0.38782051282051283,0.3926282051282051,0.05362010086192592,0.043502175917687236,0.26,12,24,36,46,60,71,82,96,105,119
51,0.38764245014245013,0.3942307692307692,0.05025264406848995,0.04410060221921419,0.27,12,24,36,46,60,71,82,96,105,119
52,0.38799857549857547,0.3942307692307692,0.04796563990159153,0.04216750048729778,0.27,12,24,36,46,60,71,82,96,105,119
