dataset,metric1,metric2
lucas_full,0.14,0.13
indian_pines,0.74,0.7
ghsi,0.72,0.61
lucas_skipped,0.6,0.09
lucas_downsampled,0.6,0.09
lucas_min,0.0,0.15
