epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0.02361161305866763,0.018418201516793065,0.0,0.0,0.01,8,15,23,31,38,46,53,61,69,76,84,92,99,107,114,122,130,137,145,152,160,168,175,183,190
1,0.02361161305866763,0.018418201516793065,0.0,0.0,0.02,8,15,23,31,38,46,53,61,69,76,84,92,99,107,114,122,130,137,145,152,160,168,175,183,190
2,0.02361161305866763,0.018418201516793065,0.0,0.0,0.03,8,15,23,31,38,46,53,61,69,76,84,92,99,107,114,122,130,137,145,152,160,167,175,183,190
3,0.02361161305866763,0.018418201516793065,0.0,0.0,0.04,8,15,23,31,38,46,53,61,68,76,84,92,99,107,114,122,130,137,145,152,160,167,175,183,190
4,0.02361161305866763,0.018418201516793065,0.0,0.0,0.05,8,15,23,31,38,46,53,61,68,76,84,92,99,107,114,122,130,137,145,153,160,167,175,183,190
5,0.02361161305866763,0.018418201516793065,0.0,0.0,0.06,8,16,23,30,38,46,53,61,68,76,84,92,99,107,114,122,130,137,145,153,160,167,175,183,190
6,0.02361161305866763,0.018418201516793065,0.0,0.0,0.06,8,16,23,30,38,46,53,61,68,76,84,92,99,107,115,122,130,137,145,153,160,167,175,183,190
7,0.02361161305866763,0.018418201516793065,0.0,0.0,0.07,8,16,23,30,38,46,53,61,68,76,84,92,99,107,115,122,130,137,145,153,160,167,175,183,190
8,0.02361161305866763,0.018418201516793065,0.0,0.0,0.08,8,16,23,30,38,46,53,61,68,76,84,92,99,107,115,122,130,137,145,153,160,167,175,183,190
9,0.02361161305866763,0.018418201516793065,0.0,0.0,0.09,8,16,23,30,39,45,53,61,68,76,83,92,99,107,115,121,130,137,145,153,160,167,175,183,190
10,0.02361161305866763,0.018418201516793065,0.0,0.0,0.09,8,16,23,30,39,45,53,61,68,76,83,92,99,107,115,121,130,137,145,153,160,167,175,183,190
11,0.02361161305866763,0.018418201516793065,0.0,0.0,0.1,8,16,23,30,39,45,53,61,68,76,83,92,99,107,115,121,130,137,145,153,160,167,175,183,190
12,0.02361161305866763,0.018418201516793065,0.0,0.0,0.11,8,16,23,30,39,45,53,61,68,76,83,92,98,107,115,121,130,137,145,153,160,167,175,183,190
13,0.02361161305866763,0.018418201516793065,0.0,0.0,0.11,8,16,23,30,39,45,53,60,68,76,83,92,98,107,115,121,130,137,145,153,160,167,175,183,190
14,0.02361161305866763,0.018418201516793065,0.0,0.0,0.12,8,16,23,30,39,45,53,60,68,76,83,92,98,107,115,121,130,137,145,153,160,167,175,183,190
15,0.02361161305866763,0.018418201516793065,0.0,0.0,0.13,8,16,23,30,39,45,53,60,68,76,83,92,98,107,115,121,130,137,145,153,160,167,175,183,190
16,0.02361161305866763,0.018418201516793065,0.0,0.0,0.14,8,16,23,30,39,45,53,60,68,76,83,92,98,108,115,121,130,137,145,153,160,167,175,183,190
17,0.023732080472232263,0.018418201516793065,0.00011119404133108635,0.0,0.14,8,16,23,30,39,45,53,60,68,75,83,92,98,108,115,121,130,137,145,153,160,167,175,183,190
18,0.04878930249367546,0.03791982665222102,0.023250879648288203,0.017753266270232104,0.15,8,16,23,30,39,45,53,60,68,75,83,92,98,108,115,121,130,137,145,153,160,167,175,183,190
19,0.11673292374412722,0.11484290357529794,0.0848552570435197,0.08621391647015775,0.15,8,16,23,30,39,45,53,60,68,75,83,92,98,108,115,121,130,137,145,153,160,167,175,183,190
20,0.13974219973497168,0.14084507042253522,0.10489846886182874,0.10851994670161436,0.16,8,16,23,30,39,45,53,60,68,75,83,92,98,108,114,121,130,137,145,153,160,167,175,182,190
21,0.1428743524876521,0.1419284940411701,0.10729530343005522,0.109318686353014,0.17,8,16,23,30,39,45,53,60,68,75,83,92,98,108,114,121,130,137,145,153,160,167,175,182,190
22,0.14468136369112156,0.14301191765980498,0.10851437137527808,0.10968394147588278,0.17,8,16,23,30,39,45,53,60,68,75,83,92,98,108,114,121,130,137,145,153,160,167,175,182,190
23,0.1452837007589447,0.14409534127843987,0.10811337559738343,0.10994118925147522,0.18,8,16,23,30,39,45,53,60,68,75,83,92,98,108,114,121,130,137,145,153,160,167,175,182,190
24,0.14552463558607398,0.14409534127843987,0.10667865469391269,0.10841755946776743,0.19,8,16,23,30,39,45,53,60,68,75,83,92,98,108,114,121,130,137,145,153,160,167,175,182,190
25,0.14588603782676787,0.14409534127843987,0.10518622198095262,0.10623187446527371,0.19,8,16,23,30,39,45,53,60,68,75,83,92,98,108,114,121,130,138,145,153,160,167,175,182,190
26,0.14600650524033248,0.14517876489707476,0.10312083701503061,0.10461948169149848,0.2,8,16,23,30,39,45,53,60,68,75,83,92,98,108,114,121,130,138,145,153,160,167,175,182,190
