algorithm,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
fsdr,21782,4200,28.15,5,5,0.85,0.82,0.81,0.05,0.06,0.06,412;1111;2023;2447;3461
fsdr,21782,4200,49.24,10,9,0.85,0.85,0.84,0.05,0.05,0.06,416;776;1110;1919;2020;2138;2985;3435;3806
fsdr,21782,4200,85.4,20,18,0.85,0.84,0.83,0.05,0.05,0.06,422;427;453;460;1123;1283;1401;1822;1872;2020;2137;2140;2275;2979;2984;2996;3409;3805
mi,21782,4200,383.94,5,5,0.85,0.55,0.5,0.05,0.09,0.1,418;417;437;438;439
mi,21782,4200,377.22,10,10,0.85,0.56,0.52,0.05,0.09,0.1,418;417;437;438;439;419;436;416;379;415
mi,21782,4200,373.79,20,20,0.85,0.69,0.65,0.05,0.08,0.08,418;417;437;438;439;419;436;416;379;415;450;396;435;420;449;413;414;371;457;421
lasso,21782,4200,350.45,5,5,0.85,0.58,0.53,0.05,0.09,0.1,403;404;406;3818;3819
lasso,21782,4200,356.18,10,10,0.85,0.57,0.53,0.05,0.09,0.1,403;404;406;3818;3819;407;409;405;410;412
lasso,21782,4200,357.02,20,20,0.85,0.8,0.78,0.05,0.06,0.07,403;404;406;3818;3819;407;409;405;410;412;408;402;413;414;411;3820;1419;1418;1415;1417
fsdr,247,2151,24.22,5,5,0.49,0.51,0.5,0.15,0.13,0.15,352;718;1042;1402;1811
fsdr,247,2151,39.91,10,10,0.49,0.57,0.44,0.15,0.12,0.16,282;424;594;909;978;1146;1356;1509;1739;1920
fsdr,247,2151,73.49,20,20,0.49,0.61,0.51,0.15,0.11,0.15,216;226;304;398;617;626;735;778;959;1047;1156;1180;1265;1369;1488;1586;1692;1810;1921;2020
mi,247,2151,3.05,5,5,0.49,0.24,0.17,0.15,0.16,0.2,1107;1112;1106;1108;1105
mi,247,2151,3.05,10,10,0.49,0.25,0.18,0.15,0.16,0.2,1107;1112;1106;1108;1105;1091;1109;1111;1110;1097
mi,247,2151,2.98,20,20,0.49,0.25,0.18,0.15,0.16,0.2,1107;1112;1106;1108;1105;1091;1109;1111;1110;1097;1098;1094;1089;1090;1093;1113;1096;1100;1114;1101
lasso,247,2151,0.14,5,5,0.49,0.52,0.5,0.15,0.13,0.15,1914;1913;279;1030;2147
lasso,247,2151,0.17,10,10,0.49,0.57,0.39,0.15,0.12,0.17,1914;1913;279;1030;2147;1915;1031;282;173;1032
lasso,247,2151,0.16,20,20,0.49,0.56,0.47,0.15,0.12,0.16,1914;1913;279;1030;2147;1915;1031;282;173;1032;1034;288;2;1033;291;292;712;714;713;710
fsdr,218,4200,23.04,5,5,0.75,0.92,0.42,0.02,0.05,0.03,429;1259;2025;2658;3464
fsdr,218,4200,38.09,10,9,0.75,0.94,0.61,0.02,0.04,0.03,565;586;1114;1741;2020;2596;3014;3406;3820
fsdr,218,4200,68.87,20,18,0.75,0.93,0.72,0.02,0.04,0.02,527;571;572;578;1093;1103;1227;1658;1868;2022;2127;2435;2550;2721;3011;3406;3456;3818
mi,218,4200,5.15,5,5,0.75,0.6,-0.02,0.02,0.11,0.04,340;339;444;338;435
mi,218,4200,5.28,10,10,0.75,0.66,-0.09,0.02,0.1,0.04,340;339;444;338;435;436;440;441;434;437
mi,218,4200,5.22,20,20,0.75,0.66,0.3,0.02,0.1,0.04,340;339;444;338;435;436;440;441;434;437;442;439;443;438;445;433;428;446;432;342
lasso,218,4200,0.23,5,5,0.75,0.82,0.36,0.02,0.07,0.03,2014;2015;2013;3806;3807
lasso,218,4200,0.24,10,10,0.75,0.83,0.44,0.02,0.07,0.03,2014;2015;2013;3806;3807;2016;3811;2018;2017;3809
lasso,218,4200,0.26,20,20,0.75,0.93,0.66,0.02,0.05,0.02,2014;2015;2013;3806;3807;2016;3811;2018;2017;3809;3810;2019;3808;3814;3805;3812;3813;416;414;3817
