epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0,0,0.26284,0.30429,2.15,164,323,484,644,804,962,1123,1281,1441,1603,1763,1920,2082,2240,2402,2559,2721,2879,3039,3199,3359,3518,3678,3838,3998
1,0,0,0.25812,0.29974,2.2,164,323,484,644,804,962,1123,1282,1440,1604,1764,1919,2083,2239,2403,2560,2721,2878,3038,3198,3358,3518,3678,3838,3998
2,0,0,0.25347,0.29528,2.25,164,323,485,645,805,962,1122,1282,1439,1605,1764,1918,2083,2239,2404,2560,2721,2877,3037,3197,3358,3517,3677,3837,3998
3,0,0,0.24887,0.2909,2.31,165,323,485,645,806,962,1122,1283,1439,1606,1765,1917,2084,2240,2405,2560,2721,2876,3037,3196,3358,3517,3677,3837,3997
4,0,0,0.24431,0.28656,2.36,165,322,486,646,806,961,1122,1283,1438,1607,1765,1917,2084,2240,2406,2560,2721,2876,3036,3196,3358,3516,3677,3837,3997
5,0,0,0.23974,0.28222,2.41,165,322,486,646,807,961,1122,1283,1437,1608,1766,1916,2085,2240,2407,2560,2721,2875,3035,3195,3358,3516,3676,3836,3997
6,0,0,0.23518,0.27788,2.46,165,322,486,647,807,960,1121,1284,1436,1609,1766,1915,2085,2240,2408,2560,2721,2874,3034,3194,3358,3515,3676,3836,3997
7,0,0,0.23057,0.27349,2.51,165,321,487,648,808,960,1121,1284,1435,1609,1767,1915,2086,2240,2409,2560,2721,2873,3033,3193,3358,3515,3676,3836,3997
8,0,0,0.22588,0.26901,2.57,165,321,487,648,809,960,1121,1285,1435,1610,1768,1914,2086,2240,2410,2560,2721,2872,3033,3193,3358,3514,3676,3836,3997
9,0,0,0.22104,0.26442,2.62,166,321,488,649,809,960,1120,1286,1434,1611,1768,1914,2087,2239,2411,2560,2721,2872,3032,3192,3358,3514,3676,3835,3996
10,0,0,0.21606,0.25976,2.67,166,321,488,649,810,960,1120,1286,1433,1612,1769,1913,2088,2239,2412,2560,2721,2871,3031,3191,3358,3513,3676,3835,3996
11,0,0,0.21091,0.2549,2.72,166,321,489,650,810,961,1119,1287,1432,1613,1770,1913,2088,2239,2412,2560,2721,2870,3030,3190,3358,3512,3677,3835,3996
12,0,0,0.2056,0.25001,2.78,166,320,489,650,811,961,1119,1288,1431,1614,1770,1912,2088,2240,2413,2560,2721,2870,3029,3190,3358,3512,3677,3834,3996
13,0,0,0.2002,0.24504,2.83,166,320,490,651,812,960,1119,1289,1431,1615,1771,1912,2089,2240,2414,2560,2721,2869,3028,3189,3358,3511,3677,3834,3996
14,0,0,0.19476,0.23998,2.89,166,320,490,651,812,960,1119,1290,1430,1616,1771,1911,2089,2240,2415,2560,2721,2869,3028,3188,3357,3511,3678,3834,3995
15,0,0,0.18936,0.23499,2.94,166,320,490,652,813,960,1119,1291,1429,1617,1772,1910,2090,2240,2416,2560,2721,2868,3027,3187,3357,3511,3678,3834,3995
16,0,0,0.18407,0.23002,2.99,167,320,491,652,813,960,1119,1291,1428,1617,1772,1909,2090,2240,2417,2560,2721,2868,3026,3186,3356,3510,3678,3834,3995
17,0,0,0.17896,0.2252,3.05,167,320,491,653,814,960,1119,1292,1428,1618,1773,1909,2090,2239,2418,2560,2721,2867,3025,3186,3356,3510,3679,3834,3995
18,0,0,0.17408,0.22057,3.1,167,321,492,653,815,960,1120,1293,1427,1619,1773,1908,2090,2239,2419,2560,2721,2867,3024,3185,3356,3509,3679,3834,3995
19,0,0,0.16949,0.21621,3.16,167,321,492,654,815,961,1120,1294,1426,1620,1773,1907,2090,2240,2420,2560,2721,2867,3023,3184,3355,3509,3679,3834,3994
20,0,0,0.16522,0.21215,3.21,167,321,493,654,816,961,1121,1295,1426,1620,1774,1907,2090,2240,2421,2560,2721,2866,3022,3183,3354,3508,3680,3834,3994
21,0,0,0.16131,0.20839,3.26,167,321,493,655,816,961,1122,1296,1425,1621,1774,1906,2089,2240,2422,2560,2721,2866,3021,3182,3354,3508,3680,3834,3994
22,0,0,0.15784,0.20489,3.31,168,321,494,655,817,960,1122,1297,1425,1622,1774,1905,2089,2240,2422,2560,2721,2866,3020,3182,3353,3508,3681,3834,3994
23,0,0,0.15481,0.20175,3.36,168,322,494,655,818,960,1123,1298,1424,1623,1775,1905,2089,2240,2423,2560,2721,2865,3020,3181,3352,3507,3681,3834,3993
24,0,0,0.15219,0.19907,3.42,168,322,494,656,818,960,1124,1299,1424,1623,1775,1904,2088,2240,2424,2560,2721,2865,3019,3180,3352,3507,3681,3834,3993
25,0,0,0.15003,0.19682,3.47,168,322,495,656,819,960,1125,1300,1423,1624,1775,1903,2088,2240,2425,2560,2721,2865,3018,3180,3351,3507,3681,3834,3993
26,0,0,0.14835,0.19496,3.52,168,322,495,657,820,960,1125,1301,1423,1625,1775,1903,2088,2240,2425,2559,2721,2864,3017,3179,3350,3506,3681,3835,3993
27,0,0,0.14711,0.19351,3.57,168,323,496,657,820,960,1126,1302,1423,1626,1775,1902,2087,2240,2426,2559,2720,2864,3016,3178,3350,3506,3682,3835,3993
28,0,0,0.14628,0.19243,3.63,169,323,496,658,821,961,1127,1304,1422,1626,1776,1902,2087,2239,2426,2559,2720,2864,3015,3178,3349,3506,3682,3835,3992
29,0,0,0.14581,0.19168,3.68,169,323,497,658,822,961,1128,1305,1422,1627,1776,1902,2086,2239,2427,2559,2720,2863,3014,3177,3348,3505,3681,3835,3992
30,0,0,0.14564,0.19122,3.73,169,324,497,658,822,961,1129,1306,1422,1628,1776,1901,2086,2239,2427,2559,2720,2863,3013,3177,3347,3505,3681,3835,3992
31,0,0,0.14569,0.19097,3.78,169,324,497,659,823,961,1130,1307,1422,1628,1776,1901,2085,2239,2428,2559,2719,2863,3013,3176,3347,3505,3681,3836,3992
32,0,0,0.14587,0.19086,3.83,169,324,498,659,824,961,1130,1308,1421,1629,1776,1901,2084,2239,2428,2558,2719,2862,3012,3176,3346,3505,3681,3836,3991
33,0,0,0.14611,0.19084,3.89,169,325,498,660,825,962,1131,1309,1421,1630,1776,1901,2083,2239,2428,2558,2718,2862,3011,3176,3345,3505,3680,3836,3991
34,0,0,0.14635,0.19086,3.94,170,325,499,660,825,962,1132,1310,1421,1631,1776,1901,2082,2239,2428,2557,2718,2862,3010,3175,3344,3505,3680,3836,3991
35,0,0,0.14654,0.19087,3.99,170,325,499,660,826,963,1133,1311,1421,1631,1776,1901,2081,2239,2429,2556,2717,2861,3010,3175,3343,3504,3680,3836,3990
36,0,0,0.14664,0.19084,4.04,170,326,499,661,827,964,1134,1312,1421,1632,1776,1902,2080,2239,2429,2555,2717,2861,3009,3175,3343,3504,3679,3837,3990
37,0,0,0.14664,0.19075,4.09,170,326,500,661,828,964,1135,1312,1421,1633,1777,1902,2079,2239,2429,2554,2716,2861,3008,3175,3342,3504,3679,3837,3990
38,0,0,0.14653,0.1906,4.14,170,326,500,662,828,965,1135,1313,1421,1634,1777,1902,2078,2239,2429,2553,2716,2861,3008,3175,3341,3504,3678,3837,3990
39,0,0,0.1463,0.19039,4.2,170,327,501,662,829,966,1136,1314,1421,1635,1777,1902,2076,2238,2429,2552,2715,2860,3007,3175,3340,3504,3677,3837,3989
40,0,0,0.14598,0.19013,4.25,171,327,501,662,830,966,1137,1315,1421,1635,1777,1903,2075,2238,2429,2551,2714,2860,3007,3175,3339,3504,3677,3837,3989
41,0,0,0.14558,0.18982,4.3,171,327,501,663,831,967,1138,1316,1421,1636,1777,1903,2074,2238,2429,2550,2714,2860,3006,3175,3339,3504,3676,3838,3989
42,0,0,0.14512,0.18949,4.35,171,328,502,663,831,968,1139,1317,1421,1637,1777,1903,2073,2238,2429,2548,2713,2860,3006,3174,3338,3504,3676,3838,3989
43,0,0,0.14462,0.18915,4.41,171,328,502,663,832,969,1139,1317,1421,1638,1778,1904,2071,2238,2428,2547,2712,2859,3005,3174,3337,3504,3675,3838,3988
