epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0.01951,0.02073,-0.00267,-0.00248,0.08,8,15,23,31,38,46,53,61,69,76,84,92,99,107,114,122,130,137,145,152,160,168,175,183,190
1,0.01884,0.01829,-0.02841,-0.02753,0.12,8,15,23,31,38,46,54,61,69,76,84,92,99,107,114,122,130,137,145,152,160,168,175,183,190
2,0.0393,0.03293,-0.05339,-0.04519,0.15,8,15,23,31,38,46,54,61,69,76,84,92,99,107,114,122,130,137,145,152,160,168,175,183,190
3,0.0889,0.07195,-0.0253,-0.02234,0.18,8,15,23,31,38,46,54,61,69,76,84,92,99,107,114,122,130,137,145,152,160,168,175,183,190
4,0.11668,0.09756,-0.00351,-0.00284,0.21,8,15,23,31,38,46,54,61,69,76,84,92,99,106,114,122,130,137,145,152,160,168,175,183,190
5,0.12156,0.10244,2e-05,0.00022,0.25,8,15,23,31,38,46,54,61,69,76,84,92,99,106,114,122,130,137,145,152,160,168,175,183,190
6,0.12305,0.10366,0.00121,0.00146,0.28,8,16,23,31,38,46,54,61,68,76,84,92,99,106,114,122,130,137,145,152,160,168,175,183,190
7,0.12305,0.10366,0.00161,0.00146,0.31,8,16,23,31,38,46,54,61,68,76,83,92,99,106,114,122,130,137,145,152,160,168,175,183,190
8,0.12319,0.10366,0.00243,0.00214,0.34,8,16,23,31,39,46,54,61,68,76,83,92,99,106,114,122,130,137,145,152,160,168,175,183,190
9,0.12319,0.10366,0.00386,0.00371,0.38,8,16,23,31,39,46,54,61,68,76,83,92,99,106,114,122,130,137,145,152,160,168,175,183,190
10,0.12319,0.10366,0.00722,0.00539,0.41,8,16,23,31,39,46,54,61,68,76,83,92,99,106,114,122,130,137,145,152,160,168,175,183,190
11,0.12319,0.10366,0.01248,0.00939,0.44,8,16,23,31,39,46,54,61,68,76,83,92,100,106,114,122,130,137,145,152,160,168,175,183,190
12,0.12319,0.10366,0.01925,0.0138,0.47,8,16,23,31,39,46,54,62,68,76,83,92,100,106,114,122,130,137,145,152,160,168,175,183,190
13,0.12319,0.10366,0.02529,0.01871,0.5,8,16,23,31,39,46,54,62,68,76,83,92,100,106,114,123,130,137,145,152,160,168,175,183,190
14,0.12319,0.10366,0.03043,0.02293,0.54,8,16,23,31,39,46,54,62,68,76,83,92,100,106,114,123,130,136,145,152,159,168,175,183,190
