epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
46,0.26724,0.23902,0.14967,0.12657,1.33,10,19,28,39,46,58,64,76,85,93,103,113,125,134,142,149,160,170,180,188
47,0.26724,0.23902,0.14965,0.12657,1.36,10,19,28,39,46,58,64,76,85,93,103,113,125,134,142,149,160,171,180,188
48,0.26711,0.23902,0.14943,0.12653,1.38,10,19,28,39,46,58,64,76,85,93,103,113,125,135,142,149,161,171,180,188
49,0.26711,0.23902,0.1494,0.12641,1.41,10,19,28,39,46,58,64,76,85,93,103,113,125,135,142,149,161,171,180,188
50,0.26711,0.23902,0.14936,0.12637,1.44,10,19,28,39,46,58,64,76,85,93,103,112,125,135,142,149,161,171,180,188
51,0.26711,0.2378,0.14932,0.12486,1.47,10,20,28,39,46,57,64,76,85,93,103,112,125,135,142,149,161,171,180,188
52,0.26711,0.23659,0.14928,0.12334,1.49,10,20,28,39,46,57,64,76,85,93,103,112,125,135,142,149,161,171,180,188
53,0.26711,0.23659,0.14922,0.12322,1.52,10,20,28,39,46,57,64,76,85,93,103,112,125,135,142,149,161,171,180,188
54,0.26711,0.23537,0.14916,0.1217,1.55,10,20,28,39,46,57,64,76,85,93,103,112,125,135,142,149,161,171,180,188
55,0.26711,0.23537,0.14912,0.12167,1.58,10,20,28,39,46,57,64,76,85,93,103,112,126,135,142,149,161,171,180,188
56,0.26711,0.23537,0.14908,0.12163,1.6,10,20,28,39,46,57,64,76,85,93,103,112,126,135,142,149,161,171,180,188
57,0.26711,0.23537,0.14904,0.12155,1.63,10,20,28,39,46,57,64,77,85,93,103,112,126,135,142,149,161,171,180,188
58,0.26711,0.23537,0.14902,0.12143,1.66,10,20,28,39,46,57,64,77,85,93,103,112,126,135,142,149,161,171,180,188
59,0.26711,0.23537,0.14899,0.12143,1.69,10,20,28,39,45,57,64,77,85,93,103,112,126,135,142,149,161,171,180,188
60,0.26711,0.23537,0.14898,0.12135,1.72,10,20,28,39,45,57,64,77,85,92,103,112,126,135,142,149,161,171,180,188
61,0.26711,0.23537,0.14897,0.12131,1.74,10,20,28,39,45,57,64,77,85,92,103,112,126,135,142,149,161,171,180,188
62,0.26711,0.23537,0.14896,0.12131,1.77,10,20,28,39,45,57,64,77,85,92,103,112,126,135,142,149,161,171,180,188
63,0.26711,0.23537,0.14896,0.12128,1.79,10,20,28,39,45,57,64,77,85,92,103,113,126,135,142,149,161,171,180,188
64,0.26711,0.23537,0.14896,0.12128,1.82,10,20,28,39,45,57,64,77,85,92,103,113,126,135,142,149,161,171,180,188
65,0.26711,0.23537,0.14897,0.12131,1.85,10,20,28,39,45,57,64,77,85,92,103,113,126,134,142,149,161,171,180,188
66,0.26711,0.23537,0.14898,0.12131,1.87,10,20,28,39,45,57,64,77,85,92,103,113,126,134,142,149,161,171,180,188
67,0.26711,0.23537,0.14899,0.12135,1.9,10,20,28,39,45,57,64,77,86,92,103,113,126,134,142,149,161,171,180,188
68,0.26711,0.23537,0.14901,0.12143,1.93,10,20,28,39,45,57,64,77,86,92,103,113,126,134,142,149,161,171,180,188
69,0.26711,0.23537,0.14905,0.12155,1.96,10,20,28,40,45,57,64,77,86,92,103,113,126,134,142,149,161,171,180,188
70,0.26711,0.23659,0.14909,0.12307,1.98,10,20,28,40,45,57,64,78,86,92,103,113,126,134,142,149,161,171,180,188
71,0.26711,0.23659,0.14914,0.12314,2.01,10,20,28,40,45,57,64,78,86,92,103,112,126,134,142,149,161,171,180,188
72,0.26711,0.2378,0.14922,0.12474,2.04,10,20,28,40,46,57,64,78,86,92,103,112,126,134,142,149,161,171,180,188
73,0.26711,0.2378,0.14886,0.12462,2.07,10,20,28,40,46,57,64,78,86,92,103,112,126,134,142,149,161,171,180,188
74,0.26697,0.2378,0.14753,0.12329,2.09,10,20,28,40,46,57,64,78,86,92,103,112,126,134,142,149,160,171,180,188
75,0.26711,0.2378,0.14568,0.12228,2.12,10,20,28,40,46,57,64,78,86,92,103,112,126,134,142,149,160,171,180,188
76,0.26738,0.2378,0.14459,0.12093,2.15,10,20,28,40,46,57,64,78,86,92,103,112,127,134,142,149,160,171,180,188
77,0.26752,0.2378,0.14358,0.11992,2.18,10,20,28,40,46,57,64,78,86,92,103,112,127,134,142,149,160,171,180,188
78,0.26752,0.2378,0.14255,0.11911,2.2,10,20,28,40,46,57,64,78,86,92,103,112,127,134,142,149,160,171,180,188
79,0.26806,0.23902,0.14206,0.11975,2.23,10,20,28,40,46,57,64,78,86,92,103,112,127,134,142,149,160,171,180,188
80,0.26833,0.23902,0.13991,0.11725,2.25,10,20,28,40,46,57,64,78,86,92,103,112,127,135,142,149,160,171,180,188
81,0.26914,0.24024,0.13889,0.11625,2.28,10,20,28,40,46,57,64,78,86,92,103,112,127,135,142,149,160,171,180,188
82,0.27009,0.23902,0.13862,0.11398,2.31,10,20,28,40,46,57,64,78,86,92,103,112,127,135,142,149,160,171,180,188
83,0.27456,0.24512,0.14229,0.11935,2.33,10,20,28,40,46,57,64,79,86,92,103,112,127,135,142,149,160,171,180,188
84,0.27741,0.24756,0.1434,0.11971,2.36,10,20,28,40,46,57,64,79,86,92,103,112,127,135,142,149,160,171,180,188
85,0.27904,0.24512,0.14094,0.11256,2.38,10,20,28,40,46,57,64,79,86,92,103,112,127,135,142,149,160,171,180,188
86,0.27782,0.24634,0.12921,0.10491,2.41,10,20,28,40,46,57,64,79,86,93,103,112,127,135,142,149,160,171,180,188
87,0.32159,0.28049,0.16444,0.1309,2.44,10,20,28,40,46,57,64,79,86,93,103,112,127,135,142,149,160,171,180,188
88,0.37146,0.32561,0.20812,0.16975,2.46,10,20,28,39,46,57,64,79,86,93,103,112,127,135,142,149,160,171,180,188
89,0.3636,0.31463,0.19341,0.15276,2.49,10,20,28,39,46,57,64,79,86,93,103,112,127,135,142,149,160,171,180,188
90,0.36319,0.32073,0.19222,0.15938,2.52,10,20,28,39,46,57,64,79,86,93,103,112,127,135,142,149,160,171,180,188
91,0.36333,0.32073,0.19275,0.15957,2.54,10,20,28,39,46,57,64,79,86,93,103,112,127,135,142,149,160,171,180,188
92,0.36333,0.32073,0.19298,0.15971,2.57,10,20,28,39,46,57,64,79,86,93,103,112,127,135,142,149,160,171,180,188
93,0.36333,0.32073,0.1932,0.16,2.59,10,20,28,39,46,57,65,79,86,93,103,112,127,135,142,149,160,171,180,188
94,0.36333,0.32073,0.19342,0.16,2.62,10,20,28,39,46,57,65,79,86,93,103,112,127,135,142,149,160,171,180,188
95,0.36319,0.32073,0.19345,0.16029,2.64,10,20,28,39,46,57,65,79,86,93,103,112,127,135,142,149,160,171,180,188
96,0.36319,0.32073,0.19364,0.16072,2.67,10,20,28,39,46,57,65,80,86,93,103,112,127,135,142,149,160,171,180,188
97,0.36319,0.32073,0.19392,0.16072,2.69,10,20,28,39,46,56,65,80,86,93,103,112,127,135,142,149,160,171,180,188
98,0.36333,0.32073,0.19428,0.16086,2.72,10,20,28,39,46,56,65,80,86,93,103,112,127,135,142,149,160,171,180,188
99,0.36333,0.32073,0.19448,0.16086,2.74,10,20,28,39,46,56,65,80,86,93,103,112,127,135,142,149,160,171,180,188
100,0.36333,0.32073,0.19479,0.16115,2.77,10,20,28,39,46,56,65,80,86,93,103,112,127,135,142,149,160,170,180,188
101,0.36333,0.32073,0.19496,0.16129,2.79,10,20,28,39,46,56,65,80,86,93,103,112,127,135,142,149,160,170,180,188
102,0.36333,0.32073,0.19513,0.16143,2.82,9,20,28,39,46,56,65,80,86,93,103,112,127,135,142,149,160,170,180,188
103,0.36333,0.32073,0.19535,0.16186,2.85,9,20,28,39,46,56,65,80,86,93,103,112,127,135,142,149,160,170,180,188
104,0.36306,0.32073,0.19518,0.16186,2.87,9,20,28,39,46,56,65,80,86,93,103,112,127,135,142,149,160,170,181,188
105,0.36306,0.32073,0.19533,0.16215,2.9,9,20,28,39,46,56,65,80,86,93,103,112,127,135,142,149,160,170,181,188
106,0.36306,0.32073,0.19555,0.16229,2.92,9,20,28,39,46,56,65,80,86,93,103,112,127,135,142,149,160,170,181,188
107,0.36306,0.32073,0.19567,0.16229,2.95,9,20,28,39,46,56,65,80,86,93,103,112,127,135,142,149,160,170,181,188
108,0.36306,0.32073,0.19586,0.16244,2.98,9,20,28,39,46,56,65,80,86,94,103,112,127,135,142,149,160,170,181,188
109,0.36306,0.32073,0.196,0.16258,3.0,9,20,28,39,46,56,65,80,86,94,103,112,127,135,142,149,160,170,181,188
110,0.36306,0.32073,0.19615,0.16272,3.03,9,20,28,39,46,56,65,80,86,94,103,112,127,135,142,149,160,170,181,188
111,0.36306,0.32073,0.19622,0.16272,3.05,9,20,28,39,46,56,65,80,86,94,103,112,127,135,142,149,160,170,181,188
112,0.36306,0.32073,0.19637,0.16286,3.08,9,20,28,39,46,56,65,80,86,94,103,112,127,135,142,149,160,170,181,188
113,0.36292,0.32073,0.19629,0.16315,3.11,9,20,28,39,46,56,65,80,86,94,103,112,127,135,142,149,160,170,181,188
114,0.36279,0.32073,0.1962,0.16329,3.14,9,20,28,39,46,56,65,80,86,93,103,112,127,136,142,149,160,170,181,188
115,0.36279,0.32073,0.19629,0.16329,3.17,9,20,28,39,46,56,65,80,86,93,103,112,127,136,142,149,160,170,181,188
116,0.36279,0.32073,0.1964,0.16329,3.19,9,20,28,39,46,56,65,79,86,93,103,111,127,136,142,149,160,170,181,188
117,0.36279,0.32073,0.19646,0.16329,3.22,9,20,28,39,46,56,65,79,86,93,103,111,127,136,142,149,160,170,181,188
118,0.36279,0.32073,0.19652,0.16329,3.25,9,20,28,39,46,56,65,79,86,93,103,111,127,136,142,149,160,170,181,188
119,0.36279,0.32073,0.19656,0.16329,3.28,9,20,28,39,46,56,65,79,86,93,103,111,127,136,142,149,160,170,181,188
120,0.36279,0.32073,0.1966,0.16329,3.3,9,20,28,39,46,56,65,79,86,93,103,111,127,136,142,149,160,169,181,188
121,0.36279,0.32073,0.19663,0.16343,3.33,9,20,28,39,46,56,65,79,86,93,103,111,127,136,142,149,160,169,181,188
122,0.36265,0.32073,0.19655,0.16358,3.35,9,20,28,39,46,56,65,79,86,93,103,111,127,136,142,149,160,169,181,188
123,0.36265,0.32073,0.19665,0.16386,3.38,9,20,28,39,46,56,65,79,86,93,103,111,127,136,142,149,160,169,181,188
