epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
59,0.16615,0.17561,0.05909,0.06151,0.97,19,36,54,73,92,108,125,142,164,181
60,0.16086,0.17073,0.04759,0.05313,0.98,19,36,54,73,92,108,125,142,164,181
61,0.153,0.1561,0.03418,0.03427,1.0,19,36,54,73,92,108,125,142,164,181
62,0.15029,0.15366,0.02743,0.02966,1.01,19,36,54,73,92,108,125,142,164,181
63,0.14595,0.1439,0.0185,0.01621,1.03,19,36,54,73,92,108,125,142,164,181
64,0.14284,0.13902,0.01087,0.0088,1.05,19,36,54,73,92,108,125,142,164,181
65,0.14311,0.1378,0.00827,0.00617,1.06,19,36,54,73,92,108,125,142,164,181
66,0.14202,0.13293,0.00445,-0.00037,1.08,19,36,54,73,92,108,125,142,164,181
67,0.1423,0.12927,0.0025,-0.00584,1.09,19,36,54,73,92,108,125,142,164,181
68,0.14175,0.13171,0.00056,-0.00354,1.11,19,36,54,73,92,108,125,142,164,181
69,0.14189,0.13537,0.00023,0.00026,1.12,19,36,54,73,92,108,125,142,164,181
70,0.14202,0.13537,0.00019,0.0001,1.14,19,36,54,73,92,108,125,142,164,181
71,0.14202,0.13537,0.0001,0.0,1.15,19,36,54,73,92,108,125,142,164,181
72,0.14202,0.13537,7e-05,0.0,1.17,19,36,54,73,92,108,125,142,164,181
73,0.14202,0.13537,5e-05,0.0,1.18,19,36,54,73,92,108,125,142,164,181
74,0.14202,0.13537,5e-05,0.0,1.2,19,36,55,73,92,108,125,142,164,181
75,0.14202,0.13537,5e-05,0.0,1.21,19,36,55,73,92,108,125,142,164,181
76,0.14202,0.13537,5e-05,0.0,1.23,19,36,55,73,92,108,125,142,164,181
77,0.14202,0.13537,4e-05,0.0,1.24,19,36,55,73,92,108,125,142,164,181
78,0.14202,0.13537,3e-05,0.0,1.26,19,36,55,73,92,108,125,142,164,181
79,0.14202,0.13537,2e-05,0.0,1.27,19,36,55,73,92,108,125,142,164,181
80,0.14202,0.13537,2e-05,0.0,1.29,19,36,55,73,92,108,125,142,164,181
81,0.14202,0.13537,2e-05,0.0,1.3,19,36,55,73,92,108,125,142,164,181
82,0.14202,0.13537,2e-05,0.0,1.32,19,36,55,73,92,108,125,142,164,181
83,0.14202,0.13537,2e-05,0.0,1.33,19,36,55,73,92,108,125,142,164,181
84,0.14202,0.13537,2e-05,0.0,1.35,19,36,55,73,92,108,125,142,164,181
85,0.14202,0.13537,1e-05,0.0,1.36,19,36,55,73,92,108,125,142,164,181
86,0.14202,0.13537,1e-05,0.0,1.38,19,36,55,73,92,108,125,142,164,181
87,0.14202,0.13537,1e-05,0.0,1.39,19,36,55,73,92,108,125,142,164,181
88,0.14202,0.13537,1e-05,0.0,1.41,19,35,55,73,92,108,125,142,164,181
89,0.14202,0.13537,1e-05,0.0,1.42,19,35,55,73,92,108,125,142,164,181
90,0.14202,0.13537,1e-05,0.0,1.44,19,35,55,73,92,108,125,142,164,181
91,0.14202,0.13537,1e-05,0.0,1.45,19,35,55,73,92,108,125,142,164,181
92,0.14202,0.13537,1e-05,0.0,1.47,19,35,55,73,92,108,125,142,164,181
93,0.14202,0.13537,1e-05,0.0,1.48,19,35,55,73,92,108,125,142,164,181
94,0.14202,0.13537,-2e-05,0.0,1.5,19,35,55,73,92,108,125,142,164,181
95,0.14202,0.13537,-2e-05,0.0,1.51,19,35,55,73,92,108,125,142,164,181
