epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0.01951,0.02439,-0.00279,-0.00297,0.1,8,15,23,31,38,46,53,61,69,76,84,92,99,107,114,122,130,137,145,152,160,168,175,183,190
1,0.02046,0.01829,-0.02756,-0.03881,0.14,8,15,23,31,38,46,54,61,69,76,84,92,99,107,114,122,130,137,145,152,160,168,175,183,190
2,0.04322,0.04634,-0.04874,-0.0596,0.17,8,15,23,31,38,46,54,61,69,76,84,92,99,107,114,122,130,137,145,152,160,168,175,183,190
3,0.09214,0.09756,-0.02061,-0.03487,0.2,8,15,23,31,38,46,54,61,69,76,84,92,99,107,114,122,130,137,145,152,160,168,175,183,190
4,0.11585,0.13171,-0.00312,-0.00637,0.24,8,15,23,31,38,46,54,61,69,76,84,92,99,106,114,122,130,137,145,152,160,168,175,183,190
5,0.121,0.14024,0.00045,0.00052,0.28,8,15,23,31,38,46,54,61,69,76,84,92,99,106,114,122,130,137,145,152,160,168,175,183,190
6,0.12182,0.14268,0.00111,0.00285,0.31,8,16,23,31,38,46,54,61,69,76,84,92,99,106,114,122,130,137,145,152,160,168,175,183,190
7,0.12236,0.14268,0.00215,0.00352,0.34,8,16,23,31,38,46,54,61,69,76,83,92,99,106,114,122,130,137,145,152,160,168,175,183,190
8,0.12222,0.14268,0.00353,0.00502,0.38,8,16,23,31,39,46,54,61,69,76,83,92,99,106,114,122,130,137,145,152,160,168,175,183,190
9,0.12236,0.14268,0.00684,0.00884,0.41,8,16,23,31,39,46,54,61,68,76,83,92,99,106,114,122,130,137,145,152,160,168,175,183,190
10,0.12236,0.14268,0.01243,0.01377,0.44,8,16,23,31,39,46,54,61,68,76,83,92,99,106,114,122,130,137,145,152,160,168,175,183,190
11,0.12236,0.14268,0.02014,0.02285,0.47,8,16,23,31,39,46,54,61,68,76,83,92,100,106,114,122,130,137,145,152,160,168,175,183,190
12,0.12236,0.14268,0.02798,0.02956,0.51,8,16,23,31,39,46,54,62,68,76,83,92,100,106,114,122,130,137,145,152,160,168,175,183,190
13,0.12236,0.14268,0.03393,0.03788,0.54,8,16,23,31,39,46,54,62,68,76,83,92,100,106,114,123,130,137,145,152,160,168,175,183,190
14,0.12236,0.14268,0.03813,0.04423,0.57,8,16,23,31,39,46,54,62,68,76,83,92,100,106,114,123,130,136,145,152,159,168,175,183,190
15,0.12236,0.14268,0.04081,0.04607,0.6,8,16,23,31,39,46,54,62,68,76,83,92,100,106,114,123,130,136,145,152,159,168,175,183,190
16,0.12236,0.14268,0.04262,0.04851,0.64,8,16,23,31,39,46,54,62,68,76,83,92,100,106,114,123,130,136,145,152,159,168,175,183,190
