epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.11839,0.12252,0.0,0.0,0.05,12,24,35,47,59,71,83,94,106,118
1,0.11839,0.12252,0.0,0.0,0.06,12,24,35,47,59,71,83,94,106,118
2,0.11839,0.12252,0.0,0.0,0.08,12,24,35,47,59,71,82,94,106,118
3,0.11839,0.12252,0.0,0.0,0.09,12,24,35,47,59,71,82,94,106,118
4,0.11839,0.12252,0.0,0.0,0.11,12,24,35,47,59,71,82,94,106,118
5,0.11839,0.12252,0.0,0.0,0.12,12,24,35,47,59,71,82,94,106,118
6,0.11839,0.12252,0.0,0.0,0.14,12,24,35,47,59,71,82,94,106,118
7,0.11839,0.12252,0.0,0.0,0.15,12,24,35,47,59,71,82,94,106,118
8,0.11839,0.12252,0.0,0.0,0.17,12,24,35,47,59,71,82,94,106,118
9,0.11839,0.12252,0.0,0.0,0.18,12,23,35,47,59,71,82,94,106,118
10,0.11839,0.12252,0.0,0.0,0.19,12,23,35,47,59,71,82,94,106,118
11,0.11839,0.12252,0.0,0.0,0.21,12,23,35,47,59,71,82,94,106,118
12,0.11839,0.12252,0.0,0.0,0.23,12,23,35,47,59,71,82,94,106,118
13,0.11839,0.12252,0.0,0.0,0.24,12,23,35,47,59,71,82,94,106,118
14,0.11839,0.12252,0.0,0.0,0.26,12,23,35,47,59,71,82,94,106,118
15,0.11839,0.12252,0.0,0.0,0.27,12,23,35,47,60,71,82,94,106,118
16,0.11839,0.12252,0.0,0.0,0.28,12,23,35,47,60,71,82,94,106,118
17,0.11839,0.12252,0.0,0.0,0.3,12,23,35,47,60,71,82,94,106,118
18,0.11839,0.12252,0.0,0.0,0.31,12,23,35,47,60,71,82,94,106,118
19,0.11839,0.12252,0.0,0.0,0.33,12,23,35,47,60,71,82,94,106,118
20,0.11839,0.12252,0.0,0.0,0.34,12,23,35,47,60,71,82,94,106,118
21,0.11839,0.12252,0.0,0.0,0.36,12,23,35,47,60,71,82,94,106,118
22,0.11839,0.12252,0.0,0.0,0.37,12,23,35,47,60,71,82,94,106,118
23,0.11839,0.12252,0.0,0.0,0.38,12,23,35,47,60,72,83,94,106,118
24,0.11839,0.12252,0.0,0.0,0.4,12,23,35,47,60,72,83,94,106,118
25,0.11839,0.12252,0.0,0.0,0.41,12,23,35,47,60,72,83,94,106,118
26,0.11839,0.12252,0.0,0.0,0.43,12,23,35,46,60,72,83,94,106,118
27,0.11839,0.12252,0.0,0.0,0.45,12,23,35,46,60,72,83,94,106,118
28,0.11839,0.12252,0.0,0.0,0.47,12,23,35,46,60,72,83,94,106,118
29,0.11839,0.12252,0.0,0.0,0.48,12,23,35,46,60,72,83,94,106,118
30,0.11839,0.12252,0.0,0.0,0.5,12,23,35,46,60,72,83,94,106,118
31,0.11839,0.12252,0.0,0.0,0.51,12,23,35,46,60,72,83,94,106,118
32,0.11839,0.12252,0.0,0.0,0.53,12,23,35,46,60,72,83,94,106,118
33,0.11839,0.12252,0.0,0.0,0.54,12,23,35,46,60,72,83,94,106,118
34,0.11839,0.12252,0.0,0.0,0.56,12,23,35,46,60,72,83,94,106,118
35,0.11839,0.12252,0.0,0.0,0.57,12,23,35,46,60,72,83,93,106,118
36,0.11839,0.12252,0.0,0.0,0.58,12,23,35,46,60,72,83,93,106,117
37,0.11839,0.12252,0.0,0.0,0.6,12,23,35,46,60,72,83,93,106,117
38,0.11839,0.12252,0.0,0.0,0.61,12,23,35,46,60,72,83,93,106,117
39,0.11839,0.12252,0.0,0.0,0.63,12,23,35,46,60,72,83,93,106,117
40,0.11839,0.12252,-2e-05,0.0,0.64,12,23,35,46,60,72,83,93,106,117
41,0.11839,0.12252,-0.0005,-0.00018,0.66,12,23,35,46,60,72,83,93,106,117
42,0.11839,0.12252,-0.0024,-0.00231,0.67,12,23,35,46,60,72,83,93,106,117
43,0.11839,0.12252,-0.00503,-0.00554,0.69,12,23,36,46,60,72,83,93,106,117
44,0.11879,0.12252,-0.00736,-0.00986,0.7,12,23,36,46,60,72,83,93,106,117
45,0.12159,0.12252,-0.00776,-0.01386,0.72,12,23,36,46,60,72,83,93,106,117
46,0.123,0.12793,-0.01459,-0.01585,0.73,12,23,36,46,60,72,83,93,106,117
47,0.1262,0.13153,-0.0207,-0.02167,0.75,12,23,36,46,60,72,83,93,106,117
48,0.13381,0.12613,-0.02086,-0.03754,0.76,13,23,36,46,60,72,83,93,106,117
49,0.14283,0.14234,-0.01946,-0.02894,0.78,13,23,36,46,60,72,83,93,106,117
50,0.15325,0.16036,-0.01791,-0.01875,0.79,13,23,36,46,60,72,83,93,106,117
51,0.17428,0.18378,-0.00546,-0.00439,0.81,13,23,36,46,60,72,83,93,106,117
52,0.1871,0.19279,0.0004,-0.00117,0.82,13,23,36,46,60,72,83,93,106,117
53,0.19451,0.20901,0.0035,0.01226,0.84,13,23,36,46,60,72,83,93,106,117
54,0.20152,0.21982,0.00877,0.02138,0.85,13,23,36,46,60,72,83,93,106,117
55,0.20493,0.22703,0.01103,0.02833,0.87,13,23,36,46,60,72,82,93,106,117
56,0.20613,0.22883,0.01085,0.0285,0.89,13,23,36,46,60,72,82,93,106,117
57,0.20413,0.22162,0.00737,0.01846,0.9,13,23,36,46,60,72,82,93,106,117
58,0.20252,0.21622,0.00479,0.01067,0.92,13,23,36,46,60,72,82,93,106,117
59,0.20172,0.21261,0.00345,0.00534,0.93,13,23,36,46,60,71,82,93,106,117
60,0.19952,0.21081,0.00045,0.00287,0.95,13,23,36,46,60,71,82,93,106,117
61,0.19932,0.21081,0.0001,0.00267,0.96,13,23,36,46,60,71,82,93,106,117
62,0.19932,0.20901,4e-05,0.0002,0.98,13,23,36,46,60,71,82,93,106,117
63,0.19932,0.20901,4e-05,0.0,0.99,13,23,36,46,60,71,82,93,106,117
64,0.19932,0.20901,0.0,0.0,1.01,13,23,36,46,60,71,82,93,106,117
65,0.19932,0.20901,0.0,0.0,1.02,13,23,36,46,60,71,82,93,106,117
66,0.19932,0.20901,0.0,0.0,1.04,13,23,36,46,60,71,82,93,106,117
67,0.19932,0.20901,0.0,0.0,1.05,13,23,36,46,59,71,82,92,106,117
68,0.19932,0.20901,0.0,0.0,1.07,13,23,36,46,59,71,82,92,106,117
69,0.19932,0.20901,0.0,0.0,1.08,13,23,36,46,59,71,82,92,106,117
70,0.19932,0.20901,0.0,0.0,1.1,13,23,36,46,59,71,82,92,106,117
71,0.19932,0.20901,0.0,0.0,1.12,13,23,36,46,59,71,82,92,106,117
72,0.19932,0.20901,0.0,0.0,1.13,13,23,36,46,59,71,82,92,106,117
73,0.19932,0.20901,0.0,0.0,1.15,13,23,36,46,59,71,82,92,106,117
74,0.19932,0.20901,0.0,0.0,1.16,13,23,36,46,59,71,82,92,106,117
75,0.19932,0.20901,0.0,0.0,1.18,13,23,36,46,59,71,82,92,106,117
76,0.19932,0.20901,0.0,0.0,1.19,13,23,36,46,59,71,82,92,106,117
77,0.19932,0.20901,0.0,0.0,1.21,13,23,36,46,59,71,82,92,106,117
78,0.19932,0.20901,0.0,0.0,1.22,13,23,36,47,59,71,82,92,106,117
79,0.19932,0.20901,0.0,0.0,1.24,13,23,36,47,59,71,82,92,106,117
80,0.19932,0.20901,0.0,0.0,1.26,13,23,36,47,59,71,82,92,106,117
81,0.19932,0.20901,0.0,0.0,1.27,13,23,36,47,59,71,82,92,106,117
82,0.19932,0.20901,0.0,0.0,1.29,13,23,37,47,59,71,82,92,106,117
83,0.19932,0.20901,0.0,0.0,1.3,13,23,37,47,59,71,81,92,106,117
84,0.19932,0.20901,0.0,0.0,1.32,13,23,37,47,59,71,81,92,106,117
85,0.19932,0.20901,0.0,0.0,1.33,13,23,37,47,59,71,81,92,106,117
86,0.19952,0.20901,0.00018,-0.00021,1.35,13,23,37,47,59,71,81,92,106,117
87,0.20292,0.21622,0.00371,0.00784,1.36,13,23,37,46,59,71,81,92,106,117
88,0.23377,0.25045,0.03151,0.04051,1.38,13,23,37,46,59,71,81,92,106,117
89,0.26502,0.3027,0.04189,0.07729,1.39,13,23,37,46,59,71,81,92,106,117
90,0.3123,0.33514,0.0609,0.07971,1.41,13,23,37,46,59,71,81,92,106,117
91,0.29828,0.30991,0.01889,0.01794,1.43,13,23,37,46,59,71,81,92,106,117
92,0.28986,0.3027,0.00069,0.00048,1.44,13,23,37,46,59,71,81,92,106,117
93,0.28986,0.3027,0.0,0.0,1.46,13,23,37,46,59,71,81,92,106,117
94,0.28986,0.3027,0.0,0.0,1.47,13,23,37,46,59,71,82,92,106,117
95,0.28986,0.3027,0.0,0.0,1.49,13,23,37,46,59,70,82,92,106,117
96,0.28986,0.3027,0.0,0.0,1.5,13,23,37,46,59,70,82,92,106,117
97,0.28986,0.3027,0.0,0.0,1.52,13,23,37,46,59,70,82,92,106,117
98,0.28986,0.3027,0.0,0.0,1.54,13,23,37,46,59,70,82,92,106,117
99,0.28986,0.3027,0.0,0.0,1.55,13,23,37,46,59,70,82,92,106,117
100,0.28986,0.3027,0.0,0.0,1.57,13,23,37,46,59,70,82,92,106,117
101,0.28986,0.3027,0.0,0.0,1.58,13,23,37,46,59,70,82,92,105,117
102,0.28986,0.3027,0.0,0.0,1.6,13,23,37,46,59,70,82,92,105,117
103,0.28986,0.3027,0.0,0.0,1.61,13,23,37,46,59,70,82,92,105,117
104,0.28986,0.3027,0.0,0.0,1.63,13,23,37,46,59,70,82,92,105,117
