epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
30,0.37548,0.37297,-0.0023,-0.008,1.18,4,9,12,17,21,25,30,33,38,43,46,49,54,58,62,66,72,74,79,85,88,91,96,100,105,108,113,117,121,125
31,0.37588,0.37658,-0.00171,-0.00267,1.22,4,9,12,17,21,25,30,33,38,43,46,49,53,58,62,66,72,74,79,85,88,91,96,100,105,108,113,117,121,125
32,0.37568,0.37838,-0.00205,0.0,1.25,4,9,12,17,21,25,30,33,38,43,46,49,53,57,62,66,72,74,79,85,88,91,95,100,105,108,113,117,121,125
33,0.37588,0.37838,-0.00176,0.0,1.29,4,9,12,17,21,25,30,33,38,43,46,49,53,57,62,66,72,74,79,85,88,91,95,100,105,108,112,117,121,125
34,0.37588,0.37838,-0.00176,0.0,1.32,4,9,12,17,21,25,30,33,38,43,46,49,53,57,62,66,72,74,79,85,88,91,95,100,105,108,112,117,121,125
35,0.37588,0.37838,-0.00176,0.0,1.36,4,9,12,17,21,25,30,33,38,43,46,49,53,57,61,66,72,74,79,85,88,91,95,100,105,108,112,117,121,125
36,0.37628,0.37838,-0.00116,0.0,1.39,4,9,12,17,21,25,30,33,38,43,46,49,53,57,61,66,72,74,79,85,88,91,95,100,105,108,112,117,121,125
37,0.37628,0.37838,-0.00116,0.0,1.43,4,9,12,17,21,25,30,33,38,43,46,49,53,57,61,66,72,74,79,85,88,91,95,100,105,108,112,117,121,125
38,0.37648,0.37838,-0.00087,0.0,1.46,4,9,12,17,21,25,30,33,38,43,46,49,53,57,61,66,72,74,79,85,88,91,95,100,105,108,112,117,121,125
39,0.37668,0.37838,-0.00057,0.0,1.5,4,9,12,17,21,25,30,33,38,43,46,49,53,57,61,66,72,74,79,85,88,91,95,100,105,108,112,117,121,125
40,0.37668,0.37838,-0.00057,0.0,1.53,4,9,13,17,21,24,30,33,38,43,46,49,53,57,61,66,72,74,79,85,88,91,95,100,105,108,112,117,121,125
41,0.37668,0.37838,-0.00057,0.0,1.57,4,9,13,17,21,24,30,33,38,43,47,49,53,57,61,66,72,74,79,85,88,91,95,100,105,108,112,117,121,125
42,0.37668,0.37838,-0.00059,0.0,1.61,4,9,13,17,21,24,31,33,38,43,47,49,53,57,61,66,73,74,79,85,88,91,95,100,105,108,112,117,121,125
43,0.37668,0.37838,-0.00059,0.0,1.64,4,9,13,17,21,24,31,33,38,43,47,49,53,57,61,66,73,74,79,85,88,91,95,100,105,108,112,117,121,125
44,0.37688,0.37838,-0.0003,0.0,1.68,4,9,13,17,21,24,31,33,38,42,47,49,53,57,61,66,73,74,79,85,88,91,95,99,105,108,112,117,121,125
45,0.37688,0.37838,-0.0003,0.0,1.71,4,9,13,17,21,24,31,33,38,42,47,49,53,57,61,66,73,74,79,85,88,91,95,99,105,108,112,117,121,125
