epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0.017094017094017096,0.01282051282051282,0.0,0.0,0.01,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
1,0.017094017094017096,0.01282051282051282,0.0,0.0,0.02,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
2,0.017094017094017096,0.01282051282051282,0.0,0.0,0.03,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
3,0.017094017094017096,0.01282051282051282,0.0,0.0,0.04,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
4,0.017094017094017096,0.01282051282051282,0.0,0.0,0.05,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
5,0.017094017094017096,0.01282051282051282,0.0,0.0,0.06,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
6,0.017094017094017096,0.01282051282051282,0.0,0.0,0.07,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
7,0.017094017094017096,0.01282051282051282,0.0,0.0,0.07,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
8,0.017094017094017096,0.01282051282051282,0.0,0.0,0.08,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
9,0.017094017094017096,0.01282051282051282,0.0,0.0,0.09,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
10,0.017094017094017096,0.01282051282051282,0.0,0.0,0.1,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
11,0.017094017094017096,0.01282051282051282,0.0,0.0,0.11,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
12,0.017094017094017096,0.01282051282051282,0.0,0.0,0.11,5,10,15,20,25,30,35,40,45,50,55,60,64,69,75,80,85,90,95,99,105,110,115,120,125
13,0.017094017094017096,0.01282051282051282,0.0,0.0,0.12,5,10,15,20,25,30,35,40,45,50,55,60,64,69,75,80,85,90,95,99,105,110,115,120,125
14,0.017094017094017096,0.01282051282051282,0.0,0.0,0.13,5,10,15,20,25,30,35,40,45,50,55,60,64,69,75,80,85,90,95,99,105,110,115,120,125
15,0.017094017094017096,0.01282051282051282,-0.00012659536289305606,0.0,0.13,5,10,15,20,25,30,35,40,45,50,55,60,64,69,75,80,85,90,95,99,105,110,115,120,125
16,0.018518518518518517,0.014423076923076924,0.00041791076006847394,0.0006406149903906977,0.14,5,10,15,20,25,30,35,40,45,50,55,60,64,69,75,80,85,90,95,99,105,110,114,120,125
17,0.02475071225071225,0.020833333333333332,0.003924382554582273,0.0029654966814678385,0.15,5,10,15,20,25,30,35,40,46,51,56,60,64,69,75,80,85,90,95,99,105,110,114,120,125
18,0.036146723646723646,0.03205128205128205,0.009987724911395435,0.007802874743326527,0.15,5,10,15,20,25,30,35,40,46,51,56,60,64,69,75,80,85,90,95,99,105,110,114,120,125
