epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
0,0.0038549572340681845,0.007583965330444204,9.177349793776379e-05,0.00037834540097514413,0.01,7,13,19,26,32,38,45,51,58,64,70,77,83,89,96,102,109,115,121,128,134,141,147,153,160,166,173,179,185,192
1,0.0038549572340681845,0.007583965330444204,0.00018900589033887805,0.0008130888394103364,0.02,7,13,19,26,32,38,45,51,58,64,70,77,83,90,96,102,109,115,122,128,134,140,147,153,160,166,173,179,185,192
2,0.004457294301891338,0.00866738894907909,-0.005267982432057394,-0.003105958927701824,0.03,7,13,19,26,32,38,45,51,58,64,70,77,83,90,96,102,109,115,122,128,134,140,147,153,160,166,173,179,185,192
3,0.004818696542585231,0.007583965330444204,-0.019412457887181045,-0.01540763764368469,0.04,7,13,19,26,32,38,45,51,57,64,70,77,83,90,96,102,109,115,122,128,134,140,147,153,160,166,173,179,185,192
4,0.0012046741356463078,0.0010834236186348862,-0.028346240307853154,-0.025898016088764297,0.04,7,13,19,26,32,38,45,51,57,64,70,77,83,90,96,103,109,115,122,128,134,140,147,153,160,166,173,179,185,192
5,0.0018070112034694614,0.0021668472372697724,-0.0414683840955794,-0.038786961930342256,0.05,7,13,19,26,32,38,45,51,57,64,70,77,83,90,96,103,109,115,122,128,134,140,147,153,160,166,173,179,185,192
6,0.00795084929526563,0.00866738894907909,-0.04762422978999137,-0.042137372176846544,0.06,7,13,19,26,32,38,45,52,57,64,70,77,83,90,96,103,109,115,122,128,134,140,147,153,160,166,173,179,185,192
7,0.01602216600409589,0.021668472372697724,-0.04369998751763626,-0.033360113667641134,0.07,7,13,19,26,32,38,45,52,57,64,70,77,83,90,96,103,109,115,122,127,134,140,147,153,160,166,173,179,185,192
8,0.033971810625225876,0.02925243770314193,-0.028965661777994978,-0.028132261036153405,0.08,7,13,19,26,32,38,45,52,57,64,70,77,83,90,96,103,109,115,122,127,134,140,147,153,160,166,173,179,185,192
9,0.06589567521985303,0.06175514626218852,-0.0011482743089747949,0.0002789100246267662,0.09,7,13,19,26,32,38,45,52,57,64,70,77,83,90,96,103,109,115,122,127,134,140,147,153,160,166,173,179,185,192
10,0.07312372003373088,0.06717226435536294,0.001621547002392143,0.0019265620663193594,0.1,7,13,19,26,32,38,45,52,57,64,70,77,83,90,96,103,109,115,122,127,134,140,147,153,160,166,173,179,185,192
11,0.07336465486086013,0.06717226435536294,0.00022977809135815708,0.0002226751207728972,0.11,7,13,19,26,32,38,45,52,57,64,70,77,83,90,96,103,109,115,122,127,134,140,147,153,160,166,173,179,185,192
12,0.07336465486086013,0.06717226435536294,2.7578947556339273e-05,0.0,0.12,7,13,19,26,32,38,45,52,57,64,70,77,83,90,96,103,109,115,122,127,134,140,147,153,160,166,173,179,185,192
13,0.07336465486086013,0.06717226435536294,9.193151543795963e-06,0.0,0.13,7,13,19,26,32,38,45,52,57,64,70,77,83,90,96,103,109,115,122,127,134,140,147,153,160,166,173,179,185,192
14,0.07336465486086013,0.06717226435536294,0.0,0.0,0.13,7,13,19,26,32,38,45,52,57,64,70,77,83,90,96,103,109,115,122,127,134,140,147,153,160,166,173,179,185,192
15,0.07336465486086013,0.06717226435536294,0.0,0.0,0.14,7,13,19,26,32,38,45,52,57,64,70,77,83,90,96,103,109,115,122,127,134,140,147,153,160,167,173,179,185,191
16,0.07336465486086013,0.06717226435536294,0.0,0.0,0.15,7,13,19,26,32,38,45,52,57,64,70,77,83,90,96,103,109,115,122,127,134,140,147,153,160,167,173,179,185,191
17,0.07336465486086013,0.06717226435536294,0.0,0.0,0.16,7,13,19,26,32,38,45,52,57,64,70,78,83,90,96,103,109,115,122,127,133,140,147,153,160,167,173,179,185,191
18,0.07336465486086013,0.06717226435536294,0.0,0.0,0.17,7,13,19,26,32,38,45,52,57,64,70,78,83,90,96,103,109,115,122,127,133,140,147,153,160,167,173,179,185,191
19,0.07336465486086013,0.06717226435536294,0.0,0.0,0.18,7,13,19,26,32,38,45,52,57,64,70,78,83,90,96,103,109,115,122,127,133,140,147,153,160,167,173,179,185,191
20,0.07336465486086013,0.06717226435536294,0.0,0.0,0.19,7,13,19,26,32,38,45,52,57,64,70,78,83,90,96,103,109,115,122,127,133,140,147,153,160,167,173,179,185,191
21,0.07336465486086013,0.06717226435536294,0.0,0.0,0.2,7,13,19,26,31,38,45,52,57,65,70,78,83,90,96,103,109,115,122,127,133,140,147,153,160,167,173,179,185,191
22,0.07336465486086013,0.06717226435536294,1.8386134060910386e-05,0.0,0.2,7,13,19,26,31,38,45,52,58,65,70,78,83,90,96,103,109,115,123,127,133,140,147,153,160,167,173,179,185,191
