epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
34,0,0,0.15719386169422345,0.15840087705302242,0.21,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,52,55,57,59,61,63
35,0,0,0.15713744866365234,0.15834541750478393,0.21,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,52,55,57,59,61,63
36,0,0,0.15697349297505897,0.1581820544587044,0.22,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,52,55,57,59,61,63
37,0,0,0.15671656805784387,0.15792607549801152,0.22,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,52,55,57,59,61,63
38,0,0,0.15638700677438555,0.15759742428560072,0.23,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,52,55,57,59,61,63
39,0,0,0.15600757269597557,0.15721882629316855,0.24,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,52,55,57,59,61,63
40,0,0,0.15560146686229054,0.15681317878050174,0.24,2,4,6,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,52,55,57,59,61,63
41,0,0,0.15519057167967784,0.15640150116333584,0.25,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,52,55,57,59,61,63
42,0,0,0.15479457236930325,0.15600318488513437,0.25,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,47,49,51,52,55,57,59,61,63
43,0,0,0.154431580037933,0.15563626154786078,0.26,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
44,0,0,0.1541133223423277,0.15531522560414432,0.27,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
45,0,0,0.1538410879052422,0.1550410529057189,0.27,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
