epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0,0,0.13837112803327226,0.14437802672825903,0.01,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
1,0,0,0.13775980230553786,0.143722144568928,0.01,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
2,0,0,0.13729151910876197,0.14320710980479343,0.02,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
3,0,0,0.13691616791372924,0.14278813141695978,0.03,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
4,0.0018881254187590457,0,0.13660277488547912,0.14243051648145877,0.03,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
5,0.005821517738861304,0.003189990934416187,0.1363333378645007,0.14212138032455748,0.04,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
6,0.009313790432859625,0.007176731823506088,0.13609367941056358,0.14183689162286153,0.04,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
7,0.012549519201720427,0.010980884731219165,0.13587124953055257,0.14156489061817001,0.05,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
8,0.015700352876220958,0.014536318685744898,0.1356542975121102,0.14131020793506918,0.05,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
9,0.01885735316939552,0.01802663616301603,0.13543657162677766,0.14105973993431362,0.06,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
10,0.022053084694038105,0.021432490641171476,0.13521582277310795,0.14081489801248617,0.06,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
11,0.02513722483485048,0.02465983029307295,0.1350024464504777,0.1405825020894227,0.07,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
12,0.027917189134924247,0.02754860659965641,0.1348098253936272,0.14037415861640204,0.07,3,5,8,10,13,15,18,20,23,25,28,30,32,35,38,40,43,45,48,50,53,55,58,60,63
13,0.030336143507745272,0.029987892130634575,0.13464198453096615,0.1401979930511946,0.08,3,5,8,10,13,15,18,20,23,25,28,30,32,35,38,40,43,45,48,50,53,55,58,60,63
14,0.03259666547663609,0.032202790678292126,0.1344849524766471,0.14003784732477587,0.08,3,5,8,10,13,15,18,20,23,25,28,30,32,35,37,40,43,45,48,50,53,55,58,60,63
