epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0,0,0.14744787600440468,0.14511093316135532,0.01,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
1,0,0,0.14472807550089892,0.14232833092063507,0.02,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
2,0,0,0.14210694331415955,0.13963623260303293,0.02,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
3,0,0,0.1396351721271886,0.1370969446095687,0.03,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
4,0,0,0.13736479570846744,0.13477268753342844,0.03,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
5,0.0017738860946545643,0.004192253132268786,0.13534981119583442,0.13270251544564013,0.04,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
6,0.02700429615689859,0.030643217153936364,0.133628365844947,0.13092822071598845,0.04,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
7,0.04722489450936607,0.05189535275852519,0.132232556848153,0.12948503028572164,0.05,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
8,0.0622312006950011,0.06780352145289059,0.13118708555856695,0.12839412830527125,0.05,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
9,0.0718708180007187,0.07819152573792565,0.13051108370177708,0.1276767355684956,0.06,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
10,0.07630275020714739,0.08321300660358089,0.13019911177087937,0.12732850843618296,0.07,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
11,0.07627883954199444,0.08357997674224471,0.13020079273005986,0.12730302276412447,0.07,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
12,0.07315248375935302,0.08077861783504914,0.13042094674059423,0.12749744513233252,0.08,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
13,0.06872066931454612,0.07659627788977008,0.13073238217501465,0.12778717577090024,0.08,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
14,0.06493181832199424,0.07297734428703284,0.1309980540131037,0.12803732733423906,0.09,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
15,0.0632740369826379,0.07146075178374134,0.13111412104896414,0.1281420205022492,0.09,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63
16,0.06437335236729014,0.07267628493856926,0.131037171411307,0.12805811427134003,0.1,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
17,0.06793855394294723,0.07633703508878675,0.13078726731862725,0.12780510317890306,0.1,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
18,0.07309673591326526,0.08156943990021581,0.13042486703424255,0.12744259011606643,0.11,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
19,0.0787664163747045,0.08727414528028588,0.13002535520016226,0.127046176847492,0.11,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
20,0.08398200818685042,0.09247875729184252,0.1296567670761724,0.1266834328821463,0.12,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
21,0.08807583058265855,0.09651121265176354,0.12936671695822924,0.1264016719031521,0.13,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
22,0.09077360834088877,0.09912082134666378,0.12917522343113652,0.12621899129566344,0.13,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
23,0.09220429370414973,0.10045769360645462,0.129073547405405,0.12612529963815972,0.14,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
24,0.09279122086113589,0.10096937740384748,0.12903182098057236,0.12608942993497022,0.14,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
25,0.09310665216847969,0.10125015223347078,0.1290093861873572,0.1260697293830393,0.15,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
26,0.09370456740480948,0.10186147775997456,0.1289668590937598,0.12602685323736276,0.16,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
27,0.09497488105055252,0.10321835955387348,0.12887643700528337,0.12593162089840415,0.16,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
28,0.09708440521017414,0.10549656052669876,0.12872614705548366,0.125771555319641,0.17,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
29,0.09997772351704548,0.10863154535333319,0.12851972863275013,0.12555096318746345,0.17,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
30,0.10335508655700743,0.11236905243566386,0.1282783735884388,0.125287470470213,0.18,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
31,0.10684615522175511,0.11623504913210736,0.1280284020258668,0.12501434154492944,0.18,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
32,0.11007234654256615,0.11984202303837899,0.1277969705688813,0.12475895737834501,0.19,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
33,0.11270970691849025,0.12286346402427817,0.12760746393679623,0.12454463673199036,0.2,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
34,0.11466401195235243,0.12518984572627512,0.12746684964094454,0.12437936068323314,0.2,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
35,0.1160488677483894,0.1268911365854707,0.12736711492503042,0.12425836330340907,0.21,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
36,0.11716996109450417,0.12829374551015427,0.1272863270294679,0.12415851536126012,0.21,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
37,0.11841068000809807,0.12976632431446533,0.12719684827739758,0.12405360222985644,0.22,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
38,0.12005060556153913,0.13160142925624885,0.12707849327886753,0.12392273140860151,0.22,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
39,0.12217089319440133,0.13386784514572336,0.12692529666782187,0.12376091423696664,0.23,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
40,0.12463364515551101,0.136444805880243,0.12674713295500475,0.12357666614919148,0.23,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
41,0.1271781356275259,0.1390703878539431,0.12656277285652417,0.12338865964743792,0.24,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
42,0.12953944304782183,0.141482264973544,0.12639146686537198,0.1232156995610504,0.24,3,5,8,10,13,15,18,21,23,25,28,30,33,35,38,40,42,45,48,50,53,55,58,60,63
43,0.13156841081903703,0.1435610687584129,0.12624406875000901,0.12306643890588688,0.25,3,5,8,10,13,15,18,21,23,25,28,29,33,35,38,40,42,45,48,50,53,55,58,60,63
44,0.1332637036939167,0.1452857320875005,0.1261207952531007,0.12294246012659868,0.25,3,5,8,10,13,15,18,21,23,25,28,29,33,35,38,40,42,45,48,50,53,55,58,60,63
45,0.13474927691176353,0.14679531473732843,0.12601265648965623,0.12283384334824636,0.26,3,5,8,10,13,15,18,21,23,25,28,29,33,35,38,40,42,45,48,50,53,55,58,60,63
46,0.13622022751052776,0.1483286635504789,0.1259055048124483,0.12272341538442867,0.27,3,5,8,10,13,15,18,21,23,25,28,29,33,35,38,40,42,45,48,50,53,55,58,60,63
47,0.13784006095763446,0.1500402333758799,0.1257873933488397,0.12260003927922125,0.27,3,5,8,10,13,15,18,21,23,25,28,29,33,35,38,40,42,45,48,50,53,55,58,60,63
48,0.13967444538606177,0.15200058498238855,0.12565350324232316,0.12245857671503324,0.28,3,5,8,10,13,15,18,21,23,25,28,29,33,35,38,40,42,45,48,50,53,55,58,60,63
49,0.14166368293092058,0.15414825380793007,0.12550814727396623,0.12230340827826043,0.28,3,5,8,10,13,15,18,21,23,25,28,29,33,35,38,40,42,45,48,50,53,55,58,60,63
50,0.14368883408012523,0.15633316296866462,0.1253600077222642,0.12214534360958348,0.29,3,5,8,10,13,15,18,21,23,26,28,29,33,35,38,39,42,45,48,50,53,55,58,60,63
51,0.1456168602635628,0.15839991313125645,0.1252187959781845,0.12199563984989384,0.29,3,5,8,10,13,15,18,21,23,26,28,29,33,35,38,39,42,45,48,50,53,55,58,60,63
52,0.14736180622364792,0.16028286162130012,0.1250908640581742,0.12185908925907908,0.3,3,5,8,10,13,15,18,21,23,26,28,29,33,35,38,39,42,45,48,50,53,55,58,60,63
53,0.14893671919980667,0.161989725083168,0.12497527652857925,0.12173517762096918,0.3,3,5,8,10,13,15,18,21,23,26,29,33,35,38,39,42,45,48,50,53,55,58,60,63
54,0.15042977365161803,0.16360660231307933,0.12486561241820039,0.12161767965523382,0.31,3,5,8,10,13,15,18,21,23,26,29,33,35,38,39,42,45,48,50,53,55,58,60,63
55,0.1519722691742147,0.16523520731783414,0.12475220885786673,0.12149921722145235,0.31,3,5,8,11,13,15,18,21,23,26,29,33,35,38,39,42,45,48,50,53,55,58,60,63
56,0.15362787445059045,0.16696090074860148,0.12463036288671722,0.12137356853377608,0.32,3,5,8,11,13,15,18,21,23,26,29,33,35,38,39,42,45,48,50,53,55,58,60,63
57,0.15539309760812625,0.16877622827839533,0.12450033397610616,0.12124124127882843,0.32,3,5,8,11,13,15,18,21,23,26,29,33,35,38,39,42,45,48,50,53,55,58,60,63
58,0.1571967756416437,0.17061772103742245,0.12436732352950439,0.12110687769211226,0.33,3,5,8,11,13,15,18,21,23,26,29,33,35,38,39,42,45,48,50,53,55,58,60,63
59,0.15895408613595685,0.17240467535271964,0.12423759653364216,0.12097634115004867,0.34,3,5,8,11,13,15,18,21,23,26,29,33,35,38,39,42,45,48,50,53,55,58,60,63
60,0.16061803598560165,0.17409907953024617,0.12411464131148896,0.12085243375926395,0.34,3,5,8,11,13,15,18,21,23,26,29,33,35,38,39,42,45,48,49,53,55,58,60,63
61,0.1622068736538006,0.17572954071453706,0.12399711479735467,0.1207330854817757,0.35,3,5,8,11,13,15,18,21,23,26,29,32,35,38,39,42,45,48,49,53,55,58,60,63
62,0.16378292551722784,0.1773591762695791,0.12388043156282227,0.12061367315888478,0.35,3,5,8,11,13,15,18,21,23,26,29,32,35,38,39,42,45,48,49,53,55,58,60,63
63,0.16540696019665924,0.17906054132321358,0.1237600789396898,0.12048889039420982,0.36,3,5,8,11,13,15,18,21,23,26,29,32,35,38,39,42,45,48,49,53,55,58,60,63
64,0.16710295194835378,0.18086348591128432,0.12363426846434851,0.12035650742725108,0.36,3,5,8,11,13,15,18,21,23,26,29,32,35,38,39,42,45,48,49,53,55,58,60,63
65,0.16884161442284773,0.18274106203617813,0.12350515521492665,0.12021849012383974,0.37,3,5,8,11,13,15,18,21,23,26,29,32,35,38,39,42,45,48,49,53,55,58,60,63
66,0.17056908991503128,0.18462548813778734,0.12337674474641976,0.12007981005685703,0.37,3,5,8,11,13,15,18,21,23,26,29,32,35,38,39,42,45,48,49,53,55,58,60,63
67,0.1722457032721174,0.18646225500438074,0.12325198244929163,0.1199444792999387,0.38,3,5,8,11,13,15,18,21,23,26,29,32,35,38,39,42,45,48,49,53,55,58,60,63
68,0.1738730599810958,0.18824044609766977,0.12313077352149979,0.1198133253821298,0.38,3,5,8,11,13,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
69,0.17548803804456636,0.1899996320187597,0.1230103612643598,0.1196834323169428,0.39,3,5,8,11,13,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
70,0.17713061317295709,0.1917610685545379,0.1228877658596273,0.11955322674445497,0.39,3,5,8,11,13,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
71,0.17881191756026882,0.1935399266459058,0.12276216143858648,0.11942159244629204,0.4,3,5,8,11,13,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
72,0.1805130468638616,0.19532150447089958,0.1226349399059147,0.11928960990392923,0.4,3,5,8,11,13,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
73,0.18219936105741497,0.19708078427145215,0.12250869996818761,0.11915913813227494,0.41,3,5,8,11,13,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
74,0.18384324301783173,0.1987922108873671,0.12238550311654867,0.11903207555410979,0.41,3,5,8,11,13,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
75,0.18545573305146856,0.20047160802913766,0.1222645473128041,0.1189072582525448,0.42,3,5,8,11,13,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
76,0.18706505794142236,0.20215669729120112,0.12214370428636971,0.11878189032019987,0.43,3,5,8,11,13,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
77,0.1886869464443014,0.20387516644870973,0.12202180661650838,0.11865390180027914,0.43,3,5,8,11,13,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
78,0.1903246987923778,0.20563046737432944,0.12189857991454793,0.11852302489819584,0.44,3,5,8,11,14,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
79,0.19196259687582162,0.207391493277575,0.1217752208692932,0.11839157066330022,0.44,3,6,8,11,14,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
80,0.1935840258816166,0.20913604533990793,0.12165298076982578,0.11826121064761291,0.45,3,6,8,11,14,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
81,0.19518529932717632,0.2108534087903723,0.12153213503572464,0.11813274078765564,0.45,3,6,8,11,14,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
82,0.19678199513016958,0.21255490756753892,0.12141152571110808,0.1180053109551329,0.46,3,6,8,11,14,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
83,0.1983878116780844,0.2142498348141607,0.12129010155519905,0.11787824506328028,0.46,3,6,8,11,14,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
84,0.20000752152520185,0.21594819487835193,0.12116750270867391,0.11775078500295683,0.47,3,6,8,11,14,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
85,0.20163188354346007,0.21763821283153773,0.12104442576329416,0.1176238083725849,0.47,3,6,8,11,14,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
86,0.2032494465955118,0.21931742280935573,0.12092174342368016,0.1174975148975566,0.48,3,6,8,11,14,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
87,0.20485797618090185,0.22099125855197832,0.1207996149399996,0.11737148227056672,0.48,3,6,8,11,14,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
88,0.20646743806390755,0.22267111691756092,0.12067729726091087,0.11724486139232232,0.49,3,6,8,11,14,15,18,21,23,26,29,32,35,37,39,42,45,48,49,53,55,58,60,63
89,0.20808579988202258,0.22436726725798362,0.12055417950985257,0.1171168790058325,0.49,3,6,8,11,14,15,18,21,23,26,29,32,35,37,39,41,45,48,49,53,55,58,60,63
90,0.20971392077748685,0.22608298530355897,0.12043018963338209,0.11698727191412069,0.5,3,6,8,11,14,15,18,21,23,26,29,32,35,37,39,41,45,48,49,52,55,58,60,63
91,0.2113454265022856,0.227809402602958,0.12030581263745523,0.11685671612958298,0.5,3,6,8,11,14,18,21,23,26,29,32,35,37,39,41,45,48,49,52,55,58,60,63
92,0.2129717511846283,0.22953199497995114,0.12018170213675294,0.1167263015540921,0.51,3,6,8,11,14,18,21,23,26,29,32,35,37,39,41,45,48,49,52,55,58,60,63
93,0.21459539308433062,0.2312474702584708,0.1200576689042078,0.11659628027064721,0.52,3,6,8,11,14,18,21,23,26,29,32,35,37,39,41,45,48,49,52,55,58,60,63
94,0.21622468857604515,0.23295705449999926,0.11993307642236056,0.1164665616369529,0.52,3,6,8,11,14,18,21,23,26,29,32,35,37,39,41,45,48,49,52,55,58,60,63
95,0.2178640745222935,0.2346643595680431,0.11980758480030136,0.11633687047960199,0.53,3,6,8,11,14,18,21,23,26,29,32,35,37,39,41,45,48,49,52,55,58,60,63
96,0.21950938991359958,0.23636884974837702,0.11968150636790044,0.1162072509693791,0.53,3,6,8,11,14,18,21,23,26,29,32,35,37,39,41,45,48,49,52,55,58,60,63
97,0.22115563353507994,0.23807093354267517,0.11955522097411415,0.11607767526485804,0.54,3,6,8,11,14,18,21,23,26,29,32,35,37,39,41,45,48,49,52,55,58,60,63
98,0.22280238405098474,0.23977635664978125,0.11942875915498921,0.11594769370694728,0.54,3,6,8,11,14,18,21,23,26,29,32,35,37,39,41,45,48,49,52,55,58,60,63
99,0.22445531028833865,0.24149326384015113,0.11930169489878431,0.115816693788191,0.55,3,6,8,11,14,18,21,24,26,29,31,35,37,39,41,45,48,49,52,55,58,60,63
100,0.226111040316042,0.24322177832169434,0.11917428025963997,0.11568465192273161,0.55,3,6,8,11,14,18,21,24,26,29,31,35,37,39,41,45,48,49,52,55,58,60,63
101,0.2277584284218015,0.2449495432046107,0.11904736292476577,0.11555251559120461,0.56,3,6,8,11,14,18,21,24,26,29,31,34,37,39,41,45,48,49,52,55,58,60,63
102,0.2294115304359723,0.24668733411959431,0.11891987548964554,0.11541946143150393,0.56,3,6,8,11,14,18,21,24,26,29,31,34,37,39,41,45,48,49,52,55,58,60,63
103,0.23107004414205345,0.24842722025535335,0.11879183571867129,0.11528610022272168,0.57,3,6,8,11,14,18,21,24,26,29,31,34,37,39,41,45,48,49,52,54,57,60,63
104,0.23273653151956353,0.25016905390574906,0.11866303776401475,0.1151524308980518,0.57,3,6,8,11,14,18,21,24,26,29,31,34,37,39,41,45,48,49,52,54,57,60,63
105,0.23441366265392827,0.2519121903204451,0.11853327879940763,0.11501850501477315,0.58,3,6,8,11,14,18,22,24,26,29,31,34,37,39,41,45,48,49,52,54,57,60,63
106,0.23610149770281896,0.25365891116301476,0.11840253993383679,0.11488414738335802,0.58,3,6,8,11,14,18,22,24,26,29,31,34,37,39,41,45,48,49,52,54,57,60,63
107,0.23779822370730674,0.25540920353667074,0.11827097540742665,0.11474935648723168,0.59,3,6,8,11,14,18,22,24,26,29,31,34,37,39,41,45,48,49,52,54,57,60,63
