epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
0,0,0,0.28241666575332675,0.2870343947303208,0.01,138,272,406,541,674,809,943,1077,1209,1343,1477,1611,1745,1879,2015,2149,2281,2415,2551,2683,2819,2953,3085,3221,3353,3487,3623,3756,3890,4024
1,0,0,0.27661390042434675,0.2811533311440294,0.01,138,273,406,541,673,809,944,1078,1208,1342,1476,1610,1745,1878,2016,2150,2280,2414,2552,2682,2818,2954,3084,3222,3353,3487,3623,3757,3889,4024
2,0,0,0.2708220739347233,0.2752821282467932,0.02,139,273,406,542,673,810,944,1079,1208,1342,1475,1609,1745,1877,2017,2151,2280,2413,2553,2681,2818,2954,3084,3222,3352,3486,3624,3757,3889,4025
3,0,0,0.26504699144190497,0.26940400810446086,0.02,139,273,406,542,674,811,944,1079,1207,1341,1474,1609,1745,1876,2018,2151,2280,2412,2554,2681,2817,2954,3083,3223,3352,3486,3624,3758,3889,4025
4,0,0,0.25951370414203534,0.26363486983976964,0.03,139,273,406,543,674,811,945,1080,1206,1341,1474,1608,1745,1875,2019,2151,2281,2411,2554,2680,2816,2955,3082,3224,3351,3485,3625,3758,3889,4025
5,0,0,0.2557892885383937,0.25957853707515216,0.03,139,274,406,543,674,812,945,1081,1206,1340,1473,1607,1745,1874,2020,2150,2281,2410,2555,2679,2815,2956,3081,3224,3351,3485,3625,3758,3888,4025
6,0,0,0.25300541042490976,0.25680335820912314,0.03,139,274,407,544,674,813,946,1082,1205,1340,1473,1607,1746,1873,2021,2150,2280,2409,2556,2678,2814,2956,3081,3225,3350,3484,3625,3758,3888,4025
7,0,0,0.2502320672821145,0.2540433366875056,0.04,139,274,407,544,674,813,947,1082,1205,1339,1472,1606,1746,1872,2023,2149,2280,2409,2556,2678,2813,2957,3080,3225,3350,3484,3626,3758,3888,4025
8,0,0,0.2474058910467009,0.2512053697242202,0.04,139,274,407,544,674,814,947,1083,1204,1339,1471,1606,1746,1872,2024,2149,2280,2408,2557,2677,2812,2957,3079,3226,3350,3483,3626,3758,3887,4025
9,0,0,0.24454329281240977,0.24830667151920605,0.04,140,275,407,545,673,814,948,1084,1204,1339,1470,1605,1745,1871,2025,2149,2281,2407,2557,2676,2812,2957,3079,3226,3349,3483,3627,3758,3887,4025
10,0,0,0.24166824450608076,0.2453955707094166,0.05,140,275,408,545,673,815,948,1085,1203,1340,1469,1604,1745,1870,2026,2149,2281,2406,2557,2675,2811,2958,3078,3227,3349,3482,3627,3758,3887,4025
