epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,0.15350753748316429,0.16999043802409242,0.01,382,760,1136,1516,1891,2269,2649,3026,3402,3780
1,0,0,0.14908201433799126,0.16576570885643827,0.01,383,761,1136,1517,1890,2269,2649,3027,3401,3780
2,0,0,0.14480652884379477,0.16164933272000434,0.02,383,761,1135,1518,1889,2270,2650,3028,3401,3779
3,0,0,0.14069818208432705,0.15766961007083435,0.02,383,761,1134,1519,1888,2270,2651,3028,3400,3779
4,0,0,0.1368115586940715,0.1539029331624427,0.02,384,761,1134,1519,1887,2270,2652,3029,3400,3778
5,0,0,0.13319222078410772,0.15034809997567647,0.03,384,761,1133,1520,1887,2270,2653,3030,3399,3778
6,0,0,0.1298811202548505,0.1470427298548837,0.03,384,761,1133,1521,1886,2270,2654,3031,3398,3778
7,0.02812726026412682,0,0.12692691092178768,0.14403245531928152,0.03,385,761,1132,1522,1886,2269,2655,3032,3398,3777
8,0.06652870718136683,0.019152774418709106,0.12439401336288997,0.14135872637685398,0.04,385,761,1131,1523,1886,2269,2656,3032,3397,3777
9,0.09752548199456212,0.05096794795055448,0.1223112703621193,0.13904722885333723,0.04,385,761,1131,1524,1886,2269,2657,3033,3396,3777
10,0.12081732507272602,0.0769415368434726,0.12072258641158107,0.1371312933571284,0.05,386,760,1131,1525,1886,2269,2658,3034,3396,3776
11,0.13675245742877828,0.09686165651299128,0.11962354609100184,0.13564352525375092,0.05,386,760,1130,1526,1886,2270,2659,3035,3395,3776
12,0.14580352301414223,0.11124664390677741,0.11899477207546941,0.13455894073362742,0.06,386,759,1130,1526,1887,2270,2659,3036,3395,3776
13,0.1489118713190556,0.1206364384279105,0.1187780718813549,0.1338462428952527,0.06,387,759,1130,1527,1887,2270,2660,3037,3394,3775
14,0.1473886810281929,0.1257705132708823,0.11888431118601274,0.13345494281391407,0.07,387,759,1130,1528,1887,2270,2661,3038,3394,3775
15,0.14301449551429257,0.127746215582221,0.11918888130972852,0.1333040719097719,0.07,387,758,1130,1528,1887,2270,2661,3039,3393,3775
16,0.13732513427155124,0.12771976646080896,0.11958385709225311,0.13330607002022946,0.07,387,758,1130,1529,1887,2270,2661,3039,3393,3774
17,0.13172857104279911,0.12676925625739954,0.11997112837682306,0.13337869428248283,0.08,388,757,1130,1529,1886,2270,2662,3040,3393,3774
18,0.12727338577961356,0.12578999066184615,0.12027852922634444,0.13345345637355477,0.08,388,757,1130,1529,1886,2270,2662,3041,3393,3774
19,0.12466943383120743,0.12526134765244368,0.12045782913625123,0.1334938007261054,0.08,388,756,1131,1529,1885,2270,2663,3042,3392,3773
20,0.12426494169922331,0.12561106182358572,0.12048566327193498,0.1334671198357501,0.09,389,755,1131,1529,1884,2270,2663,3043,3393,3773
21,0.12603194633101944,0.1268800544731149,0.12036404403500779,0.13337022418791236,0.09,389,755,1131,1529,1883,2271,2663,3043,3393,3773
22,0.1296512297372311,0.12898355741821954,0.12011455905178425,0.13320947671104635,0.1,389,754,1132,1529,1882,2271,2663,3044,3393,3773
23,0.13467917464505952,0.13172979753281544,0.11976710530739201,0.13299930282012082,0.1,390,754,1132,1528,1882,2271,2664,3045,3393,3772
24,0.14058878305824385,0.13495166606434406,0.11935744333732846,0.1327523277517752,0.1,390,753,1133,1528,1881,2271,2664,3046,3393,3772
25,0.1468365142421283,0.13882300180712093,0.11892279660819224,0.1324549377711562,0.11,390,752,1133,1527,1880,2271,2664,3046,3393,3772
