epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.021884496979891588,0,0.1321535382144808,0.11868183727023682,0.01,382,760,1138,1514,1893,2269,2647,3026,3402,3780
1,0.03498200282686392,0,0.1312657636304118,0.11703600628079014,0.02,383,761,1139,1513,1894,2269,2646,3027,3401,3780
2,0.04577053138665266,0.009835624556920775,0.13052994269569598,0.11556167511622392,0.02,383,761,1140,1512,1895,2269,2645,3028,3401,3779
3,0.0543453550679599,0.03187641038417566,0.1299421418715468,0.11426823723341067,0.02,383,762,1140,1511,1896,2270,2644,3029,3400,3779
4,0.06085548272865737,0.050698468537101915,0.1294940925331433,0.11315200684168336,0.03,384,763,1141,1510,1897,2270,2643,3029,3400,3778
5,0.06556207726059837,0.06646426784189341,0.1291692031398523,0.11220847030128542,0.03,384,763,1142,1509,1898,2270,2642,3030,3399,3778
6,0.06878935024960076,0.07934604877758422,0.1289459514168734,0.11143160494698051,0.04,384,764,1143,1509,1899,2270,2641,3031,3398,3778
7,0.07094798126666568,0.0897032239577521,0.12879640783317536,0.11080303925476664,0.04,385,764,1144,1508,1900,2270,2640,3032,3398,3777
8,0.07247393127814616,0.09792532937854048,0.12869058977829997,0.11030149167843897,0.04,385,765,1144,1508,1901,2270,2639,3033,3397,3777
9,0.07380383236705723,0.10436823900570302,0.12859830776401934,0.10990689153839249,0.05,385,766,1145,1508,1901,2269,2638,3034,3397,3777
10,0.07528089597607823,0.10946171512777558,0.12849571862305892,0.10959393013851523,0.05,386,766,1146,1509,1902,2269,2638,3035,3396,3776
11,0.07712567738354592,0.11351386870484714,0.12836748298396028,0.10934430355788817,0.05,386,767,1146,1509,1902,2269,2637,3035,3396,3776
12,0.07943566929422363,0.11669256925170535,0.1282067247590888,0.10914808815770582,0.06,386,768,1147,1509,1903,2268,2636,3036,3395,3776
13,0.08216553140802607,0.1190956300813314,0.1280164933717046,0.10899952318339874,0.06,387,768,1148,1510,1903,2268,2636,3037,3395,3775
14,0.08519556774574,0.12081363392872702,0.12780500844717754,0.10889316762122461,0.07,387,769,1148,1511,1904,2267,2635,3038,3394,3775
15,0.08833019816135756,0.12193889071604469,0.1275858590234005,0.10882346278827357,0.07,387,769,1149,1511,1904,2266,2634,3039,3394,3774
16,0.09144296471409841,0.12260175907298698,0.12736785344617368,0.10878238041078632,0.07,388,770,1150,1512,1904,2266,2634,3040,3393,3774
17,0.09450161383236078,0.12276152217987057,0.12715329015938076,0.10877247877437538,0.08,388,771,1150,1513,1904,2265,2633,3041,3393,3774
18,0.09736697400836414,0.12241716263264935,0.12695195124156913,0.10879381347500337,0.08,388,771,1151,1514,1905,2265,2633,3042,3392,3773
19,0.0999616021284957,0.1218017963196878,0.1267693436466395,0.10883195637560401,0.08,389,772,1151,1514,1905,2264,2632,3043,3392,3773
20,0.10232022859640155,0.12119691332485583,0.12660313560264144,0.1088694314961505,0.09,389,772,1152,1515,1906,2263,2631,3044,3391,3773
21,0.10449094492820687,0.1209038171387512,0.12644997439365346,0.10888759116605906,0.09,390,773,1152,1516,1906,2263,2631,3044,3391,3772
22,0.10658003006600647,0.12119769848768025,0.12630238647686737,0.10886938016919225,0.1,390,773,1153,1516,1907,2262,2630,3045,3390,3772
23,0.10869661771802441,0.12228736716870758,0.12615269169668644,0.10880186426802015,0.1,390,774,1154,1517,1907,2261,2630,3046,3390,3771
24,0.11090827777527523,0.12437664903968104,0.12599607804416127,0.10867229869521343,0.1,391,774,1154,1518,1908,2261,2629,3047,3389,3771
25,0.11322951542765969,0.12749953863113783,0.12583149830346468,0.10847833627164781,0.11,391,775,1155,1518,1908,2260,2628,3048,3388,3771
26,0.11566158424076933,0.13153206602282397,0.12565882482454493,0.10822736282730125,0.11,391,775,1156,1519,1909,2259,2628,3049,3388,3770
27,0.11817267658685549,0.1363153292237691,0.12548029536504338,0.10792890877706812,0.12,392,776,1156,1519,1910,2259,2627,3050,3387,3770
28,0.1206638996827144,0.14160251340758157,0.12530292373320642,0.10759805190726322,0.12,392,776,1157,1520,1910,2258,2626,3051,3387,3770
29,0.12308761390620737,0.14718020618894334,0.12513011627379123,0.10724789662566066,0.12,392,777,1158,1520,1911,2257,2625,3051,3386,3769
30,0.1254183643221416,0.1527531938314748,0.12496371040475408,0.10689690801068127,0.13,393,777,1158,1521,1912,2256,2625,3052,3386,3769
31,0.1276247341425728,0.15807506686628403,0.12480598532609327,0.10656065335169924,0.13,393,777,1159,1521,1912,2256,2624,3053,3385,3768
32,0.1297448562171093,0.1631222298518864,0.12465422833534956,0.10624077157306319,0.13,394,778,1160,1522,1913,2255,2623,3054,3385,3768
33,0.13181285624633754,0.16775594315924292,0.1245060451935303,0.10594623704063406,0.14,394,778,1160,1522,1914,2254,2622,3055,3384,3768
34,0.1338611439739037,0.17197285590283207,0.12435907843653037,0.10567749082660023,0.14,394,778,1161,1522,1914,2254,2622,3055,3384,3767
35,0.13592036004081043,0.1756854760928762,0.1242111655085099,0.10544030371037835,0.15,395,778,1161,1523,1915,2253,2621,3056,3383,3767
36,0.13798369874345762,0.17893228762709346,0.12406276845182301,0.1052324508966866,0.15,395,778,1162,1523,1915,2252,2620,3057,3383,3767
37,0.14006993214844687,0.1817359065014973,0.12391255145026171,0.10505261714294079,0.16,395,778,1162,1524,1916,2252,2620,3057,3382,3766
38,0.14216797301650774,0.18406923453732882,0.1237613055454635,0.104902735474856,0.16,396,778,1163,1525,1916,2251,2619,3058,3382,3766
39,0.1442390359993707,0.18603773542760804,0.1236118146652953,0.10477612146283916,0.16,396,778,1163,1525,1916,2250,2619,3059,3381,3766
40,0.14628024158704866,0.18772668210567522,0.12346430393928569,0.1046673607670658,0.17,396,778,1164,1526,1917,2250,2618,3059,3381,3765
41,0.148259829818991,0.18926164065356654,0.12332108008309248,0.10456841798761218,0.17,397,778,1164,1526,1917,2249,2617,3060,3380,3765
42,0.150172418957077,0.1907216888647294,0.12318253985598744,0.10447420874679625,0.18,397,778,1164,1527,1917,2249,2617,3061,3380,3765
43,0.15201650086192253,0.19222205797901848,0.12304881639311449,0.1043773269393936,0.18,397,778,1164,1528,1917,2248,2616,3061,3380,3764
44,0.15381339158337948,0.19389493725064244,0.1229183759779265,0.10426919083948252,0.19,398,777,1165,1528,1917,2247,2616,3062,3379,3764
45,0.1555898531253196,0.1958044115755505,0.12278928360734354,0.1041456250952826,0.19,398,777,1165,1529,1917,2247,2615,3062,3379,3764
46,0.15735006441668153,0.19801509458835098,0.12266123983231896,0.10400237946441825,0.19,399,777,1165,1529,1918,2246,2615,3063,3378,3764
47,0.15909740023273178,0.2005132086639595,0.12253399712305174,0.10384027387039665,0.2,399,776,1165,1530,1918,2245,2614,3063,3378,3763
48,0.16083628723524301,0.20332341685997257,0.12240723842550948,0.10365761609251116,0.2,399,776,1166,1531,1918,2245,2614,3064,3377,3763
49,0.16256218919346754,0.20638869907727808,0.12228129655138627,0.10345800613569099,0.21,400,775,1166,1531,1918,2244,2613,3064,3377,3763
50,0.16424910726865727,0.2096092485350135,0.12215807620825743,0.10324786752612669,0.21,400,775,1166,1532,1918,2244,2612,3064,3377,3763
