epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0,0,0.27981961289448914,0.305995505525892,0.01,164,324,484,644,804,964,1123,1281,1443,1603,1763,1922,2082,2240,2402,2559,2719,2879,3041,3200,3359,3520,3679,3839,3998
1,0,0,0.2748432265250126,0.3012329648175472,0.01,164,324,484,644,804,964,1124,1281,1444,1604,1764,1923,2083,2239,2403,2560,2718,2878,3040,3201,3358,3520,3680,3839,3998
2,0,0,0.269702594308147,0.29632674589271163,0.02,164,325,485,645,805,965,1125,1280,1445,1605,1764,1924,2083,2239,2404,2560,2718,2877,3039,3202,3357,3521,3680,3839,3998
3,0,0,0.26444395548082295,0.2913034155369745,0.02,165,325,485,645,805,966,1126,1279,1446,1605,1764,1925,2084,2239,2405,2561,2717,2876,3039,3202,3357,3521,3681,3840,3997
4,0,0,0.2590899751310231,0.2861789366746181,0.03,165,325,486,646,805,966,1127,1278,1446,1606,1763,1927,2084,2240,2406,2561,2717,2876,3039,3203,3356,3521,3681,3840,3997
5,0,0,0.25370015803483664,0.28100808653955595,0.03,165,326,486,646,806,967,1127,1277,1447,1606,1763,1928,2085,2241,2407,2561,2716,2875,3039,3203,3355,3521,3681,3840,3997
6,0,0,0.24832348906576687,0.2758245904166912,0.03,165,326,486,647,806,968,1128,1276,1448,1607,1763,1929,2085,2241,2408,2560,2716,2874,3038,3204,3355,3522,3682,3839,3997
7,0,0,0.2429962191738925,0.2707177872423237,0.04,165,326,487,648,807,969,1129,1276,1449,1607,1763,1930,2086,2241,2409,2560,2715,2873,3038,3204,3354,3521,3682,3839,3997
8,0,0,0.2377183785448799,0.2656479432912225,0.04,165,326,487,648,808,969,1130,1275,1449,1607,1764,1931,2086,2241,2410,2560,2714,2873,3037,3205,3354,3521,3683,3839,3996
9,0,0,0.23249918990096607,0.26066126621415153,0.05,166,327,488,649,808,970,1131,1274,1450,1606,1764,1932,2087,2241,2411,2559,2714,2872,3036,3206,3353,3521,3683,3839,3996
10,0,0,0.2273603892054354,0.25575408516321857,0.05,166,327,488,649,808,971,1131,1274,1451,1606,1765,1933,2087,2240,2412,2560,2713,2871,3036,3206,3353,3521,3684,3838,3996
11,0,0,0.2223033031714784,0.2509241012188484,0.05,166,327,489,650,809,971,1132,1273,1451,1605,1765,1934,2088,2240,2413,2560,2712,2871,3035,3207,3353,3521,3684,3838,3996
12,0,0,0.21732787665974757,0.2461738683074471,0.06,166,328,489,650,809,972,1133,1272,1452,1605,1766,1935,2088,2239,2414,2560,2712,2870,3034,3207,3353,3520,3685,3838,3996
13,0,0,0.21241735646477697,0.2414247514986535,0.06,166,328,490,651,810,973,1134,1271,1452,1605,1766,1936,2088,2239,2415,2560,2711,2870,3033,3208,3353,3520,3685,3837,3995
14,0,0,0.20755540425520766,0.2367439395104669,0.07,166,328,490,651,811,973,1135,1271,1453,1604,1767,1936,2089,2239,2416,2561,2711,2870,3033,3208,3354,3520,3686,3837,3995
15,0,0,0.20266966954008334,0.23203841400646674,0.07,166,329,491,652,811,974,1135,1270,1453,1604,1768,1937,2089,2240,2417,2561,2710,2869,3032,3209,3354,3519,3686,3837,3995
16,0,0,0.19780143825885121,0.22733159081889162,0.07,167,329,491,652,811,975,1136,1269,1453,1603,1768,1938,2089,2240,2418,2562,2710,2869,3031,3209,3354,3519,3686,3836,3995
17,0,0,0.19297117702795707,0.22263406341840636,0.08,167,329,491,653,812,975,1137,1268,1454,1603,1769,1939,2090,2240,2419,2562,2709,2869,3030,3209,3354,3518,3687,3836,3995
18,0,0,0.18824542405163575,0.21800229316946768,0.08,167,329,492,654,812,976,1138,1268,1454,1602,1770,1940,2090,2240,2420,2563,2709,2868,3029,3210,3354,3518,3687,3836,3994
